CHC 01-12-2025

Carrera,Hora,Nombre Premio,Distancia,Condición Principal,Premio al Ganador,Cab. N°,Nombre Ejemplar,Peso,Jinete
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",1,VALKYRIE LEGEND,57,BASTIAN SOTO
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",2,VAN DER SAR,56,JESUS PIMENTEL
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",3,VALLTTERI,56,FELIPE HENRIQUEZ
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",4,NO TIENE PALABRA,56,BENJAMIN SANCHO
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",5,CONTIGO SI QUIERO,56,DARIEN CHEUQUE
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",6,LA OVALLE NEGRETE,56,BENJAMIN TRONCOSO
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",7,NO HAY ADIOS,57,FRANCISCO MORALES
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",8,LUCE PERICOLOSO,57,RODRIGO PAINEN
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",9,LITTLE GASPI,57,JAIME MEDINA
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",10,DOÑA ISA,56,FRANCO SANCHEZ
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",11,AGUILA DE FUEGO,56,RODOLFO FUENZALIDA
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",12,TAN DECORATIVA,56,WLADIMIR QUINTEROS
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",13,MARULINA,57,NICOLAS SANTIBAÑEZ
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",14,RECHIFLAO,56,RODOLFO S. DORES
1,12:45,DEAR WITCH,1000m,"Handicap INDICE 2 AL 1","CLP $1.560.000",15,CATITA REVOLTOSA,56,GONZALO ULLOA
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",1,MADRE PATRIA,55,DARIEN CHEUQUE
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",2,TSUKIMI,55,RODOLFO FUENZALIDA
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",3,RAMHE,55,CLAUDIO JORQUERA
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",4,PRIVATE COLLECTION,55,JAIME MEDINA
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",5,PRETTY DISTORTED,55,HUGO OCHOA
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",6,BRONT LUCKY,56,BENJAMIN TRONCOSO
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",7,PRINCESS THAI,55,JOSE VILLABLANCA
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",8,JEFA DE JEFAS,55,JOSE CUETO
2,13:12,DOÑA MADONA,1300m,"Condicional C/VARIANTE HEMBRAS DE 3 AÑOS NO GANADORAS","CLP $2.500.000",9,COMO UN CORAZON,55,SEBASTIAN GONZALEZ
3,13:37,DEEP BLUE,1400m,"Handicap C/VARIANTE INDICE 44 AL 35","CLP $3.000.000",1,NA NI NA,52,JEREMY SANHUEZA
3,13:37,DEEP BLUE,1400m,"Handicap C/VARIANTE INDICE 44 AL 35","CLP $3.000.000",2,GRAN RAI,59,HUGO OCHOA
3,13:37,DEEP BLUE,1400m,"Handicap C/VARIANTE INDICE 44 AL 35","CLP $3.000.000",3,KAREV,59,NICOLAS MOLINA
3,13:37,DEEP BLUE,1400m,"Handicap C/VARIANTE INDICE 44 AL 35","CLP $3.000.000",4,ALZHEIMER,58,JOSE P. JARA
3,13:37,DEEP BLUE,1400m,"Handicap C/VARIANTE INDICE 44 AL 35","CLP $3.000.000",5,VILLERA,58,JAIME MEDINA
3,13:37,DEEP BLUE,1400m,"Handicap C/VARIANTE INDICE 44 AL 35","CLP $3.000.000",6,EL GUANTANAMERO,57,BENJAMIN SOTO
