Carrera,Hora,Numero,Ejemplar,Peso,Jinete
1,12:30,1,GRAN TOMAHAWK,56,PIERO REYES P.
1,12:30,2,DANITA FIRST,56,WLADIMIR QUINTEROS
1,12:30,3,DOMINGO ISLEÑO,56,JESUS PIMENTEL
1,12:30,4,MICCA,57,GUSTAVO AROS
1,12:30,5,AHMAKIL,56,RODOLFO FUENZALIDA
1,12:30,6,NIETA DEL MONTY,56,RODOLFO S. DORES
1,12:30,7,VALLTTERI,57,FRANCISCO MORALES
1,12:30,8,AMAYNA,56,NICOLAS RAMIREZ
1,12:30,9,ANTUMBRA,56,MAURICIO CHAMORRO
1,12:30,10,PRAIA DO FORTE,56,JAIME A. MIÑO
1,12:30,11,RODELINDO CRACK,56,SEBASTIAN GONZALEZ
1,12:30,12,KING NICOLAS,57,NICOLAS MOLINA
1,12:30,13,RAYO VELOZ,57,BENJAMIN AYALA
1,12:30,14,SOBRAO DE CARIÑO,56,JORGE VERA
1,12:30,15,SALE DE MIS OJOS,56,BASTIAN SOTO
2,13:00,1,QUE HICE MAL,55,LESLY C. GONZALEZ
2,13:00,2,NUEVA ACTRICE,55,WILBERT LEON
2,13:00,3,PASCUERA,55,JONATHAN A. CASTILLO
2,13:00,4,GOLFISTA,56,RONALD FOURNET
2,13:00,5,DULCITA,55,WLADIMIR QUINTEROS
2,13:00,6,SERKET,55,FABIAN MEDINA
2,13:00,7,CHE AWAY,55,JAIME MEDINA
2,13:00,8,KOBRICH,55,JOAQUIN HERRERA
2,13:00,9,MADAM SECRETARY,55,MIGUEL GUTIERREZ
2,13:00,10,SONG SONG BLUE,55,RODRIGO COVARRUBIAS
2,13:00,11,TRANQUILA NIÑA,55,DARIEN CHEUQUE
3,13:29,1,MANKIND,56,RODRIGO PAINEN
3,13:29,2,CHAMPELICE,56,GERARD RODRIGUEZ
3,13:29,3,EL NANY,56,PEDRO ROBLES
3,13:29,4,BICHOTA,58,MARCO MORALES
3,13:29,5,ZULEIMAN (ARG),58,RAFAEL CISTERNAS
3,13:29,6,MONARCA,52,AXEL ALVAREZ
3,13:29,7,CALOCHITA,58,NICOLAS RAMIREZ
3,13:29,8,CATITA REVOLTOSA,57,OSCAR ULLOA
4,13:56,1,MY GREAT,58,JESUS TORO
4,13:56,2,IMPLICADO,58,AXEL ALVAREZ
4,13:56,3,MALANDRO,58,GUSTAVO AROS
4,13:56,4,MOSALA,61,JAIME MEDINA
4,13:56,5,CANTICIO,58,SEBASTIAN GONZALEZ
4,13:56,6,JALISCO,53,RODRIGO PAINEN
