Fecha,Reunion,Carrera,Hora,Premio,Distancia,Superficie,Tipo,Numero,Ejemplar,Peso,Jinete
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,1,BEL FIOR,57,RODRIGO PAINEN
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,2,ANTIOCO,57,MARCO MORALES
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,3,HAMM GOOD,56,FRANCISCO MORALES
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,4,MY CLAUDIA,54,GERARD RODRIGUEZ
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,5,EL KICHAN,53,JOSE VILLABLANCA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,6,VAI BENE COSI,56,RODOLFO FUENZALIDA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,7,SWEET CHILD,57,BENJAMIN SANCHO
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,8,AKISI,54,RONALD FOURNET
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,9,EN CAPILLA,57,HUGO OCHOA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,10,QUE TERRIBLE,57,KEVIN ESPINA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,11,JAVIVALETU,55,VICTOR MIRANDA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,12,CABLE A TIERRA,56,MAURICIO CHAMORRO
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,1,KERRYS,55,DARIEN CHEUQUE
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,2,MI NIETA AGUSTINA,56,RONALD FOURNET
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,3,NUEVA ACTRICE,55,WILBERT LEON
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,4,YA AGUS,55,FELIPE HENRIQUEZ
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,5,YOKITA,55,HECTOR BERRIOS
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,6,RAPILLANA,55,MAURICIO CHAMORRO
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,7,LUGA,55,JONATHAN A. CASTILLO
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,8,SEÑORA RITA,55,WLADIMIR QUINTEROS
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,9,KISS THE QUEEN,55,IGNACIO VALDIVIA
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,10,LISTO NO MAS,55,RODOLFO FUENZALIDA
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,1,JEFA DE JEFAS,55,NICOLAS SANTIBAÑEZ
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,2,BRONT LUCKY,55,FELIPE HENRIQUEZ
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,3,MALORY,55,JAIME MEDINA
