Carrera,Hora,Distancia,Superficie,Condicion,Numero,Caballo,Jinete,Peso
1,12:30,1000m,Pasto,Handicap Indice 1,1,VALLTTERI,ROBERTO AVILA,57
1,12:30,1000m,Pasto,Handicap Indice 1,2,MARULINA,NICOLAS SANTIBAÑEZ,57
1,12:30,1000m,Pasto,Handicap Indice 1,3,GOOD MORNING RED,RONALD FOURNET,57
1,12:30,1000m,Pasto,Handicap Indice 1,4,LA TOTE,JAIME A. MIÑO,57
1,12:30,1000m,Pasto,Handicap Indice 1,5,AGUILA DE FUEGO,BENJAMIN SANCHO,57
1,12:30,1000m,Pasto,Handicap Indice 1,6,DOÑA ISA,JOSE CUETO,57
1,12:30,1000m,Pasto,Handicap Indice 1,7,RECHIFLAO,CARLOS ORTEGA,57
1,12:30,1000m,Pasto,Handicap Indice 1,8,MOSASAURUS,MOISES A. DONOSO,57
1,12:30,1000m,Pasto,Handicap Indice 1,9,NOCHE DE PAINE,LUIS D. MENGHINI,57
1,12:30,1000m,Pasto,Handicap Indice 1,10,NO HAY ADIOS,BASTIAN SOTO,57
1,12:30,1000m,Pasto,Handicap Indice 1,11,SUEÑO REALIDAD,LESLY C. GONZALEZ,57
1,12:30,1000m,Pasto,Handicap Indice 1,12,BICAMPEON CHILENO,MARCO A. BUSTAMANTE,57
1,12:30,1000m,Pasto,Handicap Indice 1,13,GEROMILO,NICOLAS MOLINA,57
1,12:30,1000m,Pasto,Handicap Indice 1,14,LA OVALLE NEGRETE,RODOLFO FUENZALIDA,57
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,1,SEE YOU AGAIN,LESLY C. GONZALEZ,55
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,2,SCANDINAVA,RODOLFO S. DORES,57
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,3,BLACK KINGLY,WILBERT LEON,57
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,4,CABLE A TIERRA,MAURICIO CHAMORRO,57
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,5,LITTLE GASPI,DIEGO CARRASCO,58
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,6,SHEEZA,KEVIN ESPINA,58
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,7,NONA BLANCA,JESUS TORO,55
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,8,EL BOHEMIO,BENJAMIN TRONCOSO,56
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,9,MINONI,ROBERTO AVILA,55
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,10,LLUVIA DE ENERO,NICOLAS RAMIREZ,55
2,12:58,1000m,Pasto,Handicap Indice 7 al 4,11,PACIFICADOR,JOHAN GONZALEZ,55
3,13:26,1200m,Pasto,Condicional Hembras 3 años no ganadoras,1,YOKITA,FABIAN MEDINA,55
3,13:26,1200m,Pasto,Condicional Hembras 3 años no ganadoras,2,KISS THE QUEEN,IGNACIO VALDIVIA,55
3,13:26,1200m,Pasto,Condicional Hembras 3 años no ganadoras,3,GUAGUA BRAVA,JOAQUIN HERRERA,55
3,13:26,1200m,Pasto,Condicional Hembras 3 años no ganadoras,4,JEFA DE JEFAS,MARCO MORALES,55
3,13:26,1200m,Pasto,Condicional Hembras 3 años no ganadoras,5,ME DAS OTRO BESO,BENJAMIN TRONCOSO,56
3,13:26,1200m,Pasto,Condicional Hembras 3 años no ganadoras,6,RUBIA CLARA,RONALD FOURNET,56
