Nro_Carrera,Numero,Nombre_Carrera,Distancia_Pista,Caballo_Padre,Kilos,Jinete,Preparador,Indice,Ultimas_Llegadas,Fecha_Ult,Dist_Serie_Ult,Cps_Tpo_Ult,Div_Ult,Peso_Fis,Stud_Colores,Observaciones
1,1,INMORTAL (4946),"1200m Arena",PACIENCIA ETERNA (Annual Rep),57,J. Pimentel,G. Melej R.,3,12A 2A,12/12,1.000 1-1,2 cpos 1:00.89,104.6,391,Janya Azul Cruz De Santiago Blanc,
1,2,INMORTAL (4946),"1200m Arena",VAI BENE COSI (International St),56,H. Manriquez F.,R. Loyola,2,6cA 5cA 5cA,07/12,1.200 6-1,6 1/2 1:10.56,16.9,421,Hector Manriquez F. Amarillo M. Amarillo Y Calips,Salto hacia adentro al partir [cite: 3]
1,3,INMORTAL (4946),"1200m Arena",NEGRO APAPUCHI (El Piñon),56,G. Peralta P.,J. A. Miño,2,13cA 9A 3A,12/12,1-1 1.000,2 cpos 1:00.89,31.5,434,Peralta P Guillermo Blanco M. Blanco Y Naranja Li,
1,4,INMORTAL (4946),"1200m Arena",MY CLAUDIA (Seeking The Dia),56,G. Rodriguez,W. Peña P.,2,9cA 3A 4cA,07/12,1.200 6-1,6 1/4 c 1:10.56,,419,Sapnet Stable Negro Tirantes Calipso M. Y Gr. A I,Cargado al partir [cite: 3]
1,5,INMORTAL (4946),"1200m Arena",FELIPHON (Shanghai Bobby),56,A. Fernandez L.,J. Toro,2,7h 3cA 6cA,12/12,1.000 5-3,6 1/4 0:59.71,6.3,483,Barcelona Azul Y Granate Listado Gr. Amarill,
1,6,INMORTAL (4946),"1200m Arena",GRAN SAMIR (Scat Royal),57,G. Ulloa,W. Peña P.,3,2cA 6cA 5A,05/12,1.000 4-3,6 3/4 0:59.08,4.6,444,Sapnet Stable Negro Tirantes Calipso M. Y Gr. A,
1,7,INMORTAL (4946),"1200m Arena",REPUBLIC ANA (Exaggerator),57,Js. Solano,R. Toledo M.,3,6h 4cA 2cA,05/12,1.000 1-1,1 1/2 1:00.04,4.3,455,Laly Gris Ban. Burden M. Blanco Gr. Negr,Mañoseo en las últimas distancias [cite: 3]
1,8,INMORTAL (4946),"1200m Arena",JAVIVALETU (Exaggerator),57,V. Miranda,A. Padovani E.,,3A,15/12,1.400 7-2,3 1/4 c 1:26.92,3,444,Liego El Talento Negro Y Dorado A Cuadros M. Pi,
1,9,INMORTAL (4946),"1200m Arena",HAMM GOOD (Good Samaritan),156,Joh. Gonzalez,S. Morales G.,2,9cA 10A 4cA,15/12,1.400 7-2,3 1/4 c 1:26.92,52.8,477,Tetito Ignacio Azul Cruz Blanco M. Blanco Bra. Az,
1,10,INMORTAL (4946),"1200m Arena",KING NICOLAS (Neko Bay),55,M. Velarde B.,R. Painen,1,12cA 6cA 9cA,12/12,1.000 2-1,4 cpos. 1:00.58,29.9,458,Alonmate Rojo Rombos En Lista Gris-Bco Mngs G,
1,11,INMORTAL (4946),"1200m Arena",PATTY NENA (Newfoundland),55,B. Leon,Jn. Rodriguez R.,1,6mA 3mA 5mA,28/10,1.000 1-1,6 1/2 c 0.57.80,5,,Barabaraba Cafe Y Verde A Cuadritos M. Verde I,
1,12,INMORTAL (4946),"1200m Arena",WALKA (Shanghai Bobby),56,N. Santibañez,C. Melero F.,2,8cA 10c 3cA,12/12,1.000 21,2 3/4 c 1:00.58,15.9,485,Fuentes De M Carmen Naranjo Triangulo Amarillo,
1,13,INMORTAL (4946),"1200m Arena",ATEX (Viscount Nelson),55,F. Gonzalez S.,R. S. Deres,1,7cA 4cA 13cA,28/11,1.200 1-1,21 3/4 1:11.82,7.1,446,Sobarzo De G Monica Amarillo Fj. Bra. Y Gr. Rojo,
1,14,INMORTAL (4946),"1200m Arena",GRAN TOURIST (Tourist),55,D. E. Silva G.,M. A. Donoso,1,8cA ScP 7cA,15/12,1.000 21,15 3/4 0:59.70,41.1,402,Sagardia Hnos. Blanco Lun. Raj,Mañoseaba en el curso de la carrera [cite: 3]
2,1,INCONDICIONAL (4947),"1200m Pasto",CRUZA EL RIO (Kingly),57,R. Fournet,R. Toledo M.,Condi,9cP 11cA 7cP,12/12,1.000 Condi,5 3/4 c 0:58.92,280.2,493,Mario Nicolas Amarillo Ban. Y Lista Roj,Encajonado en los 800 metros [cite: 21]
2,2,INCONDICIONAL (4947),"1200m Pasto",MUSICO Y SOLDADO (Mendelssohn),57,F. Medina,Cr. Urbina R.,Condi,3cA 5cP 8cP,12/12,1.000 Condi,4 3/4 c 0:58.69,4.8,421,Mario Andres Solferino M. Y Gr. Solferino Y Verde,Salto al partir y cargaba en tierra derecha [cite: 25, 26, 19]
2,3,INCONDICIONAL (4947),"1200m Pasto",JOHN DUTTON (Robert Bruce),57,J. Herrera,R. Sanchez Q.,Condi,9h 4cA 7cP,17/11,1.200 Condi,6 1/4 1:09.75,5.9,470,Liguria Granate M. Amarillo Gr. Negra,Cortada su linea al partir [cite: 21]
2,4,INCONDICIONAL (4947),"1200m Pasto",EN CHATEAUROUX (Dubai Sky),57,N. Rojas,Js. Araya B.,Condi,4cP 2P 3P,12/12,1.000 Condi,pczo. 0:58.92,2.4,445,Bengo Blanco Cruz Y M. Naranjo,
