Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,12:15 APROX.,OMEYE,1200,ARENA,1,MAGNUS AURELIUS,56,B. Ayala,Cl. Navarro A.
1,12:15 APROX.,OMEYE,1200,ARENA,2,NO TIENE PALABRA,57,R. Avila,R. Montesino S.
1,12:15 APROX.,OMEYE,1200,ARENA,3,TANGERINE TANGO,56,T. Seith,H. Manriquez F.
1,12:15 APROX.,OMEYE,1200,ARENA,4,DOMINGO ISLEÑO,55,Js. Villablanca,G. Melej R.
1,12:15 APROX.,OMEYE,1200,ARENA,5,PEDRINHO,55,Jr. A. Mora,Cl. Navarro A.
1,12:15 APROX.,OMEYE,1200,ARENA,6,VAI BENE COSI,57,V. Bracetti,H. Manriquez F.
1,12:15 APROX.,OMEYE,1200,ARENA,7,ACLIS,57,Js. Paredes,R. Toledo M.
1,12:15 APROX.,OMEYE,1200,ARENA,8,CONOCIENDOTE,56,G. Rodriguez,W. Peña P.
1,12:15 APROX.,OMEYE,1200,ARENA,9,NIÑO SEXY(R-4),57,R. Cisternas,Jn. Cavieres A.
1,12:15 APROX.,OMEYE,1200,ARENA,10,FELIPHON,56,H. Ochoa,A. Fernandez L.
1,12:15 APROX.,OMEYE,1200,ARENA,11,SAHOURIYE,57,M. A. Bustamante,Js. Araya B.
1,12:15 APROX.,OMEYE,1200,ARENA,12,RUCIA DEL DOC,57,B. Troncoso,A. Fernandez L.
1,12:15 APROX.,OMEYE,1200,ARENA,13,MUY TEMPERADA,57,Joh. Gonzalez,F. Gonzalez S.
1,12:15 APROX.,OMEYE,1200,ARENA,14,QUEEN ANY,56,J. Reyes,R. Montesino S.
1,12:15 APROX.,OMEYE,1200,ARENA,15,SOBRAO DE CARIÑO,57,R. Fuenzalida,A. Bernal G.
2,12:44 APROX.,OSO PANDA,1000,PASTO,1,MY SWEET LORD,57,T. Seith,Cr. Quiroz E.
2,12:44 APROX.,OSO PANDA,1000,PASTO,2,EN CHATEAUROUX,57,B. Troncoso,Js. Araya B.
2,12:44 APROX.,OSO PANDA,1000,PASTO,3,ON THE LEVEL,57,A. Alvarez,Cr. Urbina R.
2,12:44 APROX.,OSO PANDA,1000,PASTO,4,POETA GRIEGO (ARG),57,O. Sanchez,T. Cachely
2,12:44 APROX.,OSO PANDA,1000,PASTO,5,TORO DEL MONTE,57,R. Fuenzalida,A. Bernal G.
2,12:44 APROX.,OSO PANDA,1000,PASTO,6,MI GIGANTE,57,J. Medina,Js. Allende F.
