Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
1,13:00,SHAADIR,1000,ARENA,1,PASAPALABRA,57,F. Gonzalez S.,V. Miranda,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,2,DIMITRA,57,Joh. Gonzalez,J. Silva B.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,3,DANITA FIRST,57,C. Gonzalez,C. Garcia V.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,4,REPUBLIC ANA,57,R. Toledo M.,R. S. Dores,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,5,VAN DER SAR,57,Seb. Gonzalez,G. Melej R.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,6,ANTIOCO,57,R. Montesino S.,C. Ortega,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,7,MANCHITA DEL NUBLE,57,R. Fuenzalida,C. Melero F.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,8,PACIENCIA ETERNA,57,J. Pimentel,G. Melej R.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,9,MICCA,57,B. Sancho,W. Peña P.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,10,NEGRO APAPUCHI,57,Cl. Jorquera,G. Peralta P.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,11,DI LA VERDAD ROSA,57,Fco. Faundez LL.,Js. Cueto,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,12,FELIPHON,57,A. Fernandez L.,A. Varas,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,13,NIETA DEL MONTY,57,R. Cisternas,D. Matte D.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,14,EL KICHAN,57,Js. Villablanca,M. Velarde B.,"MEGA TRIPLE N°1 $ 10.000.000"
1,13:00,SHAADIR,1000,ARENA,15,THOTHO,57,R. Covarrubias,R. Toledo M.,"MEGA TRIPLE N°1 $ 10.000.000"
2,13:28,TUMBLE STORY,1000,ARENA,1,PERFIDE,55,R. Rojas S.,A. Varas,"MEGA SPF / DOBLE / MEGATRIP N°1 ETP 2"
2,13:28,TUMBLE STORY,1000,ARENA,2,MI JARDIN,55,Fco. Pinochet P.,F. Medina,"MEGA SPF / DOBLE / MEGATRIP N°1 ETP 2"
