fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,1,ROM TALE (USA),R. S. Dores,A. Ferrero R.,12,1.10.71,5.7,547
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,2,MY FLORENCE,L. C. Gonzalez,A. Perez D.,13,0:59.89,14.4,435
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,3,ANTIOCO,W. Quinteros,R. Montesino S.,10,1:00.21,13.4,491
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,4,ROMPECORAZONES,R. Fuenzalida,Cl. Navarro A.,7,1:11.25,8,457
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,5,RUCIA DEL DOC,J. Toro,A. Fernandez L.,6,0:59.07,27.2,417
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,6,NUTCRACKER,J. Pimentel,G. Melej R.,3,0:59.89,13.8,449
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,7,CABLE A TIERRA,M. Chamorro,R. Toledo M.,5,1:12.07,3.5,437
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,8,NIETA DEL MONTY,R. Cisternas,D. Matte D.,9,1:00.21,4.2,421
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,9,SOBRAO DE CARIÑO,C. Ortega,A. Bernal G.,13,0:59.89,67,496
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,10,YA MAGICO,Joh. Gonzalez,G. Covarrubias E.,6,1.13.18,7.7,435
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,11,MAGNUS AURELIUS,P. Reyes,Cl. Navarro A.,11,1:00.21,15.7,401
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,12,DOMINGO ISLEÑO,D. Carrasco,G. Melej R.,12,0:59.89,40.3,481
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,13,MESTIZA FLOR,Js. Eyzaguirre,1. Michea F.,4,1.13.18,18.7,430
09/03/2026,CLUB HIPICO DE SANTIAGO,1,13:00,1000,ARENA,14,GRAN LALITO,V. Miranda,J. C. Pichara J.,9,0.58.41,26.1,457
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,1,MARY QUEEN,D. Cheuque,P. Baeza A.,10,0:58.69,1.6,470
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,2,LA POLITO,R. Cisternas,Jn. Cavieres A.,15,1:23.77,32.2,497
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,3,KALANIT,H. Ochoa,P. Baeza A.,15,1.22.88,21.7,492
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,4,RICONDITA,N. Rojas,P. Baeza A.,4,1.15.75,17.5,432
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,5,MONTOLINA,Js. Cueto,M. Rabajille D.,1,0:56.48,3.4,483
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,6,GOOD DECISIONS,J. Herrera,M. Rabajille D.,1,1:09.08,3.5,427
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,7,GOOD TEMPTATION,R. S. Dores,M. Rabajille D.,3,1:10.41,5.8,456
09/03/2026,CLUB HIPICO DE SANTIAGO,2,13:26,1200,ARENA,8,TEA AND MILK,A. Villagra,R. Montesino S.,4,0:57.41,17.4,411
09/03/2026,CLUB HIPICO DE SANTIAGO,3,13:52,1900,ARENA,1,IMANOL,B. Troncoso,Js. Araya B.,10,1:24.01,11.5,450
09/03/2026,CLUB HIPICO DE SANTIAGO,3,13:52,1900,ARENA,2,VINDALOO,0. Ulloa,P. Baeza A.,2,1:58.41,2.7,475
09/03/2026,CLUB HIPICO DE SANTIAGO,3,13:52,1900,ARENA,3,RUSTY,J. Toro,E. Carreño R.,4,1:23.51,48.4,508
09/03/2026,CLUB HIPICO DE SANTIAGO,3,13:52,1900,ARENA,4,GOOD CHIEF,F. Henriquez,1. Michea F.,1,1.57.15,10.9,452
09/03/2026,CLUB HIPICO DE SANTIAGO,3,13:52,1900,ARENA,5,SO AMAIZING,J. Medina,P. Baeza A.,1,1:36.35,2.2,508
09/03/2026,CLUB HIPICO DE SANTIAGO,3,13:52,1900,ARENA,6,SIN PREJUICIOS,W. Quinteros,R. Montesino S.,7,1:12.06,9.8,447
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,1,CASSIUS,J. Herrera,J. C. Silva S.,1,1:33.96,3.3,482
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,2,EL NANY,P. Robles,J. Pinochet P.,1,1:15.81,7.6,444
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,3,EL JEI,L. C. Gonzalez,A. Gonzalez R.,3,1:26.38,5,437
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,4,LION KING,J. Medina,P. Baeza A.,3,1:24.21,1.5,485
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,5,JAMES BRUCE,H. Ochoa,R. Sanchez Q.,2,1.36.03,5.2,440
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,6,CINQUE TERRE,Jr. Zuñiga,J. C. Silva S.,3,1:34.07,11.7,439
09/03/2026,CLUB HIPICO DE SANTIAGO,4,14:20,1300,PASTO,7,MISTER WATSON,R. Cisternas,J. Orellana R.,15,1:35.31,14,501
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,1,SCANDINAVA,G. Ulloa,C. Gonzalez M.,7,0:57.96,13.2,456
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,2,EL BOHEMIO,B. Troncoso,A. Padovani E.,4,0:58.70,4.1,462
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,3,MINONI,Fco. Morales,R. Montesino S.,15,1:05.03,14.9,468
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,4,TANGO Y COMPAS,M. A. Bustamante,H. Manriquez F.,2,0:59.89,9.2,467
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,5,LAYTANA,A. Vasquez,V. Maris L.,9,1.10.73,8.8,460
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,6,SHEEZA,W. Quinteros,R. Montesino S.,15,0.58.25,122.6,424
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,7,CARIÑOSITO,R. S. Dores,D. Matte D.,4,0:58.18,13.9,475
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,8,GUARDA BELLINA,Js. Araya B.,R. Painen,15,0:58.18,70.1,449
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,9,ROSARIO TIJERA,M. Gutierrez,M. Perez A.,7,1.11.22,13.4,456
09/03/2026,CLUB HIPICO DE SANTIAGO,5,14:50,1000,PASTO,10,TICKET GOOD,Js. Araya B.,R. Solorza,7,1:17.10,9.2,454
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,1,SALZBURG,0. Ulloa,P. Baeza A.,6,1.09.73,6.2,447
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,2,ROSY L'AMORE,R. Fuenzalida,P. Baeza A.,1,0:57.41,15.1,466
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,3,SEÑOR AMANTE,N. Molina,Js. Araya B.,1,0:57.70,18.6,440
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,4,LINDO RECUERDO,H. Ochoa,R. Sanchez Q.,4,0:57.61,4.1,420
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,5,HUASO DERREPENTE,R. S. Dores,D. Matte D.,4,0:57.41,7.5,494
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,6,FANTASTIC DREAM,Js. Cueto,R. Silva S.,1,0:57.67,9.3,475
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,7,INDHIRA,R. Painen,R. Montesino S.,5,0:57.08,4.9,452
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,8,STRAY KIDS,Jon. A. Castillo,A. Parra D.,9,0:57.08,22.5,477
09/03/2026,CLUB HIPICO DE SANTIAGO,6,15:20,1000,PASTO,9,BREGO,D. Cheuque,T. Cachely,5,0:57.70,20.4,474
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,1,LIMATOWN,B. Sanchez,A. Parra D.,4,1:08.06,8.6,450
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,2,SEE ME,B. Troncoso,H. E. Ulloa P.,1,0:57.03,8.8,511
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,3,PIANTAO,L. Torres,A. Bernal G.,5,0:57.08,32.2,464
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,4,FERLUISI,J. Herrera,H. E. Ulloa P.,2,0:57.08,2.5,451
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,5,GRIEZMANN,R. S. Dores,D. Matte D.,8,0:57.08,20.3,451
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,6,PALACETE,Jon. A. Castillo,A. Parra D.,2,0:57.08,4.1,470
09/03/2026,CLUB HIPICO DE SANTIAGO,7,16:15,1000,PASTO,7,ARAKI,J.Padovani E.,4,0:57.08,11.1,487
09/03/2026,CLUB HIPICO DE SANTIAGO,8,16:45,1600,PASTO,1,NUNCA PERDONA,Seb. Gonzalez,Js. Araya B.,4,1:15.57,5.3,443
09/03/2026,CLUB HIPICO DE SANTIAGO,8,16:45,1600,PASTO,2,KANE,0. Ulloa,P. Baeza A.,4,1:33.75,1.3,527
09/03/2026,CLUB HIPICO DE SANTIAGO,8,16:45,1600,PASTO,3,PAJOMA,F. Henriquez,I. Michea F.,2,1.33.41,10.7,452
09/03/2026,CLUB HIPICO DE SANTIAGO,8,16:45,1600,PASTO,4,TOQUE Y DESPEGUE,R. Cisternas,J. Orellana R.,3,1:59.32,20,450
09/03/2026,CLUB HIPICO DE SANTIAGO,8,16:45,1600,PASTO,5,SILVER TIGER,D. Sanchez,Jn. Cavieres A.,4,1:34.47,3.7,492
09/03/2026,CLUB HIPICO DE SANTIAGO,8,16:45,1600,PASTO,6,JANNIK,J. Herrera,J. Orellana R.,1,1:34.07,4.5,469
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,1,DON TOMMASINO,J. Medina,P. Baeza A.,4,1:04.16,3.4,503
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,2,MORRISON,H. Ochoa,R. Sanchez Q.,2,1:09.54,1.6,473
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,3,SIETE VEINTIUNO,R. Fuenzalida,C. Gonzalez M.,10,1.11.30,6.7,468
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,4,YO CELEBRO,D. Alvarado,C. Raby V.,DEBUTA,,,
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,5,NETO POSITIVO,B. Sancho,Cl. Bernal G.,DEBUTA,,,
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,6,MAJOR TOM,J. Herrera,M. Rabajille D.,4,1:09.97,7.8,455
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,7,ALL IN,0. Ulloa,P. Baeza A.,6,1:09.54,6.1,499
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,8,CHITORO,N. Santibañez,P. Valderrama C.,4,1:09.97,10.2,464
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,9,SOPELANA,G. Ulloa,H. E. Ulloa P.,3,DEBUTA,,,
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,10,NEGRETINO,B. Soto,Js. Araya B.,5,1:09.97,31.8,455
09/03/2026,CLUB HIPICO DE SANTIAGO,9,17:15,1300,PASTO,11,BUENOS TIEMPOS,Jr. Zuñiga,0. Martinez L,2,1:09.10,7.5,490
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,1,MR CASPER,M. Gutierrez,C. Gonzalez M.,8,1:11.47,13.7,435
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,2,MIYAGI,J. Herrera,M. Rabajille D.,7,1:17.69,6.1,492
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,3,DOCTORA MILAGRO,R. S. Dores,D. Matte D.,2,1:11.47,12.4,479
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,4,MUY ADMIRADO,J. A. Miño,J. Castille L,2,1:15.90,6.3,493
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,5,REY RANGNAR,B. Troncoso,E. Carreño R.,6,1:18.31,10,426
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,6,KORPER,R. Avila,R. Montesino S.,5,1:11.18,13.3,487
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,7,GIORGIO DI CAPRI,A. Vasquez,M. Perez A.,6,1.10.02,3.4,438
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,8,GARFUNKEL,J. Medina,P. Baeza A.,4,1:23.77,2.8,521
09/03/2026,CLUB HIPICO DE SANTIAGO,10,17:15,1400,ARENA,9,GRAN KURU,L. C. Gonzalez,A. Parra D.,12,1:12.06,10.3,500
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,1,ONIX BLUE,R. Painen,S. Morales G.,3,0:57.08,6.1,428
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,2,CORAL REEF,H. Ochoa,A. Parra D.,3,1:24.57,9.5,497
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,3,EL GRIEGO,J. Medina,P. Baeza A.,7,1:24.00,1.6,532
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,4,GONE STAR,R. Fuenzalida,Cl. Navarro A.,7,1:11.47,8.9,443
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,5,SEVEN SUMMITS,Jr. Zuñiga,J. C. Silva S.,6,1.54.81,5.8,491
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,6,ANCELOTTI,J. Herrera,M. Rabajille D.,5,1:23.51,1.3,473
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,7,BERJARMIN,B. Sancho,Cr. Urbina R.,3,1.09.82,14.6,503
09/03/2026,CLUB HIPICO DE SANTIAGO,11,17:45,1400,ARENA,8,MR YO,R. S. Dores,C. Gonzalez M.,7,1:11.32,6.4,459
