Fecha,Carrera,Hora,Nombre_Premio,Distancia,Pista,Numero,Caballo,Padrillo,Peso,Jinete,Preparador
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,1,AMAYNA,The Lumber Guy,55,L. C. Gonzalez,F. Gonzalez S.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,2,NO TIENE PALABRA,Flyer,56,B. Sancho,R. Montesino S.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,3,KING NICOLAS,Neko Bay,57,R. Painen,M. Velarde B.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,4,MICCA,Mendelssohn,56,Gvo. Aros,W. Peña P.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,5,LADY OF MERCIA,Scat Royal,56,S. Alvarado P.,R. Fuenzalida
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,6,VALLTTERI,War Command,55,F. Henriquez,R. Montesino S.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,7,MY CLAUDIA,Seeking The Dia,56,G. Rodriguez,W. Peña P.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,8,GRAN SAMIR,Scat Royal,56,B. Troncoso,W. Peña P.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,9,NEVER HANGING,No Nay Never,55,D. Sanchez,A. Aviles L.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,10,CARIÑOSITO,Tumblebrutus,57,R. S. Dores,D. Matte D.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,11,ANTUMBRA,Distorted Economy,57,L. Gonzalez,R. Montesino S.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,12,LEYSKA,Grand Daddy,57,Seb. Gonzalez,Js. Araya B.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,13,REPUBLIC ANA,Exaggerator,56,Js. Solano,R. Toledo M.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,14,VUELVE LA FARRA,El Farrero,57,Cl. Jorquera,R. Silva S.
25/12/2025,1,12:00,Pr. DIRECTOR DE TURNO,1100,Arena,15,SU MERCI,Sumerio,57,D. Contreras A.,R. L. Araya
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,1,PIANTAO,Zawraq,57,R. Cisternas,A. Bernal G.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,2,JEREZANO,Ivan Denisovich,56,R. S. Dores,P. Diaz S.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,3,FLACO TITO,Mo Town,60,J. Medina,R. Sanchez Q.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,4,LOCO Y DEMENTE,Exaggerator,58,Gvo. Aros,A. Parra D.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,5,DON ALTOBELLO,Mendelssohn,58,D. Ulloa,P. Baeza A.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,6,VICHITO,Seeking The Dia,55,B. Troncoso,H. E. Ulloa P.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,7,CANTICIO,Classic Empire,55,Seb. Gonzalez,Js. Araya B.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,8,NUNCA PERDONA,Mendelssohn,60,R. Fuenzalida,Js. Araya B.
25/12/2025,2,12:26,Pr. JUANITO CAMINANTE,1200,Pasto,9,NI TRATO,Mo Town,55,H. Ochoa,R. Sanchez Q.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,1,YOKITA,Dylan Thomas,58,R. Cisternas,J. Orellana R.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,2,EL NANY,Flameaway,57,M. Morales,J. Pinochet P.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,3,ELKAN DADDY,Good Samaritan,59,N. Ramirez,O. Martinez L.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,4,TIGRO,Mastercraftsman,58,Gvo. Aros,C. Gonzalez M.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,5,DON GIORGIO,Dubai Sky,58,Jon. A. Castillo,A. Parra D.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,6,CATITA REVOLTOSA,Quick Cam,53,L. C. Gonzalez,W. Peña P.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,7,BICHOTA,Commemorative,56,R. Painen,S. Alvarado P.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,8,NO PASO AGOSTO,Cloud Computing,59,R. S. Dores,Js. Alvarez D.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,9,EL BOHEMIO,Midshipman,55,B. Troncoso,A. Padovani E.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,10,CLASSIC ARCH,Classic Empire,59,K. Espina,P. Baeza A.
25/12/2025,3,12:52,Pr. JERUZ,1200,Pasto,11,CHOW CHOW,Good Samaritan,59,P. Reyes,O. E. Silva G.
25/12/2025,4,13:11,Pr. LA COPA (Clásico Gr. 3),2400,Pasto,1,MY WAY,Mendelssohn,59.5,O. Ulloa,P. Baeza A.
25/12/2025,4,13:11,Pr. LA COPA (Clásico Gr. 3),2400,Pasto,2,LA DIGNATARIA,Classic Empire,57.5,Jr. Zuñiga,J. C. Silva S.
25/12/2025,4,13:11,Pr. LA COPA (Clásico Gr. 3),2400,Pasto,3,FRATELI LA VITA,Seeking The Dia,60,L. Torres,Js. Araya B.
25/12/2025,4,13:11,Pr. LA COPA (Clásico Gr. 3),2400,Pasto,4,KANE,Mendelssohn,59.5,J. Medina,P. Baeza A.
25/12/2025,4,13:11,Pr. LA COPA (Clásico Gr. 3),2400,Pasto,5,MEDJOOL,Constitution,60,Jr. A. Gonzalez,J. Orellana R.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,1,LUCHIN ENOJON,Forever Thing,55,R. Solorza,F. Gonzalez S.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,2,MERCI MON DIEU,Competitive Edge,55,W. Quinteros,D. Matte D.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,3,TAKE A NAP,Daddy Long Legs,57,Gvo. Aros,R. Silva S.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,4,BRINDO POR ELLA,Father Of Science,55,R. Cisternas,D. Matte D.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,5,BENVENUTO CELLINI,Rydilluc,55,R. Fuenzalida,F. Solar S.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,6,VOLANTE MIXTO,Layman,55,A. Apablaza,Fco. Faundez U.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,7,SIN MIEDO,Grand Daddy,55,Joh. Gonzalez,J. C. Pichara J.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,8,VALIO LA PENA,Katmai,56,G. Rodriguez,R. Montesino S.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,9,TANGERINE TANGO,Constitution,55,Fel. Moreno,H. Adonis B.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,10,SOBRAO DE CARIÑO,Van Nistelrooy,57,C. Ortega,A. Bernal G.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,11,LA SIGUIENTE,Exaggerator,57,Seb. Gonzalez,H. Manriquez F.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,12,EL NENE,Papelon,56,A. Alvarez,Cl. Bernal G.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,13,PEDRINHO,Gstaad II,55,Jr. A. Mora,Cl. Navarro A.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,14,SISI STAR,Mendelssohn,56,R. Avila,R. Montesino S.
25/12/2025,5,13:40,Pr. JUEGO OLIMPICO,1000,Arena,15,LATEN GOOD,Good Samaritan,56,G. Givovich,G. Peralta P.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,1,JALISCO,Ivan Denisovich,57,N. Ramirez,J. Pinochet P.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,2,TIO JUAN,Dubai Sky,57,Gvo. Aros,A. Padovani E.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,3,DIVINA FE,Seeking The Dia,60,M. Morales,J. Pinochet P.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,4,ONIX BLUE,Le Blues,58,R. Painen,S. Morales G.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,5,COKE SPIRIT,Ivan Denisovich,58,K. Espina,C. Gonzalez M.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,6,CRANS MONTANA,Bad Daddy,52,J. Medina,Cl. Bernal G.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,7,BY THE CLIFF,Over The Cliff,56,R. Cisternas,Cr. Urbina R.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,8,EXIJO RESPETO,War Command,60,J. Herrera,Js. Alvarez D.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,9,WEST PALM BEACH,Kingly,56,Jon. A. Castillo,Js. Allende F.
25/12/2025,6,14:08,Pr. JARDIN DEL REY,1200,Pasto,10,IMPLICADO,Robert Bruce,61,O. Ulloa,H. E. Ulloa P.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,1,JOY VANITY,Lookin At Lucky,55,J. Medina,P. Baeza A.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,2,MISS NINNA,Tacitus,55,Jr. A. Gonzalez,J. Orellana R.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,3,CANDY FLAME,Flameaway,55,H. Ochoa,R. Sanchez Q.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,4,GUN SHOOT,Flyer,55,J. Toro,A. Parra D.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,5,DOLLAR TREE,Spun To Run,55,B. Soto,Js. Araya B.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,6,VOLANTINERA,Flyer,55,I. Valdivia,P. Baeza A.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,7,MUAK,Kingly,55,D. Sanchez,A. Parra D.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,8,CUFFINA,Ivan Denisovich,55,R. Cisternas,C. Raby V.
25/12/2025,7,14:36,Pr. EL DEBUT POTRANCAS,1000,Pasto,9,PIENSA EN SILENCIO,Katmai,55,V. Miranda,A. Padovani E.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,1,QUE VIVA EL REY,Dylan Thomas,56,G. Givovich,M. Velarde B.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,2,REY DEL ESTERO,Patternrecognition,58,J. Herrera,H. E. Ulloa P.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,3,SAMARITAN CAT,Good Samaritan,57,R. Painen,O. E. Silva G.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,4,MARIA SUREÑA,Good Samaritan,56,Gvo. Aros,C. Gonzalez M.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,5,FREE REIN,Hold Me Back,56,R. S. Dores,R. Rojas S.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,6,JAVIVALETU,Exaggerator,55,V. Miranda,A. Padovani E.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,7,BLUE KENTUCKY GIRL,Awesome Patriot,55,W. Leon,G. Covarrubias E.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,8,EN HONOR A TITO,Patternrecognition,56,Joh. Gonzalez,F. Gonzalez S.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,9,INTRIGANT,Boboman,55,Js. Cueto,S. Alvarado P.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,10,SALDO CONTABLE,Distorted Economy,57,R. Fournet,R. Silva S.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,11,PATMAHO,Grand Daddy,57,B. Soto,Js. Araya B.
25/12/2025,8,15:05,Pr. JUEGO,1000,Arena,12,SECUENCIA PERFECTA,Kingly,57,R. Fuenzalida,Js. Allende F.
