Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,15:00,FORZA JORDANIA,1100,,1,FERRATA,55,G. Pereda,E. González
1,15:00,FORZA JORDANIA,1100,,2,LA PECORA,55,A. Pereda,E. González
1,15:00,FORZA JORDANIA,1100,,3,INDIA PRESUMIDA,55,I. Cárcamo,A. Cea
1,15:00,FORZA JORDANIA,1100,,4,LA SCHIFFER,55,V. Mardones,A. Cea
1,15:00,FORZA JORDANIA,1100,,5,PERFECT LOOK,55,C.A. Rojas,R. Vásquez
1,15:00,FORZA JORDANIA,1100,,6,IRLANDESA DORADA,55,I. Olate,F. Saavedra
1,15:00,FORZA JORDANIA,1100,,7,VIDEL,55,Js. Vera,F. Acevedo
1,15:00,FORZA JORDANIA,1100,,8,MI TOÑITA,55,C. Pavez,A. Cea
1,15:00,FORZA JORDANIA,1100,,9,MONJITA DULCE,55,C. Cordero,C. Córdova
1,15:00,FORZA JORDANIA,1100,,10,FABI,55,A. Soto,L.G. Soto
1,15:00,FORZA JORDANIA,1100,,11,PRINCESA LAURA,55,M. Urzúa,E. Alarcón
2,15:30,FAMOSO DE TIOS,1100,,1,CORAZON PURO,57,Js. Vera,V. Gallardo
2,15:30,FAMOSO DE TIOS,1100,,2,PRETOR PEREGRINUS,57,B. Díaz,C. Córdova
2,15:30,FAMOSO DE TIOS,1100,,3,EL PERRO NEGRO,57,G. Pereda,H. Arteaga
2,15:30,FAMOSO DE TIOS,1100,,4,REY DEL PUEBLO,57,J.A. Inostroza,C. Córdova
2,15:30,FAMOSO DE TIOS,1100,,5,MADAME PIA,55,C. Cordero,J. Espinosa
2,15:30,FAMOSO DE TIOS,1100,,6,FUERA DE MI,57,J.P. Torres,E. González
2,15:30,FAMOSO DE TIOS,1100,,7,MISS CHILENERA,55,A. Soto,L.G. Soto
2,15:30,FAMOSO DE TIOS,1100,,8,DOÑA HAYDEE,55,V. Mardones,C. Córdova
3,16:00,GOLPEADA,1100,,1,CORONADO,61,A. Pereda,C. Norambuena
3,16:00,GOLPEADA,1100,,2,CARLUCCI,54,J. Olate,H. Arteaga
3,16:00,GOLPEADA,1100,,3,JOUMA,59,J. Barril,Ev. Alarcón
3,16:00,GOLPEADA,1100,,4,SUENA EL DEMBOW,54,C. Pavez,J. Amaya
3,16:00,GOLPEADA,1100,,5,EL MENTALISTA,53,F. Acevedo,JA. Miño
3,16:00,GOLPEADA,1100,,6,GIOCATORE,55,G. Pereda,H. Arteaga
4,16:30,FIRST TRUCK,1300,,1,SNOOKER,62,I. Cárcamo,A. Cea
4,16:30,FIRST TRUCK,1300,,2,GOLDEN GIANT,59,I.P. Torres,G. Melo
4,16:30,FIRST TRUCK,1300,,3,NIÑA SAMARITANA,60,J. Olate,H. Arteaga
4,16:30,FIRST TRUCK,1300,,4,COPAYAPU,58,G. Pereda,A. Navarrete
4,16:30,FIRST TRUCK,1300,,5,VICTORY DAVID,55,G. Vera,F. Acevedo
4,16:30,FIRST TRUCK,1300,,6,GATO CALICO,60,I.A. Inostroza,A. Cea
4,16:30,FIRST TRUCK,1300,,7,KOSANTA,54,V. Mardones,F. Acevedo
4,16:30,FIRST TRUCK,1300,,8,DOBLE NEGRO,56,Js. Vera,E. Alarcón
4,16:30,FIRST TRUCK,1300,,9,STROKE OF LUCK,55,A. Pereda,R. Vásquez
5,17:00,FARO BELEN,900,,1,BEL CUORE,56,C.A. Rojas,C. Córdova
5,17:00,FARO BELEN,900,,2,DOMINGA MISTERIO,56,C. Cordero,J. Espinosa
5,17:00,FARO BELEN,900,,3,CATEDRAL DEL MAR,56,J.A. Inostroza,A. Cea
5,17:00,FARO BELEN,900,,4,EL CATIMBA,56,J.P. Torres,A. Cea
5,17:00,FARO BELEN,900,,5,PANTEU,56,C. Pavez,N. Norambuena
5,17:00,FARO BELEN,900,,6,CORRE CALATO,56,G. Pereda,H. Arteaga
5,17:00,FARO BELEN,900,,7,PREFIERO CALLAR,56,L. Rojas,H. Arteaga
5,17:00,FARO BELEN,900,,8,EL PARACAIDISTA,56,B. Díaz,C. Córdova
5,17:00,FARO BELEN,900,,9,GUERRERO MAZAI,56,I. Olate,F. Acevedo
6,17:30,FILS UP,1000,,1,CORNELIO ESCIPION,58,V. Mardones,C. Córdova
6,17:30,FILS UP,1000,,2,SHINING STORY,56,E. González,J. Barril
6,17:30,FILS UP,1000,,3,CHARMING STAR,56,C. Norambuena,A. Pereda
6,17:30,FILS UP,1000,,4,ULTRASONIDO,56,G. Vera,F. Acevedo
6,17:30,FILS UP,1000,,5,PORTON DE HIERRO,55,I. Cárcamo,E. González
6,17:30,FILS UP,1000,,6,MAGICO SECRETO,56,C. Norambuena,G. Pereda
6,17:30,FILS UP,1000,,7,TUDO GOSTOSO,55,F. Acevedo,I. Olate
6,17:30,FILS UP,1000,,8,ONKEL BRUNO,55,L. Rojas,Ev. Alarcón
7,18:00,FUERZA Y CORAJE,1000,,1,JOVENTURFMAN,61,J.P. Torres,L.G. Soto
7,18:00,FUERZA Y CORAJE,1000,,2,ASSADI,58,G. Pereda,H. Arteaga
7,18:00,FUERZA Y CORAJE,1000,,3,CORAZON PENQUISTA,59,C. Pavez,E. González
7,18:00,FUERZA Y CORAJE,1000,,4,EL REGENTO,57,L. Rojas,H. Arteaga
7,18:00,FUERZA Y CORAJE,1000,,5,MIRADA DE ANGEL,54,I. Cárcamo,E. González
7,18:00,FUERZA Y CORAJE,1000,,6,LINDA LA GRINGA,58,J. Barril,E. González
7,18:00,FUERZA Y CORAJE,1000,,7,VELA AZUL,54,V. Mardones,C. Norambuena
7,18:00,FUERZA Y CORAJE,1000,,8,JUDGE ROOM,55,A. Pereda,C. Norambuena
7,18:00,FUERZA Y CORAJE,1000,,9,FRESCO,54,Js. Vera,F. Acevedo
7,18:00,FUERZA Y CORAJE,1000,,10,DON PACHALO,63,G. Vera,E. González
8,18:30,FOLICULO,1000,,1,YERKO,61,G. Vera,E. González
