fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,1,NIÑA SAMARITANA,Good Samaritan,59,N. Carvajal,H. Arteaga
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,2,CORAZON PENQUISTA,Ahora II,60,C. Pavez,E. González
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,3,DOBLE NEGRO,Lookin At Lucky,55,M. Urzúa,E. Alarcón
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,4,MAGICO SECRETO,Ivan Denisovich,58,G. Pereda,C. Norambuena
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,5,FRESCO,Mayakovsky,56,B. Cordero,F. Acevedo
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,6,ROJO JAMAS,Mayakovsky,59,V. Mardones,G. Melo
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,7,SURICATA,Exaggerator,57,C.A. Rojas,R. Vásquez
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,8,ASSADI,Grand Daddy,60,I. Olate,H. Arteaga
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,9,LINDA LA GRINGA,Megliore Di Tutti,60,G. Vera,E. González
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,10,SONRIELE,Flyer,55,I. Cárcamo,R. Vásquez
17-02-2026,Club Hípico de Concepción,1,17:00,IRRUMPIDOR,1100,Arena,11,ROMAN WAR,War Command,60,J.P. Torres,G. Melo
17-02-2026,Club Hípico de Concepción,2,17:30,INDUNA,1100,Arena,1,GRAN TAITA,Grand Daddy,57,J. Olate,F. Acevedo
17-02-2026,Club Hípico de Concepción,2,17:30,INDUNA,1100,Arena,2,CLAVERIA,Van Nistelrooy,57,J. Barril,E. Alarcón
17-02-2026,Club Hípico de Concepción,2,17:30,INDUNA,1100,Arena,3,VIDEL,Tapitdoro,55,C. Cordero,F. Acevedo
17-02-2026,Club Hípico de Concepción,2,17:30,INDUNA,1100,Arena,4,TE ANDAN BUSCANDO,Palm Springs,57,C. Pavez,F. Acevedo
17-02-2026,Club Hípico de Concepción,2,17:30,INDUNA,1100,Arena,5,TIO SALCHICHA,Imperia II,57,B. Cordero,F. Acevedo
17-02-2026,Club Hípico de Concepción,2,17:30,INDUNA,1100,Arena,6,OLIMPIC BLUE,El Milagrito,57,G. Pereda,Ev. Alarcón
