fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador,pozo
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,1,KASCLARITO,Mayakovsky,55,F. Acevedo,A. Pereda,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,2,LUDMILA,Boboman,56,J. Espinosa,G. Vera,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,3,LA RECAUDADORA,Ascot Prince,56,A. Cea,J.A. Inostroza,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,4,TROMBONCITO,Viscount Nelson,55,L.G. Soto,A. Soto,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,5,CHARMING STAR,Mendelssohn,56,C. Norambuena,G. Pereda,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,6,PATRONUS,Gemologist,55,H. Arteaga,J. Olate,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,7,DALE FLORA,Feliz De La Vida,57,F. Saavedra,Jn.A. Campos,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,8,CHE NOVA,Dubai Sky,55,Ev. Alarcón,A. Vega,6.000.000
10-03-2026,Concepción,1,16:30,KAINITA,1100,Arena,9,MISS SPRING,Palm Springs,57,C. Córdova,V. Mardones,6.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,1,PREFIERO CALLAR,Grand Daddy,56,H. Arteaga (AP),1. Cárcamo,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,2,GUERRERO MAZAI,Ivan Denisovich,56,F. Acevedo,B. Díaz,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,3,ENGLA,Tumblebrutus,56,C. Córdova,J. Moya,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,4,SOY ECONOMICO,Distorted Economy,56,LG. Soto,A. Soto,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,5,EL PERRO NEGRO,Exaggerator,56,H. Arteaga,G. Pereda,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,6,PRINCIPE DE ORO,Hold Me Back,56,J.P. Torres,E. Alarcón,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,7,COMO TE EXTRAÑO,Goldencents,56,C. Pavez,N. Norambuena,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,8,HEY NINA,Seeking The Dia,56,R. Bello,J.A. Miño,1.000.000
10-03-2026,Concepción,2,17:00,KAPPO,900,Arena,9,EL PARACAIDISTA,Sposito,56,C. Córdova,V. Mardones,1.000.000
10-03-2026,Concepción,3,17:30,GRACIOSISIMO,1400,Arena,1,FIRST RAIDER,Morning Raider,53,G. Melo,C. Pavez,2.000.000
10-03-2026,Concepción,3,17:30,GRACIOSISIMO,1400,Arena,2,NEGRO BUENO,Dylan Thomas,54,C. Norambuena,G. Pereda,2.000.000
10-03-2026,Concepción,3,17:30,GRACIOSISIMO,1400,Arena,3,MUY DONOSO,Lookin At Lucky,60,E. González,1. Olate,2.000.000
10-03-2026,Concepción,3,17:30,GRACIOSISIMO,1400,Arena,4,PECADO INCONFESABLE,Remote,51,C. Córdova,V. Mardones,2.000.000
10-03-2026,Concepción,3,17:30,GRACIOSISIMO,1400,Arena,5,CORONADO,Practical Joke,61,C. Norambuena,G. Vera,2.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,1,LA SCHIFFER,El Manu,55,A. Cea,A. Pereda (4),5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,2,VIAJE A CARMEL,Forward March,57,J. Espinosa,Jn.A. Campos (2),5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,3,SEÑOR PENQUISTA,Flyer,57,E. González,G. Pereda (4),5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,4,POLLY GRAY,Ticket To Run,55,G. Melo,G. Vera,5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,5,SEVEN POINTS,Dubai Sky,57,A. Cea,J. Moya,5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,6,MI TOÑITA,El Manu,55,A. Cea,C. Pavez (1),5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,7,ARANTES,Newfoundland,57,E. Alarcón,B. Díaz (4),5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,8,LA PECORA,Flyer,55,E. González,V. Mardones (4),5.000.000
10-03-2026,Concepción,4,18:00,KIOTO,1000,Arena,9,OLIMPIC BLUE,El Milagrito,57,Ev. Alarcón,M. Urzúa (4),5.000.000
10-03-2026,Concepción,5,18:30,KAWESKAR,1000,Arena,1,COMPADRE CRISTIAN,Gstaad II,56,C. Córdova,V. Mardones,1.000.000
10-03-2026,Concepción,5,18:30,KAWESKAR,1000,Arena,2,LINDA LA GRINGA,Megliore Di Tutti,57,E. González,J. Moya,1.000.000
10-03-2026,Concepción,5,18:30,KAWESKAR,1000,Arena,3,GANO Y VUELVO,Competitive Edge,61,Ev. Alarcón,A. Vega,1.000.000
10-03-2026,Concepción,5,18:30,KAWESKAR,1000,Arena,4,MISS LADY CLASSIC,Classic Empire,54,J. Espinosa.,G. Vera,1.000.000
