fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,1,PASAPALABRA,Bad Daddy,57,V. Miranda,F. Gonzalez S.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,2,DIMITRA,Grand Daddy,57,4 Joh. Gonzalez (Ap),J. Silva B.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,3,DANITA FIRST,Seeking The Dia,57,L.,C. Gonzalez C. Garcia V.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,4,REPUBLIC ANA,Exaggerator,57,R.,S. Dores R. Toledo M.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,5,VAN DER SAR,Bad Daddy,57,Seb. Gonzalez,G. Melej R.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,6,ANTIOCO,Classic Empire (Usa),57,4 C. Ortega,R. Montesino S.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,7,MANCHITA DEL ÑUBLE,Admiral,57,5 R. Fuenzalida,C. Melero F.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,9,MICCA,Mendelssohn (Usa),57,B. Sancho,W. Peña P.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,10,NEGRO APAPUCHI,El Piñon,57,Cl. Jorquera,G. Peralta P.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,11,DI LA VERDAD ROSA,Layman,57,4 Js. Cueto,Fco. Faundez Ll.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,12,FELIPHON,Shanghai Bobby,57,A. Varas,A. Fernandez L.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,13,NIETA DEL MONTY,Court Vision,57,9 R. Cisternas,D. Matte D.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,14,EL KICHAN,Exaggerator,57,Js. Villablanca,M. Velarde B.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,15,THOTHO,Stay Thirsty,57,R. Covarrubias,R. Toledo M.
