Reunion;Fecha;Carrera_Nro;Tiempo;Premio;Bolsa_Premios;Distancia;Condiciones;Nro_Caballo;Ejemplar;Padrillo;Haras_Stud;Edad;Peso;Jinete;Preparador;Campaña_Total;Ultimos_Resultados;L_o;IR
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;1;Roman War;War Command;Haras Don Alberto - Stud La Corina;9;56;José Villablanca;Genaro J. Covarrubias E.;235-25-31-21-26;4° 1° 13° 12° 9°;5°;13,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;2;Mestiza Flor;Midshipman;Haras Don Alberto - Stud Bruno Alonso;6;55;Luis D. Menghini;Isaac Michea F.;113-6-9-14-6;11° 1° 11° 10° 10°;2°;17,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;3;The Grunge;Exaggerator;Haras Doña Icha - Stud Redbros;4;55;José Rodríguez;Oscar Donate S.;20-1-0-0-1;6° 4° 11° 10° 10°;8°;12,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;4;Me Veras Caer;Iron Clad;Haras Santa Aurora - Stud Carlos Cavieres;4;56;Darien Cheuque;Julio Castillo D.;13-0-1-1-1;U° 14° U° U° 2°;11°;10,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;5;Francoli;Seeking The Dia;Agricola Santa Eliana Spa - Stud Lucaraste;5;55;Jorge Vera;Rodrigo Quiroz S.;123-5-3-9-7;3° 7° 3° 8° 3°;7°;12,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;6;Beautiful Moon;Exaggerator;Jaime Hirmas R. - Stud Los Aviadores;4;55;Lesly C. González;Jaime Hirmas R.;53-2-1-2-6;7° 1° 7° 13° 8°;10°;10,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;7;First Classic;Classic Empire;Haras Paso Nevado - Stud Los Garrido;4;56;Sebastián González;Eugenio Switt V.;16-0-5-2-2;2° 2° 3° 3° 4°;1°;18,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;8;Vine Vide Vinci;Tumblebrutus;Haras Santa Marta - Stud Lusugo;11;56;Diego Carvacho;Rodrigo Quiroz S.;336-20-31-29-39;5° 6° 2° 4° 4°;9°;10,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;9;Vicaria Amelia;California Chrome;Haras Sumaya - Stud Lcg;6;56;Jaime A. Miño;Mario A. Apablaza G.;116-3-7-11-9;6° 6° 6° 2° 6°;12°;8,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;10;Kirsch Royal;Leading The Parade;Haras Las Camelias - Stud Quarter Dollar;11;55;Boris González;Mario Covarrubias;273-17-27-24-29;4° 3° 11° 6° 6°;13°;7,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;11;Meme;Good Samaritan;Haras San Ignacio - Stud Sema;4;56;Joaquín Herrera;Rafael Bernal G.;46-3-3-2-1;6° 6° 9° 2° 6°;3°;15,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;12;La Tostadora;Cupid;Haras Convento Viejo - Stud Grande Tio Kiko;5;56;Andrés Covarrubias;Hernán Pacheco P.;39-1-2-3-5;5° 4° 3° 4° 3°;6°;13,2
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;13;Juntitos Siempre;Grand Daddy;Haras Mocito Guapo - Stud Patito;4;55;Jorge L. Vergara;Rodrigo López B.;21-0-0-0-0;5° 7° 12° 9° 7°;15°;5,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;14;Queen Any;Cloud Computing;Haras Doña Icha - Stud Los Cabezas Alvarez;5;56;Benjamin Sancho;Raúl Montesino S.;78-1-6-4-3;11° U° 9° 10° 11°;4°;14,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;15;Su Merci;Sumerio;Criadero Morat - Stud Don Ismael;4;56;Ariel Zúñiga;Daniel Contreras A.;38-1-1-3-8;3° 10° 3° 7° 13°;14°;6,2
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;1;La Salchi;Shampoo Silver;Pedro Espinoza P. - Stud Oxiper;3;55;Patricio Galáz;Hernán Pacheco P.;16-0-2-1-0;8° 7° 3° 2° 5°;8°;10,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;2;Sogna Con Me;Ya Primo;Haras Don Alberto - Stud Jose Venegas P.;3;55;Fabian Medina;José Venegas P.;19-0-4-3-6;U° 5° 4° 3° 2°;2°;21,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;3;Valkiria;Classic Empire;- Stud Luigi;3;55;Nicolás Santibañez;Luis Urbina H.;5-0-1-1-0;6° 7° 3° 2° U°;10°;9,9
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;4;Diosa Kali;Spun to Run;Haras Porta Pía - Stud José Bravo M.;3;55;Daniel Medina;José Bravo M.;18-0-0-2-2;7° 4° 3° 3° 4°;7°;11,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;5;Perfide;Ivan Denisovich;Haras Don Alberto - Stud Chamo Candela;3;55;Rodolfo S. Dores;Jaime Hirmas R.;9-0-1-2-2;6° 4° U° 4° 2°;5°;15,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;6;Old City;Dubai Sky;Haras Las Araucarias - Stud Las Araucarias;3;55;Nicolás Molina;Rodrigo Quiroz S.;19-0-2-1-2;8° 10° U° 2° 8°;9°;10,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;7;Bacancita;Lookin At Lucky;Haras Don Alberto - Stud Stud Dona Lili;3;56;Jorge A. González;Carlos Raby V.;0-0-0-0-0;N/A;1°;21,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;8;Me Das Otro Beso;Patternrecognition;Haras Santa Olga - Stud Matias Hector;3;55;Gerard Rodríguez;Pedro Molina I.;13-0-1-2-1;4° 8° 8° 7° 7°;4°;17,3
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;9;La Trotona;Robert Bruce;Haras Convento Viejo - Stud Haras Convento Viejo;3;55;Sebastián González;Jorge Andrés Inda D.;2-0-0-0-0;11° 5°;3°;19,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;10;Sibila Red;Get Jets;Haras San Ignacio - Stud Redbros;3;55;Darien Cheuque;Oscar Donate S.;4-0-0-0-0;6° 6° 7° 9°;11°;9,9
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;11;La morita;The Lumber Guy;Haras Lizzie - Stud Haras Lizzie;3;55;Hugo Ochoa;Rodrigo Sánchez Q.;2-0-0-0-0;10° 11°;6°;13,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;1;Alcides;Midshipman;Haras Don Alberto - Stud Charrúa;4;57;Anyelo Rivera;Julio Orellana R.;24-3-3-3-7;3° 2° 6° 4° 1°;1°;53,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;2;El Florito;Ascot Prince;Haras Don Luis - Stud Alto Las Piedras;7;50;Héctor Barrera;Rafael Bernal G.;172-12-18-15-15;6° 6° 1° 1° 4°;6°;11,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;3;Roce Secreto;Good Samaritan;Haras Viejo Perro - Stud Viejo Perro;4;50;Jesus Toro;Juan C. Pichara J.;28-1-5-8-4;4° 3° 6° 3° 3°;2°;16,7
