Carrera,Hora,Nombre,Distancia,Tipo,Pista,Bolsa_Total,Premio_1,Premio_2,Premio_3,Premio_4,Numero,Ejemplar,Padrillo,Edad,Peso,Jinete,Preparador
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,1,Tia Marta,Viscount Nelson,5,55,Nicolás Santibañez,Juan Ubilla P.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,2,Alinfinitoymasalla,Business Bay,4,55,Rodolfo Fuenzalida,Ricardo Rojas S.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,3,Palabras Serenas,California Chrome,6,56,Sebastián Muñoz,Luis Machulas G.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,4,Vicaria Amelia,California Chrome,6,55,Jaime A. Miño,Mario A. Apablaza G.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,5,Bonita Flor,Awesome Patriot,5,55,Cathrine Weilby,Juan Ubilla P.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,6,Su Merci,Sumerio,4,55,Ariel Zúñiga,Daniel Contreras A.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,7,Juntitos Siempre,Grand Daddy,4,54,Jorge Vera,Rodrigo López B.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,8,Beautiful Moon,Exaggerator,4,54,Axel Alvarez,Jaime Hirmas R.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,9,Kirsch Royal,Leading The Parade,11,57,Boris González,Mario Covarrubias
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,10,Pop Vision,Court Vision,8,55,Nicolás Molina,Walter Biava R.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,11,Queen Any,Cloud Computing,5,59,Benjamin Sancho,Raúl Montesino S.
1,12:30,Primer Deseo,1000m,Handicap 8-1,Arena,2619500,1690000,473200,304200,152100,12,Indy Jets,Get Jets,4,55,Lesly C. González,Rodrigo Muñoz M.
