reunion,fecha,hipodromo,carrera,hora,distancia,tipo_carrera,num,caballo,padre,madre_abuelo,stud,edad,peso,jinete,preparador,campana_anio,ultimas_carreras,dias_sin_correr,ultimo_lugar,indice_proyectado
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,1,Mal Mirada,Il Rey Ivan,,Stud Jaime Espiñeira C.,4,55,Rafael Cisternas,Jaime Espineira C.,31-1-2-5-1,14° 6° 2° 9° 3°,7,4°,14.7
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,2,El Forastero,Roman Ruler,,Stud Chamo Candela,8,56,Agustin Villagra,Ricardo Rojas S.,114-9-6-8-7,10° 11° 4° 3° 4°,12,13°,6.7
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,3,Valio La Pena,Katmai,,Stud Bruno Alonso,4,56,Marco Morales,Raúl Montesino S.,33-2-1-2-0,12° 14° 8° 8° U°,7,10°,9.5
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,4,Tesorito Mio,Annual Report,,Stud Melany,4,56,Nicolás Ramirez,José Araya B.,34-1-3-4-7,6° 6° 4° 3° 13°,20,2°,18.5
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,5,Sin Miedo,Grand Daddy,,Stud Seguir Soñando,4,55,Lesly C. González,Juan C. Pichara J.,25-2-3-2-1,8° 12° 11° 12° U°,12,5°,13.4
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,6,Ponle Toby,El Distinto,,Stud Los Tordillos,5,56,Nelson Rojas,Rafael Bernal G.,50-2-9-1-7,12° 7° 4° 9° 5°,7,11°,9.2
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,7,Marsali,Scat Royal,,Stud Inefable,6,56,Benjamin Troncoso,Mario A. Apablaza G.,82-12-5-8-3,U° 10° 10° 3° 5°,2,17°,12.0
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,8,Gamorra,The Lumber Guy,,Stud Los Bello,7,56,Benjamin Sancho,Rodrigo Quiroz S.,117-3-10-8-5,9° 3° 2° 2° 11°,5,8°,11.4
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,9,India Terca,Gemologist,,Stud Florence,8,54,José Cueto,Eugenio Switt V.,219-13-12-17-14,11° 1° U° 13° 13°,5,12°,8.4
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,10,Lady Bay,Neko Bay,,Stud Viejo Querido,4,55,Andrés Covarrubias,José Lastra B.,43-1-1-1-4,4° 1° 8° 11° 3°,7,1°,20.9
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,11,Silvestrin,Daddy Long Legs,,Stud Albino,10,56,Luis Silva,Mario A. Apablaza G.,278-21-10-23-27,4° 13° 13° 9° 4°,5,9°,11.1
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,12,La Flower,Iron Clad,,Stud Solin,7,56,Gustavo Aros,Hernán Pacheco P.,96-10-11-12-12,6° 7° 9° 10° 10°,7,6°,12.7
87,2025-12-18,Hipódromo Chile,1,13:00,1000m,Handicap,13,Azra,Good Samaritan,,Stud Tata Pepe,4,56,Gerard Rodríguez,Eduardo Lab R.,37-2-0-1-4,14° U° 12° 1° 4°,7,3°,17.3
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,1,Seven Points,Dubai Sky,,Stud Malcib,3,57,Jorge Vera,Rodrigo Quiroz S.,13-0-0-0-1,9° 6° 13° 12° 11°,7,4°,11.1
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,2,Cual Es Tu Ley,Good Samaritan,,Stud El Mero Mero,3,57,Benjamin Ayala,Luis Machulas G.,13-0-0-0-0,5° 5° 8° 7° 13°,7,10°,5.1
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,3,Like A Prayer,Alfonso,,Stud Forza Al Canut,3,57,Juan Tapia,Juan Ubilla P.,9-0-0-0-1,13° 8° 4° 12° 5°,31,12°,4.1
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,4,Je Suis Pret,Mendelssohn,,Stud Doña Ester,3,57,Bernardo León,Mario Covarrubias,11-0-0-1-0,14° 13° 9° 3° 12°,7,2°,17.1
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,5,Teatro Griego,Viscount Nelson,,Stud Ganadero,3,57,David Sánchez,Alberto Aviles L.,14-0-1-2-0,3° 2° 5° 5° 5°,7,8°,7.3
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,6,Hey Dj,Imperia II,,Stud Morat,3,57,Oscar Ulloa,Cristián Urbina R.,7-0-2-0-2,5° 4° 2° 4° 2°,19,1°,19.0
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,7,Grand Lucho,Grand Daddy,,Stud Oxiper,3,57,Marco Morales,Hernán Pacheco P.,18-0-0-0-0,8° 9° 8° 6° 7°,7,5°,11.0
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,8,Dos Locos,Grand Daddy,,Stud Agric.Santa Laura,3,57,Agustin Villagra,José Allende F.,5-0-0-0-0,10° 11° 6° U° 10°,7,14°,2.8
87,2025-12-18,Hipódromo Chile,2,13:25,1000m,Condicional,9,Teen Wolf,Ivan Denisovich,,Stud Gonzalez Toro,3,57,Ariel Zúñiga,Leopoldo Parra G.,9-0-0-0-0,U° U° 11° 12° 8°,19,13°,2.9
