Reunion,Fecha,Hipodromo,Carrera,Hora,Distancia,Tipo,Numero,Ejemplar,Padre,Jinete,Preparador,Edad,Peso,Dividendo_Probable,Ranking_Pronostico
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,1,Peluka,Frank Conversation,Nicolás Ramirez,Juan C. Pichara J.,4,55,13.5,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,2,Meme,Good Samaritan,Miguel Gutiérrez,Rafael Bernal G.,4,55,13.7,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,3,Silverchair,Papelon,Alberto Vásquez,Oscar Donate S.,4,55,15.0,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,4,Kirsch Royal,Leading The Parade,Rodrigo Covarrubias,Mario Covarrubias,11,56,8.4,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,5,El Gran Tornado,Newfoundland,Felipe Henríquez,Mario A. Apablaza G.,8,55,14.9,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,6,Se Va El Caiman,Patternrecognition,Rodolfo Fuenzalida,Héctor Manríquez F.,5,55,14.4,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,7,Red Knight,Ivan Denisovich,Jorge Vera,Claudio Bernal G.,6,56,15.0,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,8,Kiastrelo,Ivan Denisovich,Bernardo León,Mario Covarrubias,4,55,15.8,3
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,9,Soy Enriqueta,State Of Play,Benjamin Troncoso,Alejandro Padovani E.,9,56,15.7,4
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,10,John Wayne,Aragorn II,Cathrine Weilby,Genaro J. Covarrubias E.,12,56,10.6,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,11,Spirit Fire,Caesarion,Miguel Fuentes,Genaro J. Covarrubias E.,10,55,9.5,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,12,Giulietta Amore,Ivan Denisovich,Nelson Rojas,José Venegas P.,6,55,16.9,2
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,13,City Blue,Seeking The Dia,Gerard Rodríguez,José Venegas P.,6,55,19.6,1
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,14,Vine Vide Vinci,Tumblebrutus,Nicolás Molina,Rodrigo Quiroz S.,11,55,12.5,
88,2025-12-20,Hipódromo Chile,1,12:30,1200,Handicap,15,Sisi Star,Mendelssohn,Roberto Avila,Raúl Montesino S.,4,56,14.3,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,1,Sanssita,Mendelssohn,Cathrine Weilby,Lauro Pérez A.,3,55,5.4,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,2,Princess Thai,Distorted Economy,José Cueto,Manuel Velarde B.,3,55,9.6,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,3,Song Song Blue,Dubai Sky,Marco Morales,Cristian Quiroz E.,3,55,5.4,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,4,Bad Romance,Newfoundland,Carlos Bustos,Rafael Bernal G.,3,55,3.4,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,5,La Universitaria,Bad Daddy,Luis D. Menghini,Rodrigo Quiroz S.,3,55,3.5,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,6,Sinag,Good Samaritan,Nicolás Molina,Rodrigo Quiroz S.,3,55,10.2,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,7,Clasua,Classic Empire,Jaime Medina,Juan Pablo Baeza J.,3,55,28.3,1
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,8,Modelo Sbelt,Mendelssohn,Rodrigo Covarrubias,Mario Covarrubias,3,55,11.1,4
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,9,Katerya,Kingly,Sebastián González,José Araya B.,3,55,13.2,3
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,10,Antonia Francisca,Dubai Sky,Benjamin Sancho,Rodrigo Quiroz S.,3,55,6.0,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,11,Wittenburg,Dubai Sky,Ronald Fournet,Aldo Castagneto U.,3,56,15.2,2
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,12,Mixed Emotions,Grand Daddy,Alvaro Apablaza,Cristian Quiroz E.,3,55,2.5,
88,2025-12-20,Hipódromo Chile,2,12:55,1200,Condicional,13,La Calotica,Zawraq,Bernardo León,Rodrigo Muñoz M.,3,55,7.9,
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,1,Nihuil,Classic Empire,Nicolás Ramirez,Juan C. Pichara J.,3,57,17.8,3
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,2,Escopeta Recortada,Tapitdoro,Cathrine Weilby,Lauro Pérez A.,3,57,2.6,
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,3,Sensei De Franklin,Ivan Denisovich,Marco Morales,Alejandro Padovani E.,3,57,20.6,1
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,4,Bravo Torero,Flameaway,Lesly C. González,Genaro J. Covarrubias E.,3,57,3.0,
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,5,El Gagui,Distorted Economy,Nelson Rojas,Patricio Valderrama C.,3,57,6.7,
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,6,Rabioso Pelao,Lookin At Lucky,Ronald Fournet,Juan C. Pichara J.,3,57,19.3,2
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,7,Brunito,Il Rey Ivan,José Cueto,Isaac Michea F.,3,57,5.1,
88,2025-12-20,Hipódromo Chile,3,13:20,1000,Condicional,8,Elsebaahorratodo,Katmai,Nicolás Molina,Juan Rodriguez R.,3,57,8.1,4
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,1,Mago De Naipes,Felíz de Vivir,Benjamin Sancho,Rodrigo Quiroz S.,7,56,11.7,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,2,Lumber Boy,The Lumber Guy,Andrés Covarrubias,Lauro Pérez A.,4,56,9.5,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,3,Monte Hua,Seeking The Dia,Rodrigo Painen,Oscar Donate S.,9,56,12.6,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,4,Bordoneo,El Facha,Hugo Jiménez,Julio Castillo D.,10,56,4.8,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,5,India Adorada,Exaggerator,Luis D. Menghini,Eugenio Switt V.,5,56,7.5,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,6,Mendel Quinta,Mendelssohn,Joaquín Herrera,Rafael Bernal G.,4,56,16.6,1
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,7,Canovanas,Total Impact,Carlos Bustos,José Venegas P.,10,56,12.4,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,8,Joven Sanchis,Hold Me Back,Sebastián Muñoz,Luis Machulas G.,6,56,8.5,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,9,Du Plesis,Sky Mesa,Nicolás Santibañez,Claudio Bernal G.,4,56,8.5,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,10,Beautiful Champion,Sonoma Band,Jorge Vera,Rodrigo Quiroz S.,5,56,11.0,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,11,Natalino,Seeking The Dia,Ariel Zúñiga,Ricardo Rojas S.,10,56,8.5,
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,12,Josie Girl,El Facha,Victor Miranda,Alejandro Padovani E.,6,56,14.1,3
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,13,El Duke,Lookin At Lucky,Gerard Rodríguez,Daniel Contreras A.,7,56,12.8,4
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,14,Rubio Cruzado,Layman,Luis Silva,Mario A. Apablaza G.,12,56,14.4,2
88,2025-12-20,Hipódromo Chile,4,13:46,1200,Handicap,15,Chilly Willy,Stevie Wonderboy,Rodolfo S. Dores,Rodrigo Quiroz S.,6,56,11.8,
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,1,Sogna Con Me,Ya Primo,Nelson Rojas,José Venegas P.,3,55,20.4,3
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,2,Señora Rita,The Lumber Guy,José Cueto,Manuel Velarde B.,3,55,7.6,
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,3,Yada,Dylan Thomas,Roberto Araya,Sergio Alvarado P.,3,55,6.6,
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,4,Bella Sorpresa,Alfonso,Gonzalo Ulloa,Waleska Peña P.,3,55,22.5,1
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,5,Perfide,Ivan Denisovich,Rodolfo S. Dores,Jaime Hirmas R.,3,55,12.0,
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,6,Tu Mi Cunca,Cunco,Felipe Henríquez,Pedro Diaz S.,3,55,9.7,
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,7,Karmelia,Kingly,Rodolfo Fuenzalida,Juan Pablo Baeza J.,3,55,19.6,4
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,8,Power Girl,Mendelssohn,Ronald Fournet,Mario Covarrubias,3,56,20.4,2
88,2025-12-20,Hipódromo Chile,5,14:11,1200,Condicional,9,Katie Melua,Flameaway,Rafael Cisternas,Oscar Donate S.,3,55,11.6,
88,2025-12-20,Hipódromo Chile,6,14:36,1000,Condicional,1,Shyuanna,Boboman,Nicolás Ramirez,Juan C. Pichara J.,3,55,17.7,2
88,2025-12-20,Hipódromo Chile,6,14:36,1000,Condicional,2,Scotish Queen,Robert Bruce,Sebastián González,Juan C. Pichara J.,3,55,22.9,1
