Fecha,Carrera,Hora,Distancia,Numero,Caballo,Padrillo,Peso,Jinete,Preparador,Ultimos_Resultados,DSC,Probable,Pronostico_Ranking
27/12/2025,1,11:45,1200m,1,Que Hice Mal,International Star,55,Lesly C. González,Jaime Hirmas R.,11-9-8-6-3,9,7.9,
27/12/2025,1,11:45,1200m,2,Lord Commander,Mastercraftsman,56,Gustavo Aros,Eduardo Lab R.,2-4-5-3-5,7,16.0,2
27/12/2025,1,11:45,1200m,3,Palabra Cierta,Gemologist,55,Rodolfo S. Dores,Rodrigo Quiroz S.,5-8-5-3-4,9,10.6,
27/12/2025,1,11:45,1200m,4,Vita Kc,Newfoundland,56,Jesus Toro,Andrés Bernal G.,8-8-4-4-7,9,13.5,
27/12/2025,1,11:45,1200m,5,Satisfy My Soul,Sumerio,55,Jonathan Castillo,Luis Toledo C.,U-4-7-12-3,9,13.3,
27/12/2025,1,11:45,1200m,6,La Tostadora,Cupid,55,Miguel Gutiérrez,Hernán Pacheco P.,3-3-4-6-9,7,14.3,4
27/12/2025,1,11:45,1200m,7,Entrate Nunca,Forever Thing,55,Luis D. Menghini,Héctor Castillo S.,4-6-5-2-8,14,8.1,
27/12/2025,1,11:45,1200m,8,Me Lo Llevo,Grand Daddy,56,Andrés Covarrubias,Julio Castillo D.,12-10-6-2-13,7,13.6,
27/12/2025,1,11:45,1200m,9,Amar Azul,Flameaway,56,Alvaro Apablaza,Eugenio Switt V.,12-9-U-11-12,21,9.6,
27/12/2025,1,11:45,1200m,10,Te Digo Algo,Exaggerator,56,Benjamin Sancho,Claudio Bernal G.,7-7-13-5-8,7,15.3,3
27/12/2025,1,11:45,1200m,11,Alinfinitoymasalla,Business Bay,55,Rodolfo Fuenzalida,Ricardo Rojas S.,5-5-7-3-7,9,12.0,
27/12/2025,1,11:45,1200m,12,Kirsch Royal,Leading The Parade,55,Roberto Avila,Mario Covarrubias,6-6-2-5-9,7,9.3,
27/12/2025,1,11:45,1200m,13,Te Diria,Exaggerator,56,Sebastián Muñoz,Julio Castillo D.,1-6-U-10-12,7,7.7,
27/12/2025,1,11:45,1200m,14,Silverchair,Papelon,55,Alberto Vásquez,Oscar Donate S.,5-5-3-4-4,7,17.2,1
27/12/2025,1,11:45,1200m,15,Sahara Chrome,California Chrome,56,Marco Bustamante,Eugenio Switt V.,6-4-12-5-2,9,12.5,
27/12/2025,2,12:10,1000m,1,Song Song Blue,Dubai Sky,55,Marco Morales,Cristian Quiroz E.,14-U-10-11-9,7,4.7,
27/12/2025,2,12:10,1000m,2,Euskera,Flameaway,55,Benjamin Troncoso,Aldo Parra D.,6-2-2-10-2,12,17.4,3
27/12/2025,2,12:10,1000m,3,Sinag,Good Samaritan,55,Rodolfo S. Dores,Rodrigo Quiroz S.,U-6-9-4-4,7,9.4,
27/12/2025,2,12:10,1000m,4,La Jeshu,Distorted Economy,55,Nelson Rojas,Daniel Contreras A.,13-13-5-5-9,14,9.9,
27/12/2025,2,12:10,1000m,5,Tia Luzmira,Star Dabbler,55,Benjamin Sancho,Claudio Bernal G.,U-8,14,5.5,
27/12/2025,2,12:10,1000m,6,Shyuanna,Boboman,55,Nicolás Ramirez,Juan C. Pichara J.,10-6-4-3-2,7,19.7,2
27/12/2025,2,12:10,1000m,7,Perla Del Bio Bio,Spun to Run,55,Jorge Zúñiga,Pedro Molina I.,12-13-4-8-6,49,15.1,4
27/12/2025,2,12:10,1000m,8,Fin De La Noche,Dylan Thomas,55,Felipe Henríquez,Manuel Norambuena Ch.,6-7-11-7-U,42,5.1,
27/12/2025,2,12:10,1000m,9,Diosa Chocolate,Palm Springs,55,Wilbert León,Jaime Espineira C.,3-12-5-5-7,7,8.8,
27/12/2025,2,12:10,1000m,10,Get girls,Get Jets,55,Sebastián González,Rodrigo Quiroz S.,5-10-7,42,9.6,
27/12/2025,2,12:10,1000m,11,Lady Jets,Get Jets,55,Ariel Zúñiga,Oscar Donate S.,2-11-3-7-12,14,6.9,
27/12/2025,2,12:10,1000m,12,Sanssita,Mendelssohn,55,Andrés Covarrubias,Lauro Pérez A.,6-6-6-11-7,7,7.2,
27/12/2025,2,12:10,1000m,13,Isla Navarino,Rydilluc,55,Piero Reyes,Cristián Urbina R.,12-U,14,10.5,
27/12/2025,2,12:10,1000m,14,Tiguarda,Dylan Thomas,55,Daniel Medina,Hernán Pacheco P.,9-6-11-11-8,7,7.1,
27/12/2025,2,12:10,1000m,15,Fior Di Latte,The Lumber Guy,55,Joaquín Herrera,José Alvarez D.,3-4-3-10-3,12,28.5,1
