Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Fecha
1,12:30,Gilboa,1200,Arena,1,CUANDO LLEGO GANO,55,Js. Vera B.,Jn.Gonzalez M.,2026-01-31
1,12:30,Gilboa,1200,Arena,2,RED KNIGHT,55,R.Fuenzalida,C.Bernal G.,2026-01-31
1,12:30,Gilboa,1200,Arena,3,ZIGEUNER,55,N.Santibanez,And.Covarrubias,2026-01-31
1,12:30,Gilboa,1200,Arena,4,MI SOLCITO,54,N.Rojas,J.Venegas P.,2026-01-31
1,12:30,Gilboa,1200,Arena,5,SALUD COMPADRE,54,W.Quinteros,J.Venegas P.,2026-01-31
1,12:30,Gilboa,1200,Arena,6,SATISFY MY SOUL,54,J.Castillo,L.Toledo C.,2026-01-31
1,12:30,Gilboa,1200,Arena,7,DU PLESIS,55,J.Villablanca,C.Bernal G.,2026-01-31
1,12:30,Gilboa,1200,Arena,8,SILVESTRIN,55,J.Mino,M.Apablaza G.,2026-01-31
1,12:30,Gilboa,1200,Arena,9,MESTIZA FLOR,54,B.Soto,I.Michea F.,2026-01-31
1,12:30,Gilboa,1200,Arena,10,KIRSCH ROYAL,54,R.Avila,M.Covarrubias E.,2026-01-31
1,12:30,Gilboa,1200,Arena,11,DESERT CAT,54,W.Leon,J.Espineira C.,2026-01-31
1,12:30,Gilboa,1200,Arena,12,SURPRISE BOX,54,N.Venegas,Jn.Gonzalez M.,2026-01-31
1,12:30,Gilboa,1200,Arena,13,VINE VIDE VINCI,56,N.Molina,R.Quiroz S.,2026-01-31
1,12:30,Gilboa,1200,Arena,14,MARRAKECH,56,Jo.A.Gonzalez,G.Covarrubias E.,2026-01-31
1,12:30,Gilboa,1200,Arena,15,FRANCOLI,54,P.Zuniga,R.Quiroz S.,2026-01-31
2,12:55,Gran Papa,1200,Arena,1,BIRD RITAN,57,F.Henriquez,M.Norambuena Ch.,2026-01-31
2,12:55,Gran Papa,1200,Arena,2,MACHINE HEAD,57,P.Robles,J.Pinochet P.,2026-01-31
2,12:55,Gran Papa,1200,Arena,3,VINCERO,57,A.Villagra,R.Bernal T.,2026-01-31
2,12:55,Gran Papa,1200,Arena,4,REAL ENVIDO,57,N.Ramirez,L.Urbina H.,2026-01-31
2,12:55,Gran Papa,1200,Arena,5,REY OLIMPUS,57,L.Vargas,O.Donate S.,2026-01-31
2,12:55,Gran Papa,1200,Arena,6,MAXIMUS MATIAS,57,B.Leon,M.Covarrubias E.,2026-01-31
2,12:55,Gran Papa,1200,Arena,7,BUEN COMPANERO,57,M.Galaz,D.Contreras A.,2026-01-31
2,12:55,Gran Papa,1200,Arena,8,SEVEN POINTS,57,N.Molina,R.Quiroz S.,2026-01-31
2,12:55,Gran Papa,1200,Arena,9,PORTODOS,57,T.Seith,H.Adonis B.,2026-01-31
2,12:55,Gran Papa,1200,Arena,10,ORIONISTA,57,J.Herrera,C.A.Urbina R.,2026-01-31
2,12:55,Gran Papa,1200,Arena,11,NEGRO ROMERO,57,N.Rojas,E.Lab R.,2026-01-31
2,12:55,Gran Papa,1200,Arena,12,TODOS MIENTEN,57,F.Medina,J.Castillo D.,2026-01-31
2,12:55,Gran Papa,1200,Arena,13,AL CONTADO,57,B.Rubilar,P.Diaz S.,2026-01-31
3,13:20,Gallito Cantor,1900,Arena,1,FIVE THE RED,58,L.Torres,J.Araya B.,2026-01-31
3,13:20,Gallito Cantor,1900,Arena,2,TOMMY SHELBY,57,Seb.Gonzalez,J.Araya B.,2026-01-31
3,13:20,Gallito Cantor,1900,Arena,3,GIANCARLO,51,H.Ochoa,R.Lopez B.,2026-01-31
3,13:20,Gallito Cantor,1900,Arena,4,NGANNU,55,M.Galaz,D.Contreras A.,2026-01-31
3,13:20,Gallito Cantor,1900,Arena,5,KERION,54,B.Troncoso,A.Padovani E.,2026-01-31
