Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,1,MARRAKECH,55,Jo.A.Gonzalez,G.CovarrubiasE.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,2,DU PLESIS,54,G.Rodriguez,C.BernalG.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,3,BITTER BLACK,55,M.PerezA,J.Villablanca
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,4,VINE VIDE VINCI,55,N.Molina,R.QuirozS.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,5,INDIA ADORADA,55,J.Mino,E.SwittV
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,6,GRAN LALITO,56,B.Gonzalez,J.PicharaJ.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,7,YA LO CREO,56,P.Zuniga,J.CastilloD.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,8,MENDEL QUINTA,55,B.Soto,R.BernalG.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,9,KARA AND COLLEEN,54,B.Sancho,Js.IndaD.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,10,ROSARIO TIJERA,56,W.Quinteros,O.DonateS.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,11,DESERT CAT,55,J.Toro,J.EspineiraC
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,12,MISS LEVALAMAT,56,B.Rubilar,R.BernalG.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,13,RAYO VELOZ,55,B.Ayala,L.MachulasG.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,14,PALABRA CIERTA,56,D.Carvacho,R.QuirozS.
1,12:30 aprox.,Indio Sureno,1.200 Mts.,Arena,15,MARKINABIZKAIA,57,K.Espina,D.ContrerasA.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,1,JE SUIS PRET,57,G.Rodriguez,M.CovarrubiasE.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,2,SEVEN POINTS,57,N.Molina,R.QuirozS
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,3,GOLDEN COPPER,57,W.Quinteros,D.MatteD.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,4,REY OLIMPUS,57,L.Vargas,O.DonateS.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,5,HUGO,57,J.Medina,R.QuirozS.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,6,CUAL ES TU LEY,57,D.Cheuque,L.MachulasG.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,7,GIANBRUNO,57,D.Carvacho,R.LopezB.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,8,MI NIETO FACUNDO,57,T.Seith,A.CastagnetoU.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,9,VINCERO,57,R. Fuenzalida,R.BernalT.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,10,ESCOPETA RECORTADA,57,R.Varas,L.PerezA
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,11,HAZTE PAYASITO,57,L.P.Silva,l.MicheaF.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,12,DOS LOCOS,57,Jo.A.Gonzalez,M.ApabiazaG.
2,12:55 aprox.,Irineo,1.000 Mts.,Arena,13,PEDERNALES,57,K.Espina,M.NorambuenaCh.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,1,CORDON DEL CAULLE,55,B.Sancho,J.CastilloD.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,2,QUE GUSTO DE VERTE,51,J.Zuniga,J.ArayaB.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,3,PAJOMA,57,D.Carvacho,1.MicheaF.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,4,DUNHILL SMOKE,51,L.P.Silva,LMicheaF.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,5,EL GRAN MAESTRO,56,G.Aros,A.PadovaniE.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,6,SIETE DEL NUEVE,58,L.Torres,J.PicharaJ.
3,13:20 aprox.,Invento,1.900 Mts.,Arena,7,DE GRASSE,57,J.Medina,R.SanchezQ.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,1,JOVEN SANCHIS,56,B.Sancho,J.EspineiraC.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,2,SILVESTRIN,56,J.Mino,M.ApablazaG.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,3,HACER POR HACER,56,J.Zuniga,E.LabR.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,4,QUE HICE MAL,56,W.Quinteros,J.HirmasR.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,5,JOSIE GIRL,56,G.Aros,A.PadovaniE.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,6,BEAUTIFUL CHAMPION,56,D.Carvacho,R.QuirozS.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,7,FRANCOLI,56,P.Zuniga,R.QuirozS.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,8,KIRSCH ROYAL,56,R.Covarrubias,M.CovarrubiasE.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,9,UN DIA CONTIGO,56,R. Varas,L.PerezA.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,10,ENTRATE NUNCA,56,Jo.A.Gonzalez,H.CastilloS.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,11,JOHN WAYNE,56,L.C.Gonzalez,G.CovarrubiasE.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,12,CHILLY WILLY,56,B.Soto,R.QuirozS.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,13,MANGINO,56,F.Morales,A.AvilesL.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,14,EL DUKE,56,L.Vargas,D.ContrerasA.
4,13:46 aprox.,Ibraimovich,1.200 Mts.,Arena,15,AHMAKIL,56,A Apablaza,A.PerezD.
5,14:11 aprox.,Iquito,1.000 Mts.,Arena,1,LAROMPE,57,G.Rodriguez,E.LabR.
5,14:11 aprox.,Iquito,1.000 Mts.,Arena,2,TEEN WOLF,57,F.Moreno,L.ParraG.
5,14:11 aprox.,Iquito,1.000 Mts.,Arena,3,FLORO CHICO,57,J.Mino,E.SwittV.
5,14:11 aprox.,Iquito,1.000 Mts.,Arena,4,SEREMOS AMIGOS,57,J.Toro,R.QuirozS.
5,14:11 aprox.,Iquito,1.000 Mts.,Arena,5,JETS DADDY,57,R.Fuenzalida,A.CastagnetoU.
