fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,1,TEMAUKEL,Bad Daddy,56,G.Rodriguez,C. Bernal G.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,2,PELUKA,Frank Conversation,55,V.Miranda,J. Pichara J.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,3,MESTIZA FLOR,Midshipman,55,J.Eyzaguirre,I. Michea F.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,4,MARKINABIZKAIA,Annual Report,55,J.Villablanca,D. Contreras A.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,5,ESTRATEGO,Exaggerator,56,A.Villagra,R. Rojas S.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,6,LA RUMBERA,Competitive Edge,55,M.Gutierrez,R. Bernal G.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,7,INCLUYE TODO (ARG),Senor Candy,55,D.Medina,J. Aravena M.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,8,YA MAGICO,Viscount Nelson,56,L.P.Silva,G. Covarrubias E.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,9,LA TOSTADORA,Cupid,55,R.Fuenzalida,J. Gonzalez M.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,10,TATA MONCHO,Good Samaritan (Usa),55,Seb.Gonzalez,R. Quiroz S.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,11,GRAN PEPE,Grand Daddy,55,W.Quinteros,E. Switt V.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,12,KANASAKI,Good Samaritan (Usa),55,F.Taun,R. Quiroz S.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,13,DOMINGO Y PRINCIPE,Domingo Siete,55,D.Alvarado,J. Ubilla P.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,14,MONTEPIEDRA,Lemon Sour,55,D.Carvacho,R. Quiroz S.
28-02-2026,Hipódromo Chile,1,12:30,Off The Record,1200,Normal,15,DESERT CAT,Newfoundland,55,M.Galaz,J. Espineira C.
