Carrera,Hora,Distancia,Premio,Numero,Caballo,Padrillo,Peso,Jinete,Preparador,Stud
1,13:35,1100,OVACION,1,TOPACIO AZUL,Dylan Thomas,57,J. Herrera,M. Contreras,Guerrero De La Vida
1,13:35,1100,OVACION,2,MI LINDA LIZ,Awesome Patriot,57,N.N.,B. Gomez,Anibal Norambuena G.
1,13:35,1100,OVACION,3,SEVALIO,Stevie Wonderboy,57,I. Villagran,R. Bernal T.,Barbara Angelica
1,13:35,1100,OVACION,4,LUIVERAR,Viscount Nelson,57,N.N.,B. Gomez,Tararira
1,13:35,1100,OVACION,5,GUERRERO ARABE,Arabian Spirit,57,A. Alvarez,E. Donoso,Los Nanitos
1,13:35,1100,OVACION,6,ROSA COQUETA,Quick Casablanca,57,D. Carvacho,B. Gomez,Braulio Gomez A
1,13:35,1100,OVACION,7,REGALITO,Viscount Nelson,57,J. Cueto G.,Reyes I.,Gabriel Reyes G.
1,13:35,1100,OVACION,8,PINTA DE MUSICO,Gemologist,57,J. D. Villagran,V. Moris,The Good Father
1,13:35,1100,OVACION,9,GIPSY VANNER,Exaggerator,57,C. Bobadilla,B. Gomez,Infinito
1,13:35,1100,OVACION,10,LUCKY BOSS,Gemologist,57,J. Zuñiga,L. Salinas T.,La Paloma
1,13:35,1100,OVACION,11,POLLOLLO,Gemologist,57,B. Sancho,B. Gomez,Tararira
1,13:35,1100,OVACION,12,IGMAFE,Sahara Spirit,57,T. Seith,S. Salazar,Urra
1,13:35,1100,OVACION,13,ONE VISION,Gemologist,57,J. Medina,W. Mancilla,Hap
1,13:35,1100,OVACION,14,SUPER PIRATA,Boboman,57,K. Espina,L. Salinas T.,Pirata
1,13:35,1100,OVACION,15,YIPSSI SAYEN,Court Vision,57,R. Fuenzalida,V. Moris,El Tirol
2,14:05,1100,OSTIONAL,1,STORMY LUCKY,Lookin At Lucky,57,J. Medina,W. Mancilla,Leontina
2,14:05,1100,OSTIONAL,2,LA PROPIA HERMANA,The Lumber Guy,57,T. Seith,B. Gomez,J.J.
2,14:05,1100,OSTIONAL,3,PRESUMIDA FLAME,Flameaway (can),57,G.A. Perez,M. Contreras,Amapolas
2,14:05,1100,OSTIONAL,4,LA POCA FONDA,Iron Clad,57,J. Zuñiga,L. Salinas T.,El Ganchito
2,14:05,1100,OSTIONAL,5,CIBELES (ARG),Seahenge,57,J. D. Villagran,X. Urenda,Edsonmax
2,14:05,1100,OSTIONAL,6,OGGI,Classic Empire (usa),57,J. Herrera,X. Urenda,Vendaval
2,14:05,1100,OSTIONAL,7,NINE BRILLIANT,Ticket To Run,57,D. Cheuque,L. Machulas,El Mero Mero
2,14:05,1100,OSTIONAL,8,MODELO DEL SALTO,Tapitdoro,57,S. E. Gonzalez,S. Salazar,Jeag
2,14:05,1100,OSTIONAL,9,CANDY DUBAI,Dubai Sky,57,B. Troncoso,C. Gonzalez,Charito
2,14:05,1100,OSTIONAL,10,KAT DUBAI,Dubai Sky,57,M. Gutierrez,C. Gonzalez,Charito
2,14:05,1100,OSTIONAL,11,MOROCHA DE ORO,Tapitdoro,57,S. Marin,J. Araneda,Jorge Araneda M.
2,14:05,1100,OSTIONAL,12,GOLDEN LIGHT,Dubai Sky,57,C. Bobadilla,B. Gomez,Las Araucarias
2,14:05,1100,OSTIONAL,13,MI GRAN BICHOTA,Dubai Sky,57,M. A. Donoso,R. Bernal T.,Bruno Alonso
2,14:05,1100,OSTIONAL,14,SKY PRIZE,Dubai Sky,57,C. E. Urbina,V. Moris,Toleo Toleo
