Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
7,1,12:30,1200m,1°,4,Mi Solcito,Annual Report,441k,54k,N. Rojas,José Venegas P.,Lor Kedimar,5.40
7,1,12:30,1200m,2°,1,Cuando Llego Gano,El Distinto,418k,55k,J. Vera,Juan Gonzalez M.,Dos E,16.20
7,1,12:30,1200m,3°,11,Desert Cat,Newfoundland,449k,54k,J. Toro,Jaime Espineira C.,La Tropa,19.70
7,1,12:30,1200m,4°,6,Satisfy My Soul,Sumerio,418k,55k,J. Castillo,Luis Toledo C.,Pequeño Matias,11.00
7,1,12:30,1200m,5°,13,Vine Vide Vinci,Tumblebrutus,458k,56k,N. Molina,Rodrigo Quiroz S.,Lusugo,8.00
7,1,12:30,1200m,6°,8,Silvestrin,Daddy Long Legs,443k,54k,J.A. Miño,Mario A. Apablaza G.,Albino,19.80
7,1,12:30,1200m,7°,2,Red Knight,Ivan Denisovich,478k,55k,R. Fuenzalida,Claudio Bernal G.,Mario Y Elodia,4.90
7,1,12:30,1200m,8°,10,Kirsch Royal,Leading The Parade,459k,54k,R. Avila,Mario Covarrubias,Quarter Dollar,14.80
7,1,12:30,1200m,9°,15,Francoli,Seeking The Dia,442k,54k,P. Zúñiga,Rodrigo Quiroz S.,Lucaraste,33.30
7,1,12:30,1200m,10°,9,Mestiza Flor,Midshipman,417k,54k,B. Soto,Isaac Michea F.,Bruno Alonso,8.70
7,1,12:30,1200m,11°,5,Salud Compadre,Van Nistelrooy,504k,54k,W. Quinteros,José Venegas P.,Lor Kedimar,8.60
7,1,12:30,1200m,12°,7,Du Plesis,Sky Mesa,482k,55k,J. Villablanca,Claudio Bernal G.,Di Giorgio Dicone,16.80
7,1,12:30,1200m,13°,14,Marrakech,El Milagrito,452k,56k,J. González,Genaro J. Covarrubias E.,La Corina,3.70
7,1,12:30,1200m,14°,12,Surprise Box,Bated Breath,472k,54k,N. Santibañez,Juan Gonzalez M.,Mosqueteros De Lis,108.70
7,2,12:55,1200m,1°,10,Orionista,Alfonso,495k,57k,J. Herrera,Cristián Urbina R.,Tiro Al Blanco,3.00
7,2,12:55,1200m,2°,4,Real Envido,Hinz,450k,57k,N. Ramirez,Luis Urbina H.,G.G.,8.00
7,2,12:55,1200m,3°,1,Bird Ritan,Good Samaritan,482k,57k,F. Henríquez,Manuel Norambuena Ch.,Charito,3.00
7,2,12:55,1200m,4°,6,Maximus Matias,Robert Bruce,497k,57k,B. León,Mario Covarrubias,Kdm,5.20
7,2,12:55,1200m,5°,2,Machine Head,Palm Springs,457k,57k,P. Robles,John Pinochet P.,Magdalena,9.30
7,2,12:55,1200m,6°,13,Al Contado,Classic Empire,467k,55k,B. Rubilar,Pedro Diaz S.,Los Jeques,6.90
7,2,12:55,1200m,7°,8,Seven Points,Dubai Sky,442k,57k,N. Molina,Rodrigo Quiroz S.,Malcib,111.90
7,2,12:55,1200m,8°,5,Rey Olimpus,Del Pacifico,448k,57k,I. Vargas,Oscar Donate S.,Don Alfonso,6.73
7,2,12:55,1200m,9°,11,Negro Romero,Boboman,432k,53k,N. Rojas,Eduardo Lab R.,Macuro,203.10
7,2,12:55,1200m,10°,7,Buen Compañero,Van Nistelrooy,490k,57k,M. Galáz,Daniel Contreras A.,Abuela Oca,8.80
7,2,12:55,1200m,11°,3,Vincero,The Lumber Guy,442k,53k,A. Villagra,Rafael Bernal T.,Rafael Bernal T.,52.70
7,2,12:55,1200m,12°,12,Todos Mienten,Katmai,447k,53k,F. Medina,Julio Castillo D.,El Gallito,26.80
7,2,12:55,1200m,U°,9,Portodos,Porto Fino,423k,57k,T. Seith,Harrison Adonis B.,A.M.,114.80
7,3,13:20,1900m,1°,2,Tommy Shelby,Constitution,456k,57k,S. González,J. Araya B.,El Mero Mero,3.40
7,3,13:20,1900m,2°,5,Kerion,Hi Happy,483k,54k,B. Troncoso,Alejandro Padovani E.,Bucarest,3.10
7,3,13:20,1900m,3°,1,Five The Red,Mo Town,513k,58k,L. Torres,J. Araya B.,Nayet,1.80
7,3,13:20,1900m,4°,3,Giancarlo,Mo Town,496k,51k,H. Ochoa,Rodrigo López B.,Linares,8.50
7,3,13:20,1900m,5°,6,Amor Clandestino,Flameaway,500k,55k,J. Medina,Juan Pablo Baeza J.,Paola,7.10
7,3,13:20,1900m,U°,4,Ngannu,Hiraboku Deep,442k,55k,M. Galáz,Daniel Contreras A.,Abuela Oca,37.40
7,4,13:46,1200m,1°,14,Avíspate Comadre,Van Nistelrooy,432k,56k,M. Gutiérrez,Rafael Bernal G.,Florencia Paz,3.60
7,4,13:46,1200m,2°,2,Gamorra,The Lumber Guy,442k,56k,S. González,Rodrigo Quiroz S.,Los Bello,7.80
7,4,13:46,1200m,3°,9,Mendel Quinta,Mendelssohn,442k,56k,B. Soto,Rafael Bernal G.,Paula Ines,6.60
7,4,13:46,1200m,4°,7,Entrate Nunca,Forever Thing,462k,56k,J. González,Héctor Castillo S.,Los Psiquicos,29.90
7,4,13:46,1200m,5°,11,La Ovalle Negrete,El Farrero,409k,56k,A. Varas,Jaime Hirmas R.,Jaime Hirmas R.,10.40
7,4,13:46,1200m,6°,12,Te Diria,Exaggerator,431k,56k,P. Reyes,Julio Castillo D.,Clauseb,46.60
7,4,13:46,1200m,7°,1,El Duke,Lookin At Lucky,450k,56k,I. Vargas,Daniel Contreras A.,El Duke,17.30
7,4,13:46,1200m,8°,6,India Adorada,Exaggerator,462k,56k,L.D. Menghini,Eugenio Switt V.,Florence,40.90
7,4,13:46,1200m,9°,10,Me Lo Llevo,Grand Daddy,519k,56k,A. Covarrubias,Julio Castillo D.,Corral Hipico,4.00
7,4,13:46,1200m,10°,4,Natalino,Seeking The Dia,498k,56k,R. Fuenzalida,Ricardo Rojas S.,Chamo Candela,38.50
7,4,13:46,1200m,11°,5,Republic Ana,Exaggerator,460k,56k,G. Aros,R. Toledo M.,Laly,4.50
7,4,13:46,1200m,12°,13,Chilly Willy,Stevie Wonderboy,439k,56k,F. Medina,Rodrigo Quiroz S.,Rodrigo Quiroz S.,23.60
7,4,13:46,1200m,13°,8,Rubio Cruzado,Layman,441k,56k,N. Santibañez,Mario A. Apablaza G.,Tata Tito,46.60
7,4,13:46,1200m,U°,3,William Faulkner,Ernest Hemingway,480k,56k,J. Cueto,Francisco Pinochet P.,Barti,11.30
7,5,14:11,1500m,1°,1,Los Bisnietos,Constitution,514k,58k,L. Torres,Julio Orellana R.,El Tata,1.70
7,5,14:11,1500m,2°,7,Lusso,Lookin At Lucky,506k,57k,F. Henríquez,Manuel Norambuena Ch.,Charito,2.00
