fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,14,Ciocolatta,Jose D. Villagran,Gabriel Reyes I.,1,1:09.97,2.8,489/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,16,Don Bruno,Rodolfo Fuenzalida,Sergio Salazar,2,1:09.97,4.9,470/58
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,2,Black Olives,Maximiliano Salinas,Ines Maffud,3,1:09.97,9.1,448/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,12,Rom Tale (usa),Johan Gonzalez,Alberto Ferrero,4,1:09.97,73.3,550/57.5
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,15,Mister Cesar,Sebastian Marin,Jorge Araneda,5,1:09.97,16.6,451/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,1,Rojo Burgues,Gerard Rodriguez,Gabriel Reyes I.,6,1:09.97,5.1,430/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,11,Pinta De Musico,Felipe Tapia,Victor Moris,7,1:09.97,92.8,470/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,9,Gringa Unica,Lesly Gonzalez,Ines Maffud,8,1:09.97,7.6,463/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,6,Pollollo,Alejandro I. Maureira,Braulio Gomez,9,1:09.97,10.1,495/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,10,Big Wallace (arg),Tomas Seith,Braulio Gomez,10,1:09.97,8.7,464/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,4,Rosa Coqueta,Benjamin Sancho,Braulio Gomez,11,1:09.97,14.0,470/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,13,Sueño Del Alma,Jose Cueto,Rodrigo Silva,12,1:09.97,134.5,443/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,5,Conde Austral,Marco Morales,Braulio Gomez,13,1:09.97,41.5,438/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,7,Command,Claudio Poblete,Ramon Olivares,14,1:09.97,145.5,432/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,3,Dulce Anita,Wladimir Quinteros,Rodrigo Silva,15,1:09.97,115.4,404/57
18-02-2026,Valparaíso Sporting Club,1,13:30,1100m,Arena,8,Luiverar,Cristian Bobadilla,Braulio Gomez,16,1:09.97,44.1,400/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,4,Wittenburg,Nelson Rojas,Osvaldo Urbina,1,0:57.18,3.6,445/53
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,3,Lady Laura,Benjamin Sancho,Luis Catena,2,0:57.18,8.7,460/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,2,De Bolognia,Lesly Gonzalez,Eduardo Donoso,3,0:57.18,4.8,421/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,1,Ultimo Paseo,Alejandro I. Maureira,Victor Moris,4,0:57.18,3.4,NSP/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,9,Mi Gran Bichota,Joaquin Herrera,Rafael Bernal T.,5,0:57.18,2.9,405/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,7,Doña Marly,Alvaro Apablaza,Rodrigo Silva,6,0:57.18,21.7,395/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,5,Guapa Quiteña,Claudio Poblete,Maximo Silva,7,0:57.18,12.4,400/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,6,Nine Brilliant,Jose D. Villagran,Luis Machulas,8,0:57.18,27.0,400/53
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,10,Al Aguaite,Felipe Tapia,Braulio Gomez,9,0:57.18,77.9,415/57
18-02-2026,Valparaíso Sporting Club,2,14:00,1000m,Pasto,8,Morocha De Oro,Sebastian Marin,Jorge Araneda,10,0:57.18,31.3,412/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,1,Sigan La Musica,Carlos Ortega,Sergio Morales,1,0:58.00,2.3,470/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,7,Exclude (arg),Alvaro Apablaza,Marcos Contreras,2,0:58.00,25.2,430/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,8,Rosita Del Puerto,Johan Gonzalez,Gonzalo Vegas,3,0:58.00,2.4,467/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,10,Aunt Mercy,Joaquin Herrera,Rafael Bernal T.,4,0:58.00,10.9,445/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,6,Sestri Levante,Felipe Tapia,Victor Moris,5,0:58.00,4.7,437/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,2,Cibeles (arg),Tomas Seith,Ximeno Urenda,6,0:58.00,22.1,457/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,9,La Propia Hermana,Alejandro I. Maureira,Braulio Gomez,7,0:58.00,11.0,400/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,5,Flash Splach,Nicolas Ramirez,Rodrigo Silva,8,0:58.00,23.0,463/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,4,Sundy Point,Wladimir Quinteros,Jorge Araneda,9,0:58.00,16.4,470/57
18-02-2026,Valparaíso Sporting Club,3,14:30,1000m,Pasto,3,La Mujer De Blanco,Felipe Moreno,Eduardo Donoso,10,0:58.00,90.7,425/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,5,Catto (arg),Alejandro I. Maureira,Ximeno Urenda,1,0:56.80,5.0,456/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,8,Otra Vez Pituco,Jaime Medina,Carlos Vasquez,2,0:56.80,1.6,518/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,4,La Pande,Sebastian E. Gonzalez,Maximo Silva,3,0:56.80,22.7,430/55
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,13,Princess Sirikit,Jose Cueto,Eduardo Donoso,4,0:56.80,18.9,424/55
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,16,King Capuccino,Marco Morales,Marco Pavez,5,0:56.80,8.7,491/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,3,Lumber Touch,Carlos Ortega,Ramon Olivares,6,0:56.80,30.0,484/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,1,Flaca Dany,Nicolas Ramirez,Maximo Silva,7,0:56.80,32.9,441/55
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,7,Bomba De Racimo,Joaquin Herrera,Luis Catena,8,0:56.80,13.2,430/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,10,Arrazzo,Johan Gonzalez,Braulio Gomez,9,0:56.80,27.2,435/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,14,Bom Bom Asesino,Guillermo A. Perez,Juan Garcia,10,0:56.80,39.2,478/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,11,Sin Gluten,Gerard Rodriguez,Gabriel Reyes I.,11,0:56.80,9.5,420/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,2,Black Model,Sebastian Marin,Jorge Araneda,12,0:56.80,35.7,446/57
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,6,El Lado Be,Maximiliano Salinas,Maximo Silva,13,0:56.80,103.1,378/55
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,12,La Fajita,Nelson Rojas,Carlos Vasquez,14,0:56.80,35.3,470/51
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,15,Simple Changarin,Jose D. Villagran,Guillermo Perez,15,0:56.80,86.9,436/53
18-02-2026,Valparaíso Sporting Club,4,15:00,1000m,Pasto,9,Mejor Callado,Tomas Seith,Gabriel Reyes,16,0:56.80,69.0,452/57
18-02-2026,Valparaíso Sporting Club,5,15:30,1100m,Arena,10,Anaheim,Gerard Rodriguez,Gonzalo Vegas,1,1:10.25,1.3,475/57
18-02-2026,Valparaíso Sporting Club,5,15:30,1100m,Arena,3,Gran Samcredo,Nelson Rojas,Carlos Vasquez,2,1:10.25,6.2,400/53
18-02-2026,Valparaíso Sporting Club,5,15:30,1100m,Arena,8,Hoffa,Jose Cueto,Juan Belzu,3,1:10.25,17.3,430/57
18-02-2026,Valparaíso Sporting Club,5,15:30,1100m,Arena,2,Beit Jala,Guillermo A. Perez,Wilfredo Mancilla,4,1:10.25,2.5,514/57
18-02-2026,Valparaíso Sporting Club,5,15:30,1100m,Arena,4,Tarro Lays,Israel Villagran,Luis Machulas,5,1:10.25,21.6,412/57
18-02-2026,Valparaíso Sporting Club,5,15:30,1100m,Arena,1,Paulie Gatto,Cristian Bobadilla,William Ara,6,1:10.25,30.0,516/56
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,8,Tonada Vieja,Joaquin Herrera,Rafael Bernal T.,1,1:14.86,3.1,465/55
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,2,A Ver Si Puedo,Nicolas Ramirez,Hernan Ulloa,2,1:14.86,2.7,450/61
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,1,Albanta (arg),Sebastian E. Gonzalez,Ximeno Urenda,3,1:14.86,4.6,505/53.5
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,7,Janstar,Guillermo A. Perez,Marcos Contreras,4,1:14.86,33.2,432/59
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,4,La Sinfo,Jaime Medina,Juan Baeza,5,1:14.86,9.4,486/53.5
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,3,Aneu,Gerard Rodriguez,Juan Garcia,6,1:14.86,8.3,427/55
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,6,Alba Brava,Benjamin Troncoso,Alejandro Padovani,7,1:14.86,6.7,448/53
18-02-2026,Valparaíso Sporting Club,6,16:00,1200m,Arena,5,Gracia Clasica,Tomas Seith,Gabriel Reyes I.,8,1:14.86,7.6,460/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,9,Mono Monin,Wladimir Quinteros,Jorge Araneda,1,1:08.75,4.9,459/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,5,Gran Espartaco,Felipe Tapia,Carlos Vasquez,2,1:08.75,3.3,470/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,8,Pablosky,Alejandro I. Maureira,Braulio Gomez,3,1:08.75,12.5,445/57.5
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,4,Tutto Apiaccere,Benjamin Sancho,Braulio Gomez,4,1:08.75,21.6,440/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,3,Jarra De Vino,Lesly Gonzalez,Ines Maffud,5,1:08.75,7.4,436/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,6,Super Pirata,Maximiliano Salinas,Maximo Silva,6,1:08.75,70.1,464/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,10,El Mister,Rodolfo Fuenzalida,Victor Moris,7,1:08.75,30.9,462/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,11,Royal Fierce,Gerard Rodriguez,Maximo Silva,8,1:08.75,8.3,460/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,2,Germanicus,Joaquin Herrera,Ximeno Urenda,9,1:08.75,3.1,467/57
18-02-2026,Valparaíso Sporting Club,7,16:30,1300m,Arena,1,Ted,Sebastian E. Gonzalez,Victor Caballeria,10,1:08.75,5.5,515/57
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,5,Ghost Joke,Jaime Medina,Luis Valdivia,1,1:08.27,4.9,429/57
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,6,Zim,Alejandro I. Maureira,Maximo Silva,2,1:08.27,4.9,490/57.5
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,7,Omaygod,Benjamin Sancho,Luis Catena,3,1:08.27,5.3,504/58
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,8,Mcclane,Lennart Silva F.,Victor Moris,4,1:08.27,8.6,488/56
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,3,Max Four,Sebastian E. Gonzalez,Maximo Silva,5,1:08.27,4.4,484/57
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,4,Ropopompom,Rodolfo Fuenzalida,Juan Garcia,6,1:08.27,16.5,459/55
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,9,Te Quiero Todavia,Gerard Rodriguez,Victor Moris,7,1:08.27,3.2,448/57
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,2,Encañado,Jonathan Castillo,Marcos Contreras,8,1:08.27,34.3,471/58
18-02-2026,Valparaíso Sporting Club,8,17:00,1100m,Arena,1,Raimundo A,Joaquin Herrera,Maximo Silva,9,1:08.27,9.6,478/55.5
18-02-2026,Valparaíso Sporting Club,9,17:30,1100m,Arena,4,Hendricks,Lennart Silva F.,Victor Moris,1,1:07.39,12.2,459/51.5
18-02-2026,Valparaíso Sporting Club,9,17:30,1100m,Arena,6,Rule Of Law,Jaime Medina,Ximeno Urenda,2,1:07.39,4.3,491/53.5
18-02-2026,Valparaíso Sporting Club,9,17:30,1100m,Arena,1,Doppler,Lesly Gonzalez,Jose Araya,3,1:07.39,21.4,487/52
