Carrera,Lugar,Partida,Caballo,Padrillo,Stud,PF,Jinete,Peso Jinete,Preparador,Distancia (cpos.),Índice,Dividendo
1,1º,10,PERFECTA ACTITUD,DYLAN THOMAS,TU PAIRE,"444Kg",JOSE VILLABLANCA,58 Kg,HARRISON ADONIS,Ganador,4,24.5
1,2º,3,NO HAY ADIOS,BAD DADDY,GUERRERO DE LA VIDA,"426Kg",BASTIAN SOTO,56 Kg,RAUL MONTESINO,Cbza.,3,155.7
1,3º,12,LITTLE GASPI,WAR COMMAND,ROXANITA,"501Kg",JESUS REYES,56 Kg,RAUL MONTESINO,"1 cpo.",2,26
1,4º,5,TANGO Y COMPAS,SEEKING THE DIA,BRISAS DE CAUTIN,"466Kg",WLADIMIR QUINTEROS,57 Kg,HECTOR MANRIQUEZ,"1 cpo.",2,14.7
1,5º,1,NO TIENE PALABRA,FLYER,SANTA EMPERATRIZ,"424Kg",JORGE VERA,56 Kg,RAUL MONTESINO,"2 1/4 cpos",1,17.6
1,6º,9,AGUILA DE FUEGO,GOOD SAMARITAN (USA),GUERRERO DE LA VIDA,"393Kg",RODOLFO FUENZALIDA,56 Kg,RAUL MONTESINO,"2 3/4 cpos.",1,132.1
1,7º,2,EL NENE,PAPELON,DI GIORGIO DICONE,"426Kg",AXEL ALVAREZ,57 Kg,CLAUDIO BERNAL,"2 3/4 cpos.",3,210.2
1,8º,4,EXTROVERTIDA,MASTERCRAFTSMAN,OSCARITO,"451Kg",IGNACIO VALDIVIA,56 Kg,HECTOR MANRIQUEZ,"2 3/4 cpos.",2,13.2
1,9º,6,VALLTTERI,WAR COMMAND,MONTESINO S. RAUL,"452Kg",NICOLAS MOLINA,56 Kg,RAUL MONTESINO,"5 1/2 cpos.",2,17.3
1,10º,14,RECHIFLAO,GSTAAD II,BERNAL G. ANDRES,"464Kg",RICARDO SOLORZA,57 Kg,ANDRES BERNAL,"6 1/2 cpos.",3,223.3
1,11º,15,MUY RESPETADA,FOREVER THING,SAGARDIA HNOS.,"391Kg",PIERO REYES P.,56 Kg,OSCAR SILVA G.,"8 cpos.",2,11.6
1,12º,7,LA FELIZ,DYLAN THOMAS,RULO,"440Kg",GERARD RODRIGUEZ,57 Kg,ALBERTO GONZALEZ,"9 3/4 cpos.",3,45.5
1,13º,8,MI PEQUEÑO SUEÑO,GOOD SAMARITAN (USA),MANOLITO MATIAS,"358Kg",CLAUDIO JORQUERA,57 Kg,OSCAR SILVA S.,"14 1/2 cpos.",3,2164.5
1,14º,13,VINNALIA,WAR COMMAND,JAQUE S ANGEL,"418Kg",MIGUEL GUTIERREZ,56 Kg,ANGEL JAQUE S.,"16 cpos.",2,148.5
1,RT,11,LUPO,ZAWRAQ (IRE),MONTESINO S. RAUL,"-",FRANCISCO MORALES,58 Kg,RAUL MONTESINO,-,-,-
2,1º,10,SEE YOU AGAIN,GOOD SAMARITAN (USA),POR TI NEGRITA,"504Kg",RONALD FOURNET,53 Kg,FELIPE GONZALEZ S.,Ganador,-,22.6
2,2º,5,MAMITA PININA,DISTORTED ECONOMY,EL DUKE,"418Kg",FABIAN MEDINA,52 Kg,DANIEL CONTRERAS,"1 3/4 cpos.",-1,5.3
2,3º,8,QUIEN ME PILLO,MIDSHIPMAN,EL MERO MERO,"437Kg",NICOLAS RAMIREZ,57 Kg,SERGIO MORALES,"4 cpos.",-1.5
2,4º,7,MOSASAURUS,DYLAN THOMAS,OLGUITA,"403Kg",JOSE SOLANO,57 Kg,OSCAR SILVA G.,"9 1/2 cpos.",-12.3
