Carrera,Lugar,Partida,Caballo,Distancia (cuerpos),Jinete,Preparador,Dividendo
1,1º,7,QUIEN ME PILLO,Ganador,FELIPE HENRIQUEZ,SERGIO MORALES,13.5
1,2º,1,YO SOY YI,Cbza.,GERARD RODRIGUEZ,HECTOR MANRIQUEZ,13.3
1,3º,6,SPECIAL MACHINE,"2 cpos",FRANCISCO MORALES,RAUL MONTESINO,18
1,4º,4,ATEX,"5 cpos.",DARIEN CHEUQUE,FELIPE GONZALEZ S.,19.4
1,5º,11,MI SOLCITO,"6 1/4 cpos.",NICOLAS SANTIBAÑEZ,ROBERTO TOLEDO M.,133.8
1,6º,13,DESCREIDA,"6 1/2 cpos.",TOMAS SEITH,CRISTOBAL GONZALEZ M.,17.2
1,7º,12,EL KICHAN,"7 cpos.",RODOLFO FUENZALIDA,MANUEL VELARDE,114.3
1,8º,9,AMOR PERFECTO,"7 1/2 cpos.",AXEL ALVAREZ,RODRIGO SANCHEZ,16.1
1,9º,15,SOBRAO DE CARIÑO,"10 cpos.",NICOLAS MOLINA,ANDRES BERNAL,116.9
1,10º,10,AHMAKIL,"11 1/2 cpos.",PIERO REYES P.,SERGIO ALVARADO P.,121.6
1,11º,14,LUDMILA,"12 1/2 cpos.",BASTIAN SOTO,WALESKA PEÑA,118.7
1,12º,8,FERRAT,"13 cpos.",JOSE VILLABLANCA,CARLOS GARCIA,129.8
1,13º,2,GRAN TOURIST,"14 cpos.",MOISES A. DONOSO,OSCAR SILVA G.,161.6
1,14º,5,AKUMA,"33 1/2 cpos.",JUAN MUÑOZ,HECTOR MANRIQUEZ,192.7
1,RT,3,FLEETWOOD,-,N.N.,HECTOR MANRIQUEZ,-
2,1º,10,ESTILO ANTIGUO,Ganador,SEBASTIAN GONZALEZ,JORGE A. INDA DE LA C.,1.9
2,2º,7,SIGAN LA MUSICA,"3 cpos.",RODRIGO PAINEN,SERGIO MORALES,86.2
2,3º,12,LUGA,"7 1/2 cpos.",JONATHAN A. CASTILLO,ALDO PARRA D.,28.7
2,4º,11,POWER GIRL,"7 1/2 cpos.",FABIAN MEDINA,JULIO ORELLANA,3.7
2,5º,1,YA AGUS,"8 1/4 cpos.",FELIPE HENRIQUEZ,SERGIO MORALES,20
2,6º,3,NUEVA ACTRICE,"9 cpos.",DARIEN CHEUQUE,HECTOR MANRIQUEZ,36
2,7º,5,GOLFISTA,"10 1/4 cpos.",MIGUEL GUTIERREZ,CRISTOBAL GONZALEZ M.,8.2
2,8º,2,SEÑORA RITA,"10 3/4 cpos.",RONALD FOURNET,MANUEL VELARDE,82
2,9º,9,KERRYS,"11 1/2 cpos.",RODOLFO FUENZALIDA,PATRICIO BAEZA A.,10.3
2,10º,8,MI NIETA AGUSTINA,"15 3/4 cpos.",NICOLAS MOLINA,JUAN RODRIGUEZ R.,66.9
2,11º,13,LANNA,"17 1/4 cpos.",JOSE CUETO,ROBERTO TOLEDO M.,888.2
2,12º,14,SAHOURIYE,"17 3/4 cpos.",BASTIAN SOTO,JOSE ARAYA B.,29.5
2,13º,4,LADY FIRST,"22 1/4 cpos.",JORGE ZUÑIGA,OLIVERIO MARTINEZ,79.4
2,14º,15,SONG SONG BLUE,"22 1/2 cpos.",RODRIGO COVARRUBIAS,SERGIO ALVARADO P.,8431.1
2,15º,6,TIA LUZMIRA,"24 3/4 cpos.",GERARD RODRIGUEZ,CLAUDIO BERNAL,15.5
3,1º,4,GENESIS,Ganador,HUGO OCHOA,JOSE ARAYA B.,84.6
3,2º,2,MY RESILIENCE,"1/2 cpo.",NICOLAS RAMIREZ,ALDO CASTAGNETO,72.7
3,3º,7,EL BIGOTE,"3/4 cpos.",AXEL ALVAREZ,RODRIGO SILVA S.,53.9
3,4º,1,PESO DORADO,"1 cpo.",JORGE ZUÑIGA,CLAUDIO NAVARRO A.,34.9
3,5º,6,MUY SOLO AQUI,"2 3/4 cpos.",RAFAEL CISTERNAS,CLAUDIO NAVARRO A.,312.3
3,6º,3,SASSI,"4 3/4 cpos.",BERNARDO LEON,CARLOS GARCIA,811.6
3,7º,8,PERFECTA ACTITUD,"8 1/2 cpos.",JOSE VILLABLANCA,HARRISON ADONIS,817
3,8º,5,EL FELICIDAD,"10 1/2 cpos.",JONATHAN A. CASTILLO,ALDO PARRA D.,85.7
