Carrera;Lugar;Partida;Caballo;Padrillo;Stud;PF (Kg);Jinete;Jinete_Kg;Preparador;Distancia;Índice;Div.
1;1;3;ACLIS;EXAGGERATOR;BUREO;491;JOSE PAREDES;56;ROBERTO TOLEDO M.;Ganador;-;46.9
1;2;14;PEDRINHO;GSTAAD II;TETITO IGNACIO;483;JORGE A. MORA;56;CLAUDIO NAVARRO A.;2 1/4 cpos;4;15.1
1;3;6;VUELVE LA FARRA;EL FARRERO;JOTABE;453;HUGO OCHOA;57;RODRIGO SILVA S.;3 3/4 cpos.;5;44
1;4;2;LA ESCUDERA;LOOKIN AT LUCKY;REY ARTURO;431;NICOLAS RAMIREZ;57;JOSE ARAYA B.;5 1/4 cpos.;5;3.3
1;5;9;GRAN SAMIR;SCAT ROYAL;SAPNET STABLE;447;BASTIAN SOTO;57;WALESKA PEÑA;5 3/4 cpos.;5;6.6
1;6;10;MERCI MON DIEU;COMPETITIVE EDGE;MATTE D. DOMINGO;548;WLADIMIR QUINTEROS;57;DOMINGO MATTE;6 cpos.;5;6.6
1;7;11;MUCHO VERSO;CAT SCAN;EL VEINTITRES;425;BERNARDO LEON;56;CLAUDIO BERNAL;8 cpos.;4;6.6
1;8;12;NUTCRACKER;CUMPLEAÑOS FELIZ;HUCLA;458;JUAN MUÑOZ;57;GABRIEL MELEJ;8 3/4 cpos;5;33
1;9;4;LADY OF MERCIA;SCAT ROYAL;EL COTELO;484;BENJAMIN SANCHO;57;SERGIO ALVARADO P.;10 1/4 cpos.;5;29.5
1;10;13;QUEEN ANY;CLOUD COMPUTING;LOS CABEZAS ALVAREZ;447;RODRIGO COVARRUBIAS;57;RAUL MONTESINO;11 1/2 cpos.;5;38.9
1;11;5;DI LA VERDAD ROSA;LAYMAN;FRANCISCO FAUNDEZ;458;MARCO MORALES;56;FRANCISCO FAUNDEZ LL;12 1/4 cpos.;4;110
1;12;15;TAO PRIZE;PURE PRIZE;SOBARZO DE G MONICA;494;DARIEN CHEUQUE;56;FELIPE GONZALEZ S.;12 1/2 cpos.;4;39.8
1;13;7;DOLCE AMARENA;ROBERT BRUCE;EL TORO BAYO;447;JESUS PIMENTEL;57;MIGUEL MEDINA;13 1/4 cpos.;5;22.1
1;14;8;LA SOÑE;MIDSHIPMAN;LA CORINA;434;WILBERT LEON;56;GENARO COVARRUBIAS;16 1/2 cpos.;4;18.3
1;RT;1;ANQUILOSAURIO;DYLAN THOMAS;SAGARDIA HNOS.;-;N.N.;56;OSCAR SILVA G.;RETIRADO;4;-
2;1;13;LAGUNA CRISTAL;CLASSIC EMPIRE (USA);VENDAVAL;480;JORGE ZUÑIGA;56;JUAN SILVA G.;Ganador;12;1.4
2;2;1;PATMAHO;GRAND DADDY;BENVIC;529;BASTIAN SOTO;56;JOSE ARAYA B.;3/4 cpos.;12;7.9
2;3;4;TWO FLAGS;SEEKING THE DIA;AS;525;RICARDO SOLORZA;57;SERGIO ALVARADO P.;3 3/4 cpos.;13;16.1
2;4;9;PERFUME DE GOL;FLYER;LOS PICKLES;458;HUGO OCHOA;57;OLIVERIO MARTINEZ;6 1/2 cpos.;13;11.4
2;5;11;REO POR LINDO;LAST BEST PLACE;MARQUES;471;JONATHAN A. CASTILLO;56;ALDO PARRA D.;7 cpos.;12;30
2;6;3;MARIA SUREÑA;GOOD SAMARITAN (USA);MORALES O VERONICA;436;BENJAMIN TRONCOSO;56;CRISTOBAL GONZALEZ M.;8 3/4 cpos;12;18.3
2;7;10;A MI EDAD DIFICIL;PATTERNRECOGNITION;LOS PRIMOS TARIFEÑO;527;RODRIGO COVARRUBIAS;56;SERGIO ALVARADO P.;10 1/4 cpos.;12;96.2
2;8;2;QUE BONITO QUE SOY;MENDELSSOHN (USA);TETITO IGNACIO;442;RODOLFO S. DORES;57;SERGIO MORALES;10 1/2 cpos.;13;29.8
2;9;5;REINA DEL DONGUIL;GRAND DADDY;EL GANCHITO;-;DARIEN CHEUQUE;56;ENRIQUE CARREÑO;11 cpos.;12;50.7
2;10;12;GRACIOSA COZETTE;AWESOME PATRIOT;MOURA;427;RODOLFO FUENZALIDA;56;PATRICIO BAEZA A.;13 cpos.;15;12.7
2;11;8;REINA EGIPCIA;SPUN TO RUN (USA);BARTI;-;JESUS TORO;56;FRANCISCO PINOCHET;14 cpos.;12;11.7
2;12;7;MI BELLA ESPERANZA;AWESOME PATRIOT;LOS PSIQUICOS;448;AXEL ALVAREZ;57;HECTOR CASTILLO;18 cpos.;13;6.7
2;RT;6;LIDER DIGITAL;INDIAN TRAIL;RENAMAX;-;PEDRO ROBLES;56;JOAO CASTILLO L.;RETIRADO;12;-
3;1;5;CARPINCHO;GOOD SAMARITAN (USA);ORO DE B FABIOLA;500;RAFAEL CISTERNAS;54;CLAUDIO BERNAL;Ganador;25;2.8
3;2;2;SINGLE BARREL;MENDELSSOHN (USA);CITRAL;522;PEDRO ROBLES;58;JOHN PINOCHET;1/2 cpo.;30;3.2
3;3;3;CORRER NORTINO;CONSTITUTION;BENITO CH BORIL;453;HUGO OCHOA;55;DOMINGO MATTE;4 1/4 cpos;26;15.9
3;4;4;DESENFRENADO;PRACTICAL JOKE;POR TI NEGRITA;514;LESLY C. GONZALEZ;57;FELIPE GONZALEZ S.;4 1/2 cpos.;28;10
3;4;6;C'EST VRAI;GRAN VILLANO;MATTE D. DOMINGO;508;RODOLFO S. DORES;56;DOMINGO MATTE;-;27;17.7
3;6;8;GRAND CODY'S;GRAND DADDY;LAS TRES DAMAS;448;RODOLFO FUENZALIDA;54;RODRIGO MUÑOZ;-;31;7.6
3;7;1;SCALPING;GOOD SAMARITAN (USA);EL VEINTITRES;450;MIGUEL GUTIERREZ;55;CLAUDIO BERNAL;-;26;15.1
3;8;11;KUAI MA;ROBERT BRUCE;TATA CHITO;472;RODRIGO PAINEN;54;SERGIO MORALES;-;25;6.1
3;9;7;LA JIBARITA;ZAWRAQ (IRE);EL GANCHITO;469;LUIS TORRES;59;ENRIQUE CARREÑO;-;29;10.5
3;10;10;INCENTS;GOLDENCENTS;DON COCA;478;SEBASTIAN GONZALEZ;57;RODRIGO SILVA S.;-;28;30.4
3;RT;9;SALTO DEL GUAPO;GRAND DADDY;POR TI NEGRITA;468;MARCO A. BUSTAMANTE;58;SERGIO MORALES;RETIRADO;34;-
4;1;2;FRATELI LA VITA;SEEKING THE DIA;REY SANTINO DIEZ;495;LUIS TORRES;60;JOSE ARAYA B.;Ganador;-;293.3
