Carrera,Lugar,Partida,Caballo,Padrillo,Stud,Peso_kg,Jinete,Peso_Jinete_kg,Preparador,Distancia,Indice,Dividendo
1,1,15,SALE DE MIS OJOS,GEMOLOGIST,RUFO,462,BASTIAN SOTO,56,FERNANDO SOLAR,Ganador,1,8.3
1,2,11,RODELINDO CRACK,EXAGGERATOR,CARREÑO R. ENRIQUE,470,SEBASTIAN GONZALEZ,56,ENRIQUE CARREÑO,2 1/4 cpos,1,10.8
1,3,2,DANITA FIRST,SEEKING THE DIA,J.V.G.,408,WLADIMIR QUINTEROS,56,CARLOS GARCIA,4 1/4 cpos,3,12.8
1,4,4,MICCA,MENDELSSOHN (USA),SAPNET STABLE,394,GUSTAVO AROS,57,WALESKA PEÑA,5 1/4 cpos.,2,6.4
1,5,8,AMAYNA,THE LUMBER GUY,ITA MARIA,435,NICOLAS RAMIREZ,56,FELIPE GONZALEZ S.,5 1/4 cpos.,1,8.4
1,6,7,VALLTTERI,WAR COMMAND,MONTESINO S. RAUL,453,FRANCISCO MORALES,57,RAUL MONTESINO,5 1/2 cpos.,2,4
1,7,1,GRAN TOMAHAWK,DADDY LONG LEGS,SAGARDIA HNOS.,463,PIERO REYES P.,57,OSCAR SILVA G.,5 3/4 cpos.,1,3.7
1,8,9,ANTUMBRA,DISTORTED ECONOMY,MONTESINO S. RAUL,426,MAURICIO CHAMORRO,56,RAUL MONTESINO,7 1/2 cpos.,1,13.6
1,9,12,KING NICOLAS,NEKO BAY,ALONMATE,463,NICOLAS MOLINA,57,MANUEL VELARDE,8 cpos.,2,26.8
1,10,3,DOMINGO ISLEÑO,DOMINGO SIETE,GLORIA ADRIANA,487,JESUS PIMENTEL,56,GABRIEL MELEJ,8 cpos.,1,77.7
1,11,5,AHMAKIL,GET JETS,AS,437,RODOLFO FUENZALIDA,56,SERGIO ALVARADO P.,8 3/4 cpos,1,66.7
1,12,13,RAYO VELOZ,MORNING RAIDER,CAYO,477,BENJAMIN AYALA,57,LUIS MACHULAS G.,9 cpos.,2,14.6
1,13,14,SOBRAO DE CARIÑO,VAN NISTELROOY,BERNAL G. ANDRES,505,JORGE VERA,56,ANDRES BERNAL,13 cpos.,1,146.8
1,14,10,PRAIA DO FORTE,GSTAAD II,JUAN DE ORO,449,JAIME A. MIÑO,56,CARLOS GARCIA,14 1/2 cpos.,1,49
1,15,6,NIETA DEL MONTY,COURT VISION,MATTE D. DOMINGO,421,RODOLFO S. DORES,56,DOMINGO MATTE,22 3/4 cpos.,1,8.4
2,1,4,GOLFISTA,IVAN DENISOVICH,CHARITO,410,RONALD FOURNET,53,CRISTOBAL GONZALEZ M.,Ganador,-,8.1
2,2,8,KOBRICH,DUBAI SKY,MATRIARCA,422,JOAQUIN HERRERA,55,MARIO RABAJILLE D.,1 1/2 cpos.,-,1.5
2,3,7,CHE AWAY,FLAMEAWAY (CAN),IDENTIC,441,JAIME MEDINA,55,PATRICIO BAEZA A.,2 1/2 cpos.,-,3.5
2,4,6,SERKET,BILZERIAN,RAICES DE CODEGUA,452,FABIAN MEDINA,52,MARIO APABLAZA,6 1/4 cpos.,-,7.3
2,5,11,TRANQUILA NIÑA,MENDELSSOHN (USA),RUFO,429,DARIEN CHEUQUE,51,ROBERTO TOLEDO M.,10 cpos.,-,6.7
2,6,5,DULCITA,DANGEROUS MIDGE,FRITZI,440,WLADIMIR QUINTEROS,55,SERGIO ALVARADO P.,10 cpos.,-,64.2
2,7,3,PASCUERA,IVAN DENISOVICH,OSCARITO,416,JONATHAN A. CASTILLO,55,OSCAR SILVA G.,10 1/2 cpos.,-,20.9
2,8,1,QUE HICE MAL,INTERNATIONAL STAR (USA),LOS AVIADORES,396,LESLY C. GONZALEZ,55,JAIME HIRMAS,12 1/4 cpos.,1,60.2
2,9,9,MADAM SECRETARY,DUBAI SKY,MORALES O VERONICA,446,MIGUEL GUTIERREZ,55,CRISTOBAL GONZALEZ M.,13 1/4 cpos.,-,61.6
2,10,10,SONG SONG BLUE,DUBAI SKY,FOS,456,RODRIGO COVARRUBIAS,55,SERGIO ALVARADO P.,24 3/4 cpos.,-,265.3
3,1,3,EL NANY,FLAMEAWAY (CAN),DAMYANTO,443,PEDRO ROBLES,56,JOHN PINOCHET,Ganador,9,5.8
3,2,6,MONARCA,GOOD SAMARITAN (USA),PERALTA P GUILLERMO,455,AXEL ALVAREZ,52,GUILLERMO PERALTA,1 1/2 cpos.,5,16.3
3,3,4,BICHOTA,COMMEMORATIVE,LOS PARDITOS,440,MARCO MORALES,58,SERGIO ALVARADO P.,2 cpos,11,4.1
3,4,2,CHAMPELICE,KATMAI,LOS CALERANOS,444,GERARD RODRIGUEZ,56,JOAO CASTILLO L.,3 cpos.,9,6.5
3,5,5,ZULEIMAN (ARG),MASTERCRAFTSMAN,SAPNET STABLE,467,RAFAEL CISTERNAS,58,WALESKA PEÑA,3 1/2 cpos.,11,11.3
3,6,8,CATITA REVOLTOSA,QUICK CASABLANCA,EL GRAN JOSE,467,SEBASTIAN GONZALEZ,57,WALESKA PEÑA,3 1/2 cpos.,10,3
3,7,7,CALOCHITA,IVAN DENISOVICH,PALESTINA,491,NICOLAS RAMIREZ,58,JOAO CASTILLO L.,5 1/2 cpos.,11,3.3
3,8,1,MANKIND,GOLDENCENTS,FACUNDO SANTIAGO,440,RODRIGO PAINEN,56,HECTOR MANRIQUEZ,8 cpos.,9,11
4,1,5,CANTICIO,CLASSIC EMPIRE (USA),BRUNO ALONSO,463,SEBASTIAN GONZALEZ,58,JOSE ARAYA B.,Ganador,29,8.7
4,2,2,IMPLICADO,ROBERT BRUCE,MONSEÑOR,470,AXEL ALVAREZ,58,HERNAN ULLOA,1/2 cpo.,29,6.7
4,3,6,JALISCO,IVAN DENISOVICH,PINOCHET P JOHN,517,RODRIGO PAINEN,53,JOHN PINOCHET,1 1/4 cpos.,23,7.5
4,4,1,MY GREAT,DYLAN THOMAS,MARITA,541,JESUS TORO,58,ALDO PARRA D.,2 cpos,28,4.5
4,5,3,MALANDRO,MENDELSSOHN (USA),CARNES OLY,443,GUSTAVO AROS,58,ALEJANDRO PADOVANI E.,4 cpos.,28,5.2
4,6,7,VICHITO,SEEKING THE DIA,PALESTINA,492,JOAQUIN HERRERA,61,HERNAN ULLOA,5 1/4 cpos.,34,7.9
4,7,4,MOSALA,DECLARATION OF WAR (USA),VICE ARA,535,JAIME MEDINA,61,RAUL MONTESINO,29 1/4 cpos.,35,1.9
5,1,13,FLEETWOOD,BOBOMAN,HECTOR MANRIQUEZ F.,416,GERARD RODRIGUEZ,57,HECTOR MANRIQUEZ,Ganador,1,4.8
5,2,1,REPUBLIC ANA,EXAGGERATOR,LALY,455,JOSE SOLANO,57,ROBERTO TOLEDO M.,1 1/2 cpos.,1,4.3
5,3,11,VAN DER SAR,BAD DADDY,JANYO,465,RODOLFO FUENZALIDA,57,GABRIEL MELEJ,1 1/2 cpos.,1,21.3
5,4,4,ESTEPHANIA,CALIFORNIA CHROME,URRA,452,BENJAMIN TRONCOSO,57,JUAN RODRIGUEZ R.,4 1/4 cpos,1,10.6
5,5,6,SPECIAL MACHINE,INTERNATIONAL STAR (USA),YAYITA,405,MAURICIO CHAMORRO,57,RAUL MONTESINO,6 cpos.,1,6.5
5,6,9,MANANO,UNITARIAN,SAGARDIA HNOS.,562,MOISES A. DONOSO,57,OSCAR SILVA G.,6 1/2 cpos.,1,4.2
5,7,10,UNO CERO,TODO UN AMIGUITO,EL JEI,433,DARIEN CHEUQUE,57,FELIPE GONZALEZ S.,6 1/2 cpos.,1,7.5
5,8,7,GRAN TILAPIA,MR SPEAKER,JAMES,459,WILBERT LEON,57,GENARO COVARRUBIAS,7 1/2 cpos.,1,3.9
5,9,2,NEGRO APAPUCHI,EL PIÑON,PERALTA P GUILLERMO,426,JAIME A. MIÑO,57,GUILLERMO PERALTA,9 cpos.,1,94.5
5,10,8,LUDMILA,BOBOMAN,SAPNET STABLE,438,BASTIAN SOTO,57,WALESKA PEÑA,11 cpos.,1,65.4
5,11,12,AFIRMATE TOÑITO,DISTORTED ECONOMY,SAGARDIA HNOS.,509,LUIS D. MENGHINI,57,OSCAR SILVA G.,12 1/4 cpos.,1,39.2
5,12,3,PACIENCIA ETERNA,ANNUAL REPORT,JANYO,396,JESUS PIMENTEL,57,GABRIEL MELEJ,16 cpos.,1,36.7
6,1,2,NO SE NA,THE LUMBER GUY,STUD HARAS LIZZIE,447,JOAQUIN HERRERA,57,JOSE M. ALVAREZ D.,Ganador,-,4
6,2,5,KILAN,VISCOUNT NELSON,SAGARDIA HNOS.,460,JOSE SOLANO,57,OSCAR SILVA G.,1 cpo.,-,5.3
6,3,9,MANO DE PIEDRA,INTERNATIONAL STAR (USA),KDM,495,RODRIGO PAINEN,57,JOHN PINOCHET,2 cpos,-,6.7
6,4,7,GUNDOGAN,ANNUAL REPORT,CARILLON,469,NICOLAS RAMIREZ,57,MARIO RABAJILLE D.,2 cpos,9,2
6,5,3,EL COMEDIANTE,CUNCO (IRE),EL GANCHITO,453,DARIEN CHEUQUE,53,ENRIQUE CARREÑO,3 cpos.,11,9.4
6,6,8,LUQUITAS,SPUN TO RUN (USA),CHINIGUE,427,JOSE VILLABLANCA,57,CLAUDIO BERNAL,4 3/4 cpos.,-,14.5
6,7,13,POETA GRIEGO (ARG),LUCULLAN,VIGALU,421,RONALD FOURNET,53,JUAN RODRIGUEZ R.,6 cpos.,-,37.6
6,8,6,SLOVAK,PAPELON,MONIN,449,BASTIAN SOTO,57,FERNANDO SOLAR,9 cpos.,10,78.9
6,9,11,TORO DEL MONTE,MONTHIR,BERNAL G. ANDRES,443,RODOLFO FUENZALIDA,57,ANDRES BERNAL,9 3/4 cpos.,-,12.1
6,10,12,CATANZARO,GOOD SAMARITAN (USA),EL MERO MERO,410,BENJAMIN TRONCOSO,53,JOSE ARAYA B.,9 3/4 cpos.,-,58.4
6,11,4,CRUZA EL RIO,KINGLY (USA),MARIO NICOLAS,494,FRANCISCO MORALES,57,ROBERTO TOLEDO M.,15 1/2 cpos.,-,118.3
