Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
1,13:30,FE PURA,1,7,SWEET CHILD,MENDELSSOHN (USA),MAR Y SOL,416,BENJAMIN SANCHO,57,CLAUDIO BERNAL,Ganador,5,3.8
1,13:30,FE PURA,2,12,CABLE A TIERRA,FANTASMAGORICO,LOR KEDIMAR,431,MAURICIO CHAMORRO,56,ROBERTO TOLEDO M.,3 1/4 cpos.,4,8
1,13:30,FE PURA,3,9,EN CAPILLA,PASSION FOR GOLD,LUIMAR,443,RAFAEL CISTERNAS,57,RODRIGO SILVA S.,5 1/4 cpos.,5,7.2
1,13:30,FE PURA,4,4,MY CLAUDIA,SEEKING THE DIA,SAPNET STABLE,419,GERARD RODRIGUEZ,54,WALESKA PEÑA,6 1/4 cpos.,2,9
1,13:30,FE PURA,5,6,VAI BENE COSI,INTERNATIONAL STAR (USA),HECTOR MANRIQUEZ F.,421,RODOLFO FUENZALIDA,55,HECTOR MANRIQUEZ,6 1/2 cpos.,4,16.9
1,13:30,FE PURA,6,11,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,437,VICTOR MIRANDA,55,ALEJANDRO PADOVANI E.,7 cpos.,3,2.9
1,13:30,FE PURA,7,1,BEL FIOR,CONSTITUTION,BAEMAR,444,RODRIGO PAINEN,58,JOSE ARAYA B.,8 1/4 cpos.,5,7.8
1,13:30,FE PURA,8,2,ANTIOCO,CLASSIC EMPIRE (USA),LOS CABEZAS ALVAREZ,499,MARCO MORALES,57,RAUL MONTESINO,11 1/4 cpos.,5,10.5
1,13:30,FE PURA,9,3,HAMM GOOD,GOOD SAMARITAN (USA),TETITO IGNACIO,477,FRANCISCO MORALES,56,SERGIO MORALES,12 cpos.,4,21.7
1,13:30,FE PURA,10,5,EL KICHAN,EXAGGERATOR,MAMAJELU,441,WILBERT LEON,53,MANUEL VELARDE,16 1/2 cpos.,1,42.5
1,13:30,FE PURA,11,8,AKISI,DANCE BRIGHTLY,FRITZI,489,RONALD FOURNET,54,ANGEL JAQUE S.,31 3/4 cpos.,2,15
1,13:30,FE PURA,12,10,QUE TERRIBLE,SEEKING THE DIA,ANDALIEN,487,JONATHAN A. CASTILLO,57,CRISTOBAL GONZALEZ M.,38 cpos.,5,23.1
2,13:59,FUMASOL,1,6,RAPILLANA,IVAN DENISOVICH,MONTESINO S. RAUL,401,MAURICIO CHAMORRO,55,RAUL MONTESINO,Ganador,-,6.5
2,13:59,FUMASOL,2,1,KERRYS,KINGLY (USA),HARAS MOCITO GUAPO,474,FABIAN MEDINA,51,PATRICIO BAEZA A.,1/2 cpo.,-,8.1
2,13:59,FUMASOL,3,5,YOKITA,DYLAN THOMAS,STUD EL MIRADOR,419,HECTOR BERRIOS,55,JULIO ORELLANA,1 cpo.,-,1.2
2,13:59,FUMASOL,4,2,MI NIETA AGUSTINA,FLAMEAWAY (CAN),VIGALU,436,RONALD FOURNET,53,JUAN RODRIGUEZ R.,3 1/4 cpos.,-,66.5
2,13:59,FUMASOL,5,7,LUGA,MENDELSSOHN (USA),MARQUES,430,JONATHAN A. CASTILLO,55,ALDO PARRA D.,3 1/4 cpos.,-,9.5
