reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,1,1,4,LA TOTE,FLYER,WILLIAM ARA D.,444,JAIME A. MIÑO,57,JOAO CASTILLO L.,Ganador,1,20.4
87,1,2,2,MARULINA,DYLAN THOMAS,MARIO ANDRES,425,NICOLAS SANTIBAÑEZ,57,CRISTIAN URBINA,1 cpo.,1,3.7
87,1,3,1,VALLTTERI,WAR COMMAND,MONTESINO S. RAUL,454,ROBERTO AVILA,57,RAUL MONTESINO,1 cpo.,1,4.6
87,1,4,12,BICAMPEON CHILENO,DYLAN THOMAS,EL MERO MERO,420,MARCO A. BUSTAMANTE,57,JOSE ARAYA B.,2 1/2 cpos.,1,11.2
87,1,5,7,RECHIFLAO,GSTAAD II,BERNAL G. ANDRES,467,CARLOS ORTEGA,57,ANDRES BERNAL,3 1/4 cpos.,1,9.8
87,1,6,13,GEROMILO,BAD DADDY,VIEJO MOÑO,404,NICOLAS MOLINA,57,CLAUDIO BERNAL,4 cpos.,1,5.4
87,1,7,8,MOSASAURUS,DYLAN THOMAS,OLGUITA,403,MOISES A. DONOSO,58,OSCAR SILVA G.,4 1/4 cpos,1,9.1
87,1,8,14,LA OVALLE NEGRETE,EL FARRERO,HIRMAS R JAIME,424,RODOLFO FUENZALIDA,57,JAIME HIRMAS,4 3/4 cpos.,1,5.9
87,1,9,5,AGUILA DE FUEGO,GOOD SAMARITAN,GUERRERO DE LA VIDA,401,BENJAMIN SANCHO,57,RAUL MONTESINO,7 cpos.,1,17.2
87,1,10,10,NO HAY ADIOS,BAD DADDY,GUERRERO DE LA VIDA,426,BASTIAN SOTO,57,RAUL MONTESINO,7 1/2 cpos.,1,7.6
87,1,11,11,SUEÑO REALIDAD,EL MILAGRITO,PEÑA P. WALESKA,437,LESLY C. GONZALEZ,57,WALESKA PEÑA,7 3/4 cpos.,1,35.9
87,1,12,9,NOCHE DE PAINE,GET JETS,SAGARDIA HNOS.,411,LUIS D. MENGHINI,57,OSCAR SILVA G.,10 1/4 cpos.,1,64.8
87,1,13,3,GOOD MORNING RED,MORNING RED,SOLIN,426,RONALD FOURNET,57,HERNAN PACHECO,16 3/4 cpos.,1,99.1
87,1,14,6,DOÑA ISA,EXAGGERATOR,SILVA S. RODRIGO,403,JOSE CUETO,57,RODRIGO SILVA S.,26 1/2 cpos.,1,275.8
87,2,1,8,EL BOHEMIO,MIDSHIPMAN,OLIMPIC BLUE,466,BENJAMIN TRONCOSO,56,ALEJANDRO PADOVANI E.,Ganador,5,2.6
87,2,2,11,PACIFICADOR,DANGEROUS MIDGE,LO CAMPO,414,JOHAN GONZALEZ,55,OLIVERIO MARTINEZ,3/4 cpos.,4,15.5
87,2,3,2,SCANDINAVA,DYLAN THOMAS,JUAN PATRICIO,460,RODOLFO S. DORES,57,ANDRES BERNAL,1 1/2 cpos.,6,3.9
87,2,4,9,MINONI,BAD DADDY,BUFALOS MOJADOS,460,ROBERTO AVILA,55,RAUL MONTESINO,2 3/4 cpos.,4,14
87,2,5,4,CABLE A TIERRA,FANTASMAGORICO,LOR KEDIMAR,430,ALVARO APABLAZA,56,ROBERTO TOLEDO M.,5 1/4 cpos.,6,12
87,2,6,1,SEE YOU AGAIN,GOOD SAMARITAN,POR TI NEGRITA,497,LESLY C. GONZALEZ,54,FELIPE GONZALEZ S.,7 1/4 cpos.,4,38
87,2,7,10,LLUVIA DE ENERO,MENDELSSOHN,EL TORO BAYO,458,NICOLAS RAMIREZ,55,MIGUEL MEDINA,8 1/2 cpos.,4,8
87,2,8,5,LITTLE GASPI,WAR COMMAND,ROXANITA,501,DIEGO CARRASCO,58,RAUL MONTESINO,8 3/4 cpos,7,21.8
87,2,9,7,NONA BLANCA,KATMAI,ROGER WELLMANN H.,453,JESUS TORO,54,JOSE ARAYA B.,9 1/2 cpos.,4,24.7
87,2,10,6,SHEEZA,GRAND DADDY,HARAS MOCITO GUAPO,430,RODOLFO FUENZALIDA,58,PATRICIO BAEZA A.,10 cpos.,7,4.1
87,2,11,3,BLACK KINGLY,KINGLY,VIÑA DEL MAR,427,WILBERT LEON,56,GENARO COVARRUBIAS,13 1/4 cpos.,6,10.3
87,3,1,1,YOKITA,DYLAN THOMAS,STUD EL MIRADOR,417,FABIAN MEDINA,51,JULIO ORELLANA,Ganador,0,1.6
