Carrera,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
1,1,8,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,442,VICTOR MIRANDA,57,ALEJANDRO PADOVANI E.,Ganador,33,3.8
1,2,10,KING NICOLAS,NEKO BAY,ALONMATE,460,RODRIGO PAINEN,55,MANUEL VELARDE,2 3/4 cpos.,15,0.9
1,3,2,VAI BENE COSI,INTERNATIONAL STAR (USA),HECTOR MANRIQUEZ F.,424,REINALDO LOYOLA,56,HECTOR MANRIQUEZ,5 cpos.,2,7.7
1,4,4,MY CLAUDIA,SEEKING THE DIA,SAPNET STABLE,417,GERARD RODRIGUEZ,56,WALESKA PEÑA,6 cpos.,2,6.4
1,5,6,GRAN SAMIR,SCAT ROYAL,SAPNET STABLE,452,GONZALO ULLOA,57,WALESKA PEÑA,6 1/4 cpos.,3,3.1
1,6,5,FELIPHON,SHANGHAI BOBBY,BARCELONA,475,JESUS TORO,56,ALVARO FERNANDEZ,7 1/2 cpos.,2,6.2
1,7,11,PATTY NENA,NEWFOUNDLAND,BARABARABA,410,ROBERTO AVILA,55,JUAN RODRIGUEZ R.,9 1/4 cpos.,1,19.3
1,8,7,REPUBLIC ANA,EXAGGERATOR,LALY,458,JOSE SOLANO,57,ROBERTO TOLEDO M.,9 1/2 cpos.,3,21.4
1,9,9,HAMM GOOD,GOOD SAMARITAN (USA),TETITO IGNACIO,474,JOHAN GONZALEZ,56,SERGIO MORALES,17 1/2 cpos.,2,6.5
1,10,12,WALKA,SHANGHAI BOBBY,FUENTES DE M CARMEN,478,NICOLAS SANTIBAÑEZ,56,CARLOS MELERO,17 1/2 cpos.,2,35.9
1,11,1,PACIENCIA ETERNA,ANNUAL REPORT,JANYO,390,JESUS PIMENTEL,57,GABRIEL MELEJ,20 1/4 cpos.,3,40.5
1,12,14,GRAN TOURIST,TOURIST,SAGARDIA HNOS.,400,LUIS D. MENGHINI,55,OSCAR SILVA G.,22 cpos.,1,70.4
1,13,3,NEGRO APAPUCHI,EL PIÑON,PERALTA P GUILLERMO,434,JAIME A. MIÑO,56,GUILLERMO PERALTA,22 1/4 cpos.,2,39.8
1,14,13,ATEX,VISCOUNT NELSON,SOBARZO DE G MONICA,437,RODOLFO S. DORES,55,FELIPE GONZALEZ S.,45 3/4 cpos.,1,23.8
