Carrera,Hora,Tipo,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
1,12:45Hrs,HANDICAP índice 1 al 1,1,3,GRAN LALITO,INTERNATIONAL STAR (USA),DON RUFINO,460,SEBASTIAN GONZALEZ,57,JUAN C. PICHARA,Ganador,1,4.9
1,12:45Hrs,HANDICAP índice 1 al 1,2,2,KEPKA,KATMAI,BON TOUCH,469,NELSON ROJAS,57,OSCAR DONATE,1 cpo.,1,5.7
1,12:45Hrs,HANDICAP índice 1 al 1,3,10,MANCHITA DEL ÑUBLE,ADMIRAL,HEMISPHERES,444,GERARD RODRIGUEZ,57,CARLOS MELERO,3 cpos.,1,4.4
1,12:45Hrs,HANDICAP índice 1 al 1,4,6,DANITA FIRST,SEEKING THE DIA,J.V.G.,411,WLADIMIR QUINTEROS,57,CARLOS GARCIA,3 1/2 cpos.,1,10.8
1,12:45Hrs,HANDICAP índice 1 al 1,5,4,UNO CERO,TODO UN AMIGUITO,EL JEI,448,LESLY C. GONZALEZ,57,FELIPE GONZALEZ S.,4 1/4 cpos,1,9.4
1,12:45Hrs,HANDICAP índice 1 al 1,6,8,MANANO,UNITARIAN,SAGARDIA HNOS.,552,JOSE SOLANO,57,OSCAR SILVA G.,5 1/2 cpos.,1,5.3
1,12:45Hrs,HANDICAP índice 1 al 1,7,14,RAYO VELOZ,MORNING RAIDER,CAYO,480,BENJAMIN AYALA,57,LUIS MACHULAS G.,7 cpos.,1,8.4
1,12:45Hrs,HANDICAP índice 1 al 1,8,13,TORNADO DE BULI,DISTORTED ECONOMY,PANADERO,382,RICARDO SOLORZA,57,FELIPE GONZALEZ S.,8 3/4 cpos,1,118.8
1,12:45Hrs,HANDICAP índice 1 al 1,9,7,NIETA DEL MONTY,COURT VISION,MATTE D. DOMINGO,414,RAFAEL CISTERNAS,57,DOMINGO MATTE,10 1/4 cpos.,1,17.9
1,12:45Hrs,HANDICAP índice 1 al 1,10,5,VINNALIA,WAR COMMAND,JAQUE S ANGEL,416,MAURICIO GALAZ,57,ANGEL JAQUE S.,10 3/4 cpos.,1,46.2
