Carrera,Lugar,Partida,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
1,1,2,EL NENE,PAPELON,DI GIORGIO DICONE,423,JOSE VILLABLANCA,54,CLAUDIO BERNAL,Ganador,4,8.7
1,2,1,SALE DE MIS OJOS,GEMOLOGIST,RUFO,465,BASTIAN SOTO,55,FERNANDO SOLAR,pczo.,5,6.8
1,3,5,LA SIGUIENTE,EXAGGERATOR,CINCAR,470,RODRIGO PAINEN,55,HECTOR MANRIQUEZ,1 cpo.,5,7.5
1,4,11,ENVIADO ESPECIAL,BAD DADDY,MATIAS HECTOR,466,BENJAMIN TRONCOSO,57,PEDRO MOLINA,1 cpo.,7,2.3
1,5,10,SULTAN GUERRERO,VAN NISTELROOY,YAYITA,474,FRANCISCO MORALES,57,RAUL MONTESINO,2 cpos,7,3.4
1,6,3,MUY TEMPERADA,DISTORTED ECONOMY,PANADERO,435,JOSE PAREDES,56,FELIPE GONZALEZ S.,4 cpos.,6,11.5
1,7,7,ANTUMBRA,DISTORTED ECONOMY,MONTESINO S. RAUL,427,DIEGO CARRASCO,54,RAUL MONTESINO,4 1/2 cpos.,4,43.3
1,8,6,JARDIN OLVIDADO,EXAGGERATOR,SAGARDIA HNOS.,492,JOSE VILLABLANCA,55,OSCAR SILVA G.,6 3/4 cpos.,5,72.1
1,9,8,NO TIENE PALABRA,FLYER,SANTA EMPERATRIZ,421,AGUSTIN VILLAGRA,54,RAUL MONTESINO,7 cpos.,4,36
1,10,13,EL PELUSA,DADDY LONG LEGS,SAGARDIA HNOS.,462,PIERO REYES P.,57,OSCAR SILVA G.,7 1/2 cpos.,7,34.7
1,11,12,DOLCE AMARENA,ROBERT BRUCE,EL TORO BAYO,436,JESUS PIMENTEL,53,MIGUEL MEDINA,8 1/2 cpos.,3,107.2
