Carrera,Lugar,Numero,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
1,1,1,UNO CERO,TODO UN AMIGUITO,EL JEI,445,LESLY C. GONZALEZ,57,FELIPE GONZALEZ S.,Ganador,1,3.4
1,2,12,PATTY NENA,NEWFOUNDLAND,BARABARABA,-,NICOLAS MOLINA,57,THEODORE CACHELY,4 cpos.,-,8.6
1,3,2,VAN DER SAR,BAD DADDY,JANYO,457,JESUS PIMENTEL,57,GABRIEL MELEJ,4 cpos.,-,8.7
1,4,7,EL KICHAN,EXAGGERATOR,MAMAJELU,438,GERARD RODRIGUEZ,57,MANUEL VELARDE,6 cpos.,1,11.7
1,5,10,REPUBLIC ANA,EXAGGERATOR,LALY,460,ALVARO APABLAZA,57,ROBERTO TOLEDO M.,8 1/4 cpos.,1,10.3
1,6,14,DANITA FIRST,SEEKING THE DIA,J.V.G.,407,WLADIMIR QUINTEROS,57,CARLOS GARCIA,8 3/4 cpos,1,6.6
1,7,6,MANANO,UNITARIAN,SAGARDIA HNOS.,557,MOISES A. DONOSO,57,OSCAR SILVA G.,9 1/4 cpos.,1,4.6
1,8,15,WALKA,SHANGHAI BOBBY,FUENTES DE M CARMEN,485,NICOLAS SANTIBAÑEZ,57,CARLOS MELERO,10 cpos.,1,19.7
1,9,9,TORNADO DE BULI,DISTORTED ECONOMY,PANADERO,393,RICARDO SOLORZA,57,FELIPE GONZALEZ S.,13 3/4 cpos.,1,62.4
1,10,13,LA OVALLE NEGRETE,EL FARRERO,HIRMAS R JAIME,419,GUSTAVO AROS,57,JAIME HIRMAS,13 3/4 cpos.,1,5.8
1,11,4,PUMBA,SHANGHAI BOBBY,MININO,422,JOSE CUETO,57,ALEXIS PEREZ,20 3/4 cpos.,1,103.5
1,12,8,NEGRO APAPUCHI,EL PIÑON,PERALTA P GUILLERMO,431,JAIME A. MIÑO,57,GUILLERMO PERALTA,22 1/2 cpos.,1,56.2
1,13,11,THOTHO,STAY THIRSTY,LALY,456,RODRIGO COVARRUBIAS,57,MARIO COVARRUBIAS,26 1/4 cpos.,1,25.6
1,14,5,TURBOCHELA,FATHER OF SCIENCE,MONICA,394,REINALDO LOYOLA,57,ANGEL JAQUE S.,28 3/4 cpos.,1,188.4
1,15,3,ATEX,VISCOUNT NELSON,SOBARZO DE G MONICA,434,JOHAN GONZALEZ,57,FELIPE GONZALEZ S.,36 1/2 cpos.,1,19.7
2,1,2,NYQUISTER,NYQUIST,LUIGI,463,KEVIN ESPINA,57,PATRICIO BAEZA A.,Ganador,9,1.6
2,2,3,AL AMIR,GET JETS,C.H.C.,489,SEBASTIAN GONZALEZ,57,HERNAN ULLOA,3 1/2 cpos.,-,5.1
2,3,8,EL JEI,THE LUMBER GUY,EL JEI,448,ALVARO APABLAZA,57,FELIPE GONZALEZ S.,4 cpos.,-,14.4
2,4,7,BEN MAMUT,RYDILLUC,MONIN,451,BASTIAN SOTO,57,FERNANDO SOLAR,5 1/4 cpos.,-,18.8
2,5,10,JOHN DUTTON,ROBERT BRUCE,LIGURIA,462,JOAQUIN HERRERA,57,RODRIGO SANCHEZ,8 cpos.,-,3.3
2,6,5,MUY ADMIRADO,ADMIRAL,MAULINO,492,GERARD RODRIGUEZ,57,JOAO CASTILLO L.,9 1/2 cpos.,9,19.5
2,7,9,MUSICO Y SOLDADO,MENDELSSOHN (USA),MARIO ANDRES,421,NICOLAS RAMIREZ,57,CRISTIAN URBINA,11 1/4 cpos.,-,24.6
2,8,1,NAMRUD TIGER,HANDSOME TIGER,EL CEDRO,480,DAVID SANCHEZ,57,JUAN CAVIERES,15 1/2 cpos.,8,16.5
2,9,6,EL ATREVIDO,SPUN TO RUN (USA),GARAGE JCS,450,IGNACIO VALDIVIA,57,OSCAR SILVA S.,15 1/2 cpos.,8,15.6
2,RT,4,HAZTE VER,PORTO FINO,EL GANCHITO,-,CARLOS ORTEGA,57,ENRIQUE CARREÑO,-,-,-
3,1,4,ENTRE NEGROS,CLASSIC EMPIRE (USA),DOÑA SOFIA,463,IGNACIO VALDIVIA,54,PATRICIO BAEZA A.,Ganador,18,3.9
3,2,5,MONTES FRAILE,PALM SPRINGS (USA),LA MONITO,504,FABIAN MEDINA,54,JOSE T. ALLENDE,2 1/2 cpos.,22,2.3
3,3,8,ELKAN DADDY,GOOD SAMARITAN (USA),VIÑA DEL MAR,425,JORGE ZUÑIGA,54,OLIVERIO MARTINEZ,3 cpos.,18,7.5
3,4,1,NO SE NA,THE LUMBER GUY,STUD HARAS LIZZIE,444,JOAQUIN HERRERA,54,JOSE M. ALVAREZ D.,3 1/2 cpos.,14,8.4
3,5,6,EL SABLAZO,GOOD SAMARITAN (USA),JUJUY,400,NICOLAS RAMIREZ,54,MARIO RABAJILLE D.,5 cpos.,17,4.1
3,6,2,TAMBERI,THE LUMBER GUY,ALVAREZ D. JOSE,429,RONALD FOURNET,54,JOSE M. ALVAREZ D.,8 cpos.,16,43.5
3,7,9,MILENIO,DANGEROUS MIDGE,FRITZI,491,RODOLFO FUENZALIDA,54,ANGEL JAQUE S.,17 cpos.,15,8
3,8,7,ALCABONTA,PATTERNRECOGNITION,KDM,512,BENJAMIN SANCHO,58,GABRIEL MELEJ,20 cpos.,22,17.2
3,9,3,A TODO VAPOR,CLASSIC EMPIRE (USA),CHOLITO,486,JESUS TORO,54,ALVARO FERNANDEZ,Lejos,15,19
4,1,3,EL VIGIA,CONSTITUTION,EL TATA,515,JAIME MEDINA,60,PATRICIO BAEZA A.,Ganador,50,2.1
4,2,1,LUCA PAGURO,ROBERT BRUCE,EL CEDRO,494,RAFAEL CISTERNAS,60,JUAN CAVIERES,3/4 cpos.,23,2.4
4,3,6,HEY JOKE,PRACTICAL JOKE,CHARITO,512,KEVIN ESPINA,60,CRISTOBAL GONZALEZ M.,4 cpos.,55,5.2
4,4,4,HIJO DEL TUTO,GRAND DADDY,BENGO,495,NICOLAS RAMIREZ,60,JOSE ARAYA B.,6 cpos.,44,11.5
4,5,2,TOMMY SHELBY,CONSTITUTION,EL MERO MERO,465,LUIS TORRES,60,JOSE ARAYA B.,9 1/2 cpos.,32,4.3
4,6,5,LATOUR CENT,GOLDENCENTS,LOS JEQUES,486,BERNARDO LEON,60,PEDRO DIAZ S.,15 1/4 cpos.,47,22.2
5,1,12,DASTAN,TIZ THE LAW (USA),DOS LAGUNAS,433,JOAQUIN HERRERA,57,JUAN C. SILVA S.,Ganador,-,4.4
5,2,6,COMANDANTE TRUENO,FLAMEAWAY (CAN),DIENACH,427,AXEL ALVAREZ,57,ALDO PARRA D.,1 1/2 cpos.,-,3.7
5,3,9,OLISE,TIZ THE LAW (USA),LINLINAO,474,KEVIN ESPINA,58,PATRICIO BAEZA A.,6 1/4 cpos.,-,4.2
5,4,4,EL CONQUISTADOR,TACITUS (USA),LEGACY,507,NICOLAS RAMIREZ,57,JOSE ARAYA B.,6 3/4 cpos.,-,15.6
5,5,8,CORAGGIOSO,LOOKIN AT LUCKY,DON MARIO,467,BERNARDO LEON,57,PATRICIO BAEZA A.,7 1/4 cpos.,-,19.8
5,6,7,CHINA BAND,ROBERT BRUCE,CRISTIAN MANUEL,513,IGNACIO VALDIVIA,57,PATRICIO BAEZA A.,10 3/4 cpos.,-,4.6
5,7,2,YO QUERIA,BROWN STORM,JOSE T. ALLENDE F.,463,RODOLFO FUENZALIDA,57,JOSE T. ALLENDE,12 1/2 cpos.,-,14.3
5,8,10,FERBLACK,INTERNATIONAL STAR (USA),FLECHAS DORADAS,431,JORGE ZUÑIGA,57,OLIVERIO MARTINEZ,13 1/4 cpos.,-,20.3
5,9,5,RACKHAM,SPUN TO RUN (USA),MATRIARCA,490,BASTIAN SOTO,57,JOSE ARAYA B.,14 cpos.,-,8.1
5,10,1,RESOLUTIVO,FLYER,VIEJO PERRO,461,JESUS TORO,57,ALDO PARRA D.,18 cpos.,-,48.4
5,11,3,ARANGUIZ,SPUN TO RUN (USA),MATRIARCA,487,HUGO OCHOA,57,RODRIGO SANCHEZ,25 cpos.,-,9.3
5,RT,11,LUSTEAU,SEEKING THE DIA,DOÑA LILI,-,N.N.,57,CARLOS RABY,-,-,-
6,1,8,VAMOS AL NOA NOA,GSTAAD II,LOS BRUJOS,450,NICOLAS MOLINA,58,THEODORE CACHELY,Ganador,37,5.5
6,2,3,YOGURDEMORATENIS,MALAGACY,LOS GRITONES,481,NICOLAS RAMIREZ,60,JUAN C. PICHARA,3 cpos.,44,4.5
6,3,6,KINO,ARAGORN II,CAMILO OSSES,501,GUSTAVO AROS,59,RICARDO ROJAS,5 cpos.,40,12.6
6,4,1,SALTO DEL GUAPO,GRAND DADDY,POR TI NEGRITA,481,BENJAMIN TRONCOSO,53,SERGIO MORALES,5 1/2 cpos.,32,2.9
6,5,4,CORRER NORTINO,CONSTITUTION,BENITO CH BORIL,448,HUGO OCHOA,56,DOMINGO MATTE,6 1/4 cpos.,35,3.9
6,6,10,STRONG DAIKIRI,STRONG MANDATE,LEGACY,504,MARCO A. BUSTAMANTE,56,JOSE ARAYA B.,7 1/2 cpos.,35,10.5
6,7,5,DOORSTEP,ROBERT BRUCE,ROMANO,509,WILBERT LEON,53,DOMINGO MATTE,8 cpos.,32,4.8
6,8,7,COMO DORMISTE,MO TOWN,GUERRERO DE LA VIDA,437,RODOLFO FUENZALIDA,59,RAUL MONTESINO,10 1/2 cpos.,40,38.1
6,9,2,FLOREADOR,MR SPEAKER,VIGALU,483,DIEGO CARRASCO,52,THEODORE CACHELY,15 1/4 cpos.,31,123.8
6,10,9,CHICHILO,VISCOUNT NELSON,EL SECRETO,433,JESUS TORO,54,ALBERTO AVILES,19 cpos.,33,52.8
7,1,2,SEVEN WONDERS,IVAN DENISOVICH,STUD HARAS DON ALBERTO,495,JOAQUIN HERRERA,54,JULIO ORELLANA,Ganador,6,3.1
7,2,6,MIA SELENTANA,LOOKIN AT LUCKY,STUD EL MIRADOR,497,KEVIN ESPINA,57,PATRICIO BAEZA A.,1 cpo.,9,1.2
7,3,4,MUY SOLO AQUI,LOOKIN AT LUCKY,NANOS,479,NICOLAS MOLINA,55,CLAUDIO NAVARRO A.,12 cpos.,7,41.8
7,4,8,FUEGO Y HIERRO,HINZ,VIÑA DEL MAR,466,JORGE ZUÑIGA,56,OLIVERIO MARTINEZ,12 1/4 cpos.,8,18.9
7,5,7,ZULEIMAN (ARG),MASTERCRAFTSMAN,SAPNET STABLE,463,SEBASTIAN GONZALEZ,58,WALESKA PEÑA,14 cpos.,10,18.1
7,6,1,EL BIGOTE,UMAMICHI,SILVA S. RODRIGO,473,AXEL ALVAREZ,54,RODRIGO SILVA S.,14 1/2 cpos.,6,10.7
7,7,3,EL RUFO,FLAMEAWAY (CAN),BOTAFOGO,493,IGNACIO VALDIVIA,58,OSCAR SILVA S.,21 1/4 cpos.,12,15.9
7,NT,5,CATITA REVOLTOSA,QUICK CASABLANCA,EL GRAN JOSE,461,LESLY C. GONZALEZ,54,WALESKA PEÑA,-,6,21.6
8,1,10,INDIAN POET,CONSTITUTION,VICE ARA,504,MAURICIO CHAMORRO,56,RAUL MONTESINO,Ganador,26,3.4
8,2,1,ALE GUAPA,CUPID,MATTE D. DOMINGO,468,NICOLAS MOLINA,54,DOMINGO MATTE,1/2 cpo.,24,10.9
8,3,2,KUAI MA,ROBERT BRUCE,TATA CHITO,477,FELIPE HENRIQUEZ,54,SERGIO MORALES,1/2 cpo.,24,4.2
8,4,3,CAROLITO,CLASSIC EMPIRE (USA),CHARITO,449,MIGUEL GUTIERREZ,59,CRISTOBAL GONZALEZ M.,2 3/4 cpos.,30,4.3
8,5,9,SCALPING,GOOD SAMARITAN (USA),EL VEINTITRES,442,BENJAMIN SANCHO,56,CLAUDIO BERNAL,4 3/4 cpos.,26,23.3
8,6,12,JOYA DEL LITORAL,SPUN TO RUN (USA),CITRAL,479,JOAQUIN HERRERA,57,JOSE T. ALLENDE,7 cpos.,27,6.3
8,7,8,LA JIBARITA,ZAWRAQ (IRE),EL GANCHITO,473,LESLY C. GONZALEZ,58,ENRIQUE CARREÑO,7 3/4 cpos.,29,8.8
8,8,7,STOP PLAYING,CUPID,AMALGAMA,491,DAVID SANCHEZ,59,HERNAN ULLOA,8 1/4 cpos.,30,9.1
8,9,4,SPES,MR SPEAKER,DON MANUEL,437,DIEGO CARRASCO,57,THEODORE CACHELY,9 cpos.,27,11.9
8,10,11,PELAMBRE,PRACTICAL JOKE,BRUNO ALONSO,540,HUGO OCHOA,56,RODRIGO SANCHEZ,11 cpos.,26,19.4
8,11,5,REINA JAKE,VERRAZANO (USA),KDM,501,JUAN MUÑOZ,55,GABRIEL MELEJ,11 cpos.,25,63.4
8,RT,6,DENALI,GOOD SAMARITAN (USA),MATRIARCA,-,N.N.,58,MARIO RABAJILLE D.,-,29,-
9,1,4,GUACHACA,ROBERT BRUCE,ABUELA OCA,403,MAURICIO GALAZ,57,DANIEL CONTRERAS,Ganador,-,5.3
9,2,1,POETA GRIEGO (ARG),LUCULLAN,VIGALU,425,DAVID SANCHEZ,57,THEODORE CACHELY,3/4 cpos.,-,5
9,3,11,LINDO RECUERDO,THE LUMBER GUY,STUD HARAS LIZZIE,422,RONALD FOURNET,53,RODRIGO SANCHEZ,1 cpo.,-,2.3
9,4,6,EN CHATEAUROUX,DUBAI SKY,BENGO,438,BENJAMIN TRONCOSO,57,JOSE ARAYA B.,3 cpos.,-,4.9
9,5,5,MY SWEET LORD,CUNCO (IRE),HARAS SANTA MONICA,459,MARCO MORALES,57,CRISTIAN QUIROZ,4 3/4 cpos.,-,38
9,6,8,KILAN,VISCOUNT NELSON,SAGARDIA HNOS.,455,MOISES A. DONOSO,57,OSCAR SILVA G.,5 cpos.,-,7.6
9,7,7,ELSEBAAHORRATODO,KATMAI,ROBLEDO'S,422,NICOLAS MOLINA,57,THEODORE CACHELY,5 3/4 cpos.,-,38.4
9,8,9,MI BELLO MILAN,GET JETS,BLANCA ADELAIDA,395,JOHAN GONZALEZ,57,RODRIGO MUÑOZ,9 1/2 cpos.,-,49.5
9,9,2,VINCERO,THE LUMBER GUY,KAROLO,453,JOAQUIN HERRERA,57,JOSE M. ALVAREZ D.,10 1/4 cpos.,-,7.1
9,10,10,FLORO CHICO,EL MANU,MACKAY,445,BORIS GONZALEZ H.,57,EUGENIO SWITT,16 1/4 cpos.,-,88.6
9,11,3,EL GAGUI,DISTORTED ECONOMY,HARAS SANTA MARTA,420,FABIAN MEDINA,53,PATRICIO VALDERRAMA C.,21 1/4 cpos.,-,15.5
10,1,2,YA VA,MENDELSSOHN (USA),STUD DOÑA ELIANA,452,JAIME MEDINA,56,PATRICIO BAEZA A.,Ganador,24,1.6
10,2,5,SANDIA,IMPERIA II,MATRIARCA,463,HUGO OCHOA,52,RODRIGO SANCHEZ,2 1/2 cpos.,13,25.8
10,3,7,GANDA,IVAN DENISOVICH,STUD EL MIRADOR,459,RAFAEL CISTERNAS,52,JULIO ORELLANA,3 cpos.,11,6.1
10,4,1,SONRISA DULCE,SEEKING THE DIA,NONO,474,OSCAR ULLOA,58,JOHN PINOCHET,3 1/4 cpos.,29,3.5
10,5,6,GOOD DECISIONS,GOOD SAMARITAN (USA),MATRIARCA,428,SEBASTIAN GONZALEZ,56,MARIO RABAJILLE D.,3 1/2 cpos.,19,4.5
10,6,4,PODEROSA NOBLEZA,ALFONSO (USA),EL GRAN JOSE,447,IGNACIO VALDIVIA,52,WALESKA PEÑA,6 cpos.,15,22.2
10,7,3,CHIANA,GRAND DADDY,HARAS MOCITO GUAPO,467,BERNARDO LEON,61,JOSE T. ALLENDE,7 1/2 cpos.,49,40.6
10,8,8,PER NIENTE,MENDELSSOHN (USA),DOÑA LILI,456,ANYELO RIVERA,52,JULIO ORELLANA,12 1/2 cpos.,12,17
11,1,6,GRAN COMPAÑERA,SPUN TO RUN (USA),LEITO,432,CARLOS ORTEGA,55,JOSE M. ALVAREZ D.,Ganador,-,5.7
11,2,12,KISS THE QUEEN,HINZ,BUCAREST,442,FABIAN MEDINA,51,GUILLERMO AGUIRRE,2 1/4 cpos,-,13.2
11,3,11,ME DAS OTRO BESO,PATTERNRECOGNITION,MATIAS HECTOR,422,BENJAMIN TRONCOSO,55,PEDRO MOLINA,2 1/4 cpos,-,1.9
11,4,1,NUEVA ACTRICE,DANGEROUS MIDGE,FRITZI,419,JOHAN GONZALEZ,55,HECTOR MANRIQUEZ,4 3/4 cpos.,-,60.8
11,5,8,GUAGUA BRAVA,FLAMEAWAY (CAN),CAPRICHITO,426,RONALD FOURNET,52,RODRIGO SANCHEZ,6 cpos.,-,43
11,6,7,COMO UN CORAZON,MENDELSSOHN (USA),STUD EL MIRADOR,415,JORGE L. VERGARA,55,CARLOS RABY,7 cpos.,-,11.2
11,7,4,KOBRICH,DUBAI SKY,MATRIARCA,418,JOSE VILLAGRAN,53,MARIO RABAJILLE D.,7 cpos.,-,5.2
11,8,16,TRANQUILA NIÑA,MENDELSSOHN (USA),RUFO,431,JOSE PAREDES,55,ROBERTO TOLEDO M.,7 1/2 cpos.,-,141.6
11,9,2,SERKET,BILZERIAN,RAICES DE CODEGUA,446,FELIPE HENRIQUEZ,55,MARIO APABLAZA,7 1/2 cpos.,-,6.8
11,10,3,BRONT LUCKY,LOOKIN AT LUCKY,TETITO IGNACIO,472,RODOLFO FUENZALIDA,55,SERGIO MORALES,7 1/2 cpos.,-,29
11,11,15,YA AGUS,YA PRIMO,TETITO IGNACIO,374,MARCO MORALES,55,SERGIO MORALES,8 cpos.,-,12.1
11,12,13,EXCLUDE (ARG),FORGE,CATALINA PAZ,425,JOSE CUETO,54,JOAO CASTILLO L.,9 3/4 cpos.,-,51.1
11,13,9,MI NIETA AGUSTINA,FLAMEAWAY (CAN),VIGALU,434,BENJAMIN SANCHO,55,THEODORE CACHELY,10 1/4 cpos.,-,21.2
11,14,10,LIORA,DANGEROUS MIDGE,FRITZI,467,DIEGO CARRASCO,55,THEODORE CACHELY,11 1/2 cpos.,-,165.4
11,15,14,MODELO SBELT,MENDELSSOHN (USA),QUARTER DOLLAR,387,ROBERTO AVILA,55,MARIO COVARRUBIAS,16 cpos.,-,181.3
11,RT,5,CHINCHINELA,GET JETS,EL GANCHITO,-,N.N.,55,ENRIQUE CARREÑO,-,6,-
12,1,11,MAGO DEL GELATO,FLAMEAWAY (CAN),LOS QUE SABEN,514,JORGE ZUÑIGA,54,JOHN PINOCHET,Ganador,34,10.5
12,2,7,FLACO TITO,MO TOWN,HUACHIPERRY,462,JOAQUIN HERRERA,59,RODRIGO SANCHEZ,1/2 cpo.,40,4.4
12,3,2,VICHITO,SEEKING THE DIA,PALESTINA,487,AXEL ALVAREZ,52,HERNAN ULLOA,1 3/4 cpos.,32,45.2
12,4,3,EL UNGIDO,ROBERT BRUCE,LEGACY,494,LUIS TORRES,61,JOSE ARAYA B.,2 1/2 cpos.,45,17.5
12,5,4,YA ERA HORA,ROBERT BRUCE,ANITA MARIA,538,IGNACIO VALDIVIA,56,JOHN PINOCHET,2 3/4 cpos.,36,1.8
12,6,12,NI TRATO,MO TOWN,BRUNO ALONSO,465,HUGO OCHOA,57,RODRIGO SANCHEZ,3 3/4 cpos.,37,8.9
12,7,10,IMPLICADO,ROBERT BRUCE,MONSEÑOR,470,BENJAMIN TRONCOSO,55,HERNAN ULLOA,5 1/2 cpos.,35,11.4
12,8,9,PAPUDO CHROME,CALIFORNIA CHROME,GARAGE JCS,466,CARLOS ORTEGA,54,OSCAR SILVA S.,6 cpos.,34,31.3
12,9,5,CANTICIO,CLASSIC EMPIRE (USA),BRUNO ALONSO,468,LESLY C. GONZALEZ,52,JOSE ARAYA B.,6 1/4 cpos.,32,15.5
12,10,6,LOCO Y DEMENTE,EXAGGERATOR,DIENACH,472,GUSTAVO AROS,58,ALDO PARRA D.,7 cpos.,38,16.7
12,11,8,NUNCA PERDONA,MENDELSSOHN (USA),EL MERO MERO,437,SEBASTIAN GONZALEZ,58,JOSE ARAYA B.,10 cpos.,39,26.3
12,12,1,SOS DE BOCA,ROBERT BRUCE,CHARITO,462,NICOLAS MOLINA,52,CRISTOBAL GONZALEZ M.,11 cpos.,32,9
13,1,1,ESTRELLA DEL SOL,MENDELSSOHN (USA),STUD LA NONNA LTDA.,414,NICOLAS SANTIBAÑEZ,54,JULIO ORELLANA,Ganador,13,3.8
13,2,7,EL NANY,FLAMEAWAY (CAN),DAMYANTO,434,MARCO MORALES,58,JOHN PINOCHET,2 3/4 cpos.,17,11.6
13,3,5,COLLIPULLI,MENDELSSOHN (USA),LOS QUE SABEN,468,HUGO OCHOA,55,JOHN PINOCHET,3 1/2 cpos.,14,2.5
13,4,2,YOKITA,DYLAN THOMAS,STUD EL MIRADOR,417,FABIAN MEDINA,53,JULIO ORELLANA,3 3/4 cpos.,12,26.6
13,5,10,NO PASO AGOSTO,CLOUD COMPUTING,GUZO,448,ANYELO RIVERA,56,JOSE M. ALVAREZ D.,3 3/4 cpos.,15,10.2
13,6,8,RAUCO,MENDELSSOHN (USA),PAPELERO,456,BERNARDO LEON,57,RAUL MONTESINO,5 1/2 cpos.,16,11.5
13,7,3,CRANS MONTANA,BAD DADDY,DOÑA EMMA,437,JOAQUIN HERRERA,58,CLAUDIO BERNAL,8 cpos.,17,5.7
13,8,4,TIGRO (ARG),MASTERCRAFTSMAN,CHARITO,453,FELIPE HENRIQUEZ,57,CRISTOBAL GONZALEZ M.,9 1/4 cpos.,16,16.1
13,9,9,CINCINNATUS,LOOKIN AT LUCKY,DON MARIO,478,IGNACIO VALDIVIA,55,PATRICIO BAEZA A.,11 1/2 cpos.,14,5.2
13,10,6,KANDOZI,IVAN DENISOVICH,MONTESINO S. RAUL,467,SEBASTIAN GONZALEZ,58,RAUL MONTESINO,14 1/4 cpos.,17,21.4
14,1,3,BELLA SORPRESA,ALFONSO (USA),EL GRAN JOSE,465,LESLY C. GONZALEZ,57,WALESKA PEÑA,Ganador,9,1.8
14,2,5,QUE VIVA EL REY,DYLAN THOMAS,VELARDE B MANUEL A,485,NICOLAS RAMIREZ,56,MANUEL VELARDE,2 1/4 cpos,8,6.8
14,3,1,SOLER DE CRUZ,FORTIFY,SOBARZO DE G MONICA,442,JOSE VILLABLANCA,56,FELIPE GONZALEZ S.,3 cpos.,8,23.9
14,4,7,ELMITA,CALIFORNIA CHROME,JADADIE,483,BENJAMIN SANCHO,57,ANDRES BERNAL,4 1/2 cpos.,9,19
14,5,4,EL NENE,PAPELON,DI GIORGIO DICONE,418,NICOLAS MOLINA,56,CLAUDIO BERNAL,7 3/4 cpos.,8,39.5
14,6,2,EL BOHEMIO,MIDSHIPMAN,OLIMPIC BLUE,454,ALVARO APABLAZA,55,ALEJANDRO PADOVANI E.,7 3/4 cpos.,7,100.4
14,7,15,TE DIGO ALGO,EXAGGERATOR,MAR Y SOL,449,NICOLAS SANTIBAÑEZ,55,CLAUDIO BERNAL,8 1/2 cpos.,7,36.3
14,8,8,BERGERAC (ARG),ROMAN RULER (P),MADINAT,459,BENJAMIN TRONCOSO,56,MIGUEL MEDINA,9 1/2 cpos.,8,23.2
14,9,6,RAPILLANA,IVAN DENISOVICH,MONTESINO S. RAUL,389,MAURICIO CHAMORRO,57,RAUL MONTESINO,12 1/4 cpos.,9,42
14,10,10,EL VISIR,CLASSIC EMPIRE (USA),BENGO,438,SEBASTIAN GONZALEZ,56,JOSE ARAYA B.,13 cpos.,8,7.9
14,11,9,MI JOYA,KATMAI,HERMANOS DIAZ,469,GERARD RODRIGUEZ,56,RAUL MONTESINO,14 1/4 cpos.,8,7.5
14,12,14,EL APARECIDO,ARABIAN SPIRIT,TITAN,456,IGNACIO VALDIVIA,57,RODRIGO QUIROZ,15 cpos.,9,9.9
14,13,12,CASUAL VISION,VISION AND VERSE,MATTE D. DOMINGO,437,WLADIMIR QUINTEROS,56,DOMINGO MATTE,15 cpos.,8,20.9
14,14,13,PATMAHO,GRAND DADDY,BENVIC,521,BASTIAN SOTO,57,JOSE ARAYA B.,16 1/4 cpos.,9,9.4
14,15,11,KOLETTE,EXAGGERATOR,PREEMINENCIA,400,ROBERTO AVILA,56,RAUL MONTESINO,17 1/4 cpos.,8,100
15,1,15,YULITZKA,KINGLY (USA),P Y P,526,MARCO MORALES,56,ALEXIS PEREZ,Ganador,6,2.4
15,2,3,ASTRO SOL,GOOD SAMARITAN (USA),LOS MAGUITOS,461,NICOLAS SANTIBAÑEZ,57,ALDO PARRA D.,2 1/4 cpos,7,11.3
15,3,2,TESORITO MIO,ANNUAL REPORT,MELANY,407,NICOLAS RAMIREZ,56,JOSE ARAYA B.,5 cpos.,6,13.4
15,4,14,FLEDGE,COMPETITIVE EDGE,EL JEI,431,ALVARO APABLAZA,57,FELIPE GONZALEZ S.,8 cpos.,7,105.6
15,5,5,SEÑOR TRONCOSO,FORWARD MARCH,BERNAL G CLAUDIO,434,RODOLFO FUENZALIDA,56,CLAUDIO BERNAL,8 3/4 cpos,6,4.5
15,6,10,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,443,BENJAMIN TRONCOSO,56,ALEJANDRO PADOVANI E.,10 cpos.,6,34.8
15,7,9,LITTLE GASPI,WAR COMMAND,ROXANITA,502,DIEGO CARRASCO,56,RAUL MONTESINO,10 1/4 cpos.,6,41.4
15,8,1,SULTAN GUERRERO,VAN NISTELROOY,YAYITA,468,ROBERTO AVILA,56,RAUL MONTESINO,10 3/4 cpos.,6,5.8
15,9,12,ACLIS,EXAGGERATOR,BUREO,473,JOSE PAREDES,56,ROBERTO TOLEDO M.,11 1/4 cpos.,6,193.1
15,10,8,SALE DE MIS OJOS,GEMOLOGIST,RUFO,458,BASTIAN SOTO,57,FERNANDO SOLAR,15 1/4 cpos.,7,10.8
