Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
17-01-2026,1a,12:30 hrs.,Ganador,1°,10,Meme,Good Samaritan,440Kg,55k,J. Herrera,Rafael Bernal G.,Sema,5.70
17-01-2026,1a,12:30 hrs.,pz,2°,5,Ya Magico,Viscount Nelson,434Kg,55k,B. González,Genaro J. Covarrubias E.,La Corina,6.80
17-01-2026,1a,12:30 hrs.,3/4 cp,3°,14,Me Veras Caer,Iron Clad,413Kg,58k,F. Henríquez,Julio Castillo D.,Carlos Cavieres,8.10
17-01-2026,1a,12:30 hrs.,1 1/2,4°,11,Don Picho,Mr Speaker,417Kg,56k,F. Morales,Jaime Espineira C.,Santa Corina,3.80
17-01-2026,1a,12:30 hrs.,3 3/4,5°,13,Zigeuner,Ivan Denisovich,476Kg,55k,A. Covarrubias,Mario Covarrubias,Felipe Jesus,62.30
17-01-2026,1a,12:30 hrs.,3 3/4,6°,4,Sonata Celta,Mo Town,380Kg,56k,J. Toro,Rodrigo Quiroz S.,Lucaraste,8.80
17-01-2026,1a,12:30 hrs.,6 1/4,7°,7,Desert Cat,Newfoundland,453Kg,55k,R. Cisternas,Jaime Espineira C.,La Tropa,12.70
17-01-2026,1a,12:30 hrs.,6 1/2,8°,1,Mestiza Flor,Midshipman,413Kg,54k,M. Gutiérrez,Isaac Michea F.,Bruno Alonso,4.30
17-01-2026,1a,12:30 hrs.,7,9°,6,Silvestrin,Daddy Long Legs,444Kg,55k,J.A. Miño,Mario A. Apablaza G.,Albino,18.20
17-01-2026,1a,12:30 hrs.,8 1/4,10°,12,Montepiedra,Lemon Sour,414Kg,55k,D. Carvacho,Rodrigo Quiroz S.,El Goro,13.20
17-01-2026,1a,12:30 hrs.,8 3/4,11°,9,Francoli,Seeking The Dia,438Kg,55k,J. Cueto,Rodrigo Quiroz S.,Lucaraste,20.10
17-01-2026,1a,12:30 hrs.,12 3/4,12°,3,Gamorra,The Lumber Guy,448Kg,54k,L. Rivera,Rafael Quiroz F.,Los Bello,44.60
17-01-2026,1a,12:30 hrs.,13 1/2,13°,8,Rasheem,Seeking The Dia,437Kg,53k,J. Soto,Isaac Michea F.,Lgs Generadores,40.30
17-01-2026,1a,12:30 hrs.,14,14°,15,Rayo Veloz,Morning Raider,474Kg,56k,B. Ayala,Luis Machulas G.,Cayo,18.80
17-01-2026,1a,12:30 hrs.,14 3/4,U°,2,Power Of Horses,Exaggerator,495Kg,54k,C. C. Bustos,Jaime Hirmas R.,Jaime Hirmas R.,114.20
17-01-2026,2a,12:55 hrs.,Ganador,1°,15,Diosa Chocolate,Palm Springs,441Kg,51k,F. Medina,Jaime Espineira C.,Jaime Espiñeira C.,6.70
17-01-2026,2a,12:55 hrs.,1 1/2,2°,8,Wittenburg,Dubai Sky,444Kg,51k,N. Rojas,Aldo Castagneto U.,Las Araucarias,7.60
17-01-2026,2a,12:55 hrs.,2 3/4,3°,7,La Cia,International Star,401Kg,55k,M. Gutiérrez,Oscar Donate S.,Mario Andrés,12.60
17-01-2026,2a,12:55 hrs.,3 1/2,4°,12,Sinag,Good Samaritan,419Kg,55k,J. Cueto,Rodrigo Quiroz S.,Malcib,23.50
17-01-2026,2a,12:55 hrs.,4 3/4,5°,4,Get girls,Get Jets,430Kg,55k,D. Carvacho,Rodrigo Quiroz S.,Macul,16.30
17-01-2026,2a,12:55 hrs.,5 1/4,6°,9,Bella Chichi,Distorted Economy,476Kg,55k,P. Galáz,Hernán Pacheco P.,Margal,11.10
17-01-2026,2a,12:55 hrs.,7 3/4,7°,10,Para Ti Mi Amor,Spun to Run,395Kg,55k,N. Molina,Rodrigo Quiroz S.,Rafael Quiroz F.,12.80
17-01-2026,2a,12:55 hrs.,8 3/4,8°,13,Katie Melua,Flameaway,484Kg,55k,A. Alvarez,Oscar Donate S.,Guillermo Cordova T.,17.40
17-01-2026,2a,12:55 hrs.,9 1/4,9°,14,Bianca Mia,Flameaway,399Kg,55k,J. Herrera,Rafael Bernal G.,Florencia Paz,10.10
17-01-2026,2a,12:55 hrs.,9 1/4,10°,1,Shyuanna,Boboman,439Kg,55k,N. Ramirez,Juan C. Pichara J.,Agric.Santa Laura,1.80
17-01-2026,2a,12:55 hrs.,11 1/4,11°,11,La Universitaria,Bad Daddy,407Kg,55k,N. Santibañez,Rodrigo Quiroz S.,Lucaraste,37.50
17-01-2026,2a,12:55 hrs.,11 3/4,12°,5,Tiguarda,Dylan Thomas,423Kg,55k,F. Soto,Hernán Pacheco P.,Grande Tio Kiko,96.50
17-01-2026,2a,12:55 hrs.,15 1/2,13°,2,Song Song Blue,Dubai Sky,432Kg,54k,J. Eyzaguirre,Cristian Quiroz E.,Fos,151.40
17-01-2026,2a,12:55 hrs.,18 1/4,14°,6,Follow Your Dreams,Spun to Run,482Kg,55k,R. Avila,Isaac Michea F.,Lopito,15.90
17-01-2026,3a,13:20 hrs.,Ganador,1°,4,La Que Mas Chae,Flyer,455Kg,55k,M. Morales,John Pinochet P.,Ferro,3.30
17-01-2026,3a,13:20 hrs.,5,2°,8,Tsukimi,Dubai Sky,462Kg,51k,F. Medina,Juan Pablo Baeza J.,El Quijote,6.50
