Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo,Fecha
5,1,13:00Hrs.,,1,12,GRAN SAMIR,SCAT ROYAL,449,57,GUSTAVO AROS,WALESKA PEÑA,SAPNET STABLE,14.5,2026-01-23
5,1,13:00Hrs.,,2,1,VUELVE LA FARRA,EL FARRERO,444,57,CLAUDIO JORQUERA,RODRIGO SILVA S.,JOTABE,14.2,2026-01-23
5,1,13:00Hrs.,,3,5,MY CLAUDIA,SEEKING THE DIA,415,57,BENJAMIN TRONCOSO,WALESKA PEÑA,SAPNET STABLE,113.9,2026-01-23
5,1,13:00Hrs.,,4,13,ANTIOCO,CLASSIC EMPIRE (USA),486,57,CARLOS ORTEGA,RAUL MONTESINO,LOS CABEZAS ALVAREZ,129.1,2026-01-23
5,1,13:00Hrs.,,5,10,JOLTIN JOE,HENRYTHENAVIGATOR,510,57,JESUS TORO,ANGEL JAQUE S.,ESCALANTE CORTES SERGIO,112.7,2026-01-23
5,1,13:00Hrs.,,6,2,PUMBA,SHANGHAI BOBBY,416,57,VICTOR BRACETTI,ALEXIS PEREZ,MININO,162.4,2026-01-23
5,1,13:00Hrs.,,7,4,TORNADO DE BULI,DISTORTED ECONOMY,379,57,RICARDO SOLORZA,FELIPE GONZALEZ S.,PANADERO,1104.7,2026-01-23
5,1,13:00Hrs.,,8,6,NO HAY ADIOS,BAD DADDY,418,57,TOMAS SEITH,RAUL MONTESINO,GUERRERO DE LA VIDA,141.7,2026-01-23
5,1,13:00Hrs.,,9,11,EL KICHAN,EXAGGERATOR,433,57,GERARD RODRIGUEZ,MANUEL VELARDE,MAMAJELU,18,2026-01-23
5,1,13:00Hrs.,,10,8,AGUILA DE FUEGO,GOOD SAMARITAN (USA),401,57,NICOLAS MOLINA,RAUL MONTESINO,GUERRERO DE LA VIDA,116.7,2026-01-23
5,1,13:00Hrs.,,11,15,WILLIAM FAULKNER,ERNEST HEMINGWAY,488,57,JOHAN GONZALEZ,FRANCISCO PINOCHET,BARTI,14.7,2026-01-23
5,1,13:00Hrs.,,12,9,NUTCRACKER,CUMPLEAÑOS FELIZ,446,57,JUAN MUÑOZ,GABRIEL MELEJ,HUCLA,114.4,2026-01-23
5,1,13:00Hrs.,,13,7,TICKET GOOD,GOOD SAMARITAN (USA),452,57,RODRIGO PAINEN,JOSE ARAYA B.,MATRIARCA,122.9,2026-01-23
5,1,13:00Hrs.,,14,3,DISPARO LETAL,GOOD SAMARITAN (USA),438,57,NICOLAS RAMIREZ,JOAO CASTILLO L.,PANZER,17.2,2026-01-23
5,1,13:00Hrs.,,RD,14,SEE YOU AGAIN,GOOD SAMARITAN (USA),502,57,LESLY C. GONZALEZ,FELIPE GONZALEZ S.,POR TI NEGRITA,110.8,2026-01-23
5,2,13:29Hrs.,,1,7,MONARCA,GOOD SAMARITAN (USA),448,53,AXEL ALVAREZ,GUILLERMO PERALTA,PERALTA P GUILLERMO,49.9,2026-01-23
5,2,13:29Hrs.,,2,1,CHECO IS A LEGEND,GSTAAD II,437,59,GERARD RODRIGUEZ,HERNAN ULLOA,C.H.C.,142.8,2026-01-23
5,2,13:29Hrs.,,3,4,BICHOTA,COMMEMORATIVE,432,58,LUIS TORRES,ALEXIS PEREZ,LOS PARDITOS,94.7,2026-01-23
5,2,13:29Hrs.,,4,3,FUEGO Y HIERRO,HINZ,464,58,JORGE ZUÑIGA,OLIVERIO MARTINEZ,VIÑA DEL MAR,93.8,2026-01-23
5,2,13:29Hrs.,,5,8,SPELLBOUND,PATTERNRECOGNITION,417,59,JAIME A. MIÑO,CARLOS GARCIA,KIÑEUKELEIÑ,118,2026-01-23
5,2,13:29Hrs.,,6,5,REY DEL ESTERO,PATTERNRECOGNITION,541,59,BENJAMIN TRONCOSO,HERNAN ULLOA,EL ESTERO L.C.A.,117.9,2026-01-23
5,2,13:29Hrs.,,7,9,MOMENT OF GET,GET JETS,448,58,BERNARDO LEON,MARIO COVARRUBIAS,DOÑA ESTER,1014.4,2026-01-23
5,2,13:29Hrs.,,8,2,L' PURA FE,SUMERIO,450,56,JOSE CUETO,RODRIGO SILVA S.,LA PURA FE,75.9,2026-01-23
5,2,13:29Hrs.,,9,6,MANKIND,GOLDENCENTS,439,54,RODRIGO PAINEN,HECTOR MANRIQUEZ,FACUNDO SANTIAGO,543.3,2026-01-23
5,3,13:58Hrs.,,1,1,ALAIN DELON,DIAMOND TYCOON,480,60,RODOLFO S. DORES,DOMINGO MATTE,MATTE D. DOMINGO,232.4,2026-01-23
5,3,13:58Hrs.,,2,6,KANDOZI,IVAN DENISOVICH,466,55,FELIPE HENRIQUEZ,RAUL MONTESINO,MONTESINO S. RAUL,1611.4,2026-01-23
5,3,13:58Hrs.,,3,9,CRANS MONTANA,BAD DADDY,440,56,JOAQUIN HERRERA,CLAUDIO BERNAL,DOÑA EMMA,176.1,2026-01-23
5,3,13:58Hrs.,,4,5,BY THE CLIFF,OVER THE CLIFF,471,60,AXEL ALVAREZ,CRISTIAN URBINA,BY THE SEA,244,2026-01-23
5,3,13:58Hrs.,,5,8,JALISCO,IVAN DENISOVICH,511,60,PEDRO ROBLES,JOHN PINOCHET,PINOCHET P JOHN,233.7,2026-01-23
5,3,13:58Hrs.,,6,4,MAGUIRE,MO TOWN,532,60,RODRIGO PAINEN,JOSE ARAYA B.,LEGACY,2448.2,2026-01-23
5,3,13:58Hrs.,,7,7,NO PASO AGOSTO,CLOUD COMPUTING,451,53,ANYELO RIVERA,JOSE M. ALVAREZ D.,GUZO,147.7,2026-01-23
5,3,13:58Hrs.,,8,3,CALIFORNIA KING,CALIFORNIA CHROME,490,58,NICOLAS RAMIREZ,JOSE ARAYA B.,CROACIA,2012.7,2026-01-23
5,3,13:58Hrs.,,NT,2,CRISTALINO,MENDELSSOHN (USA),531,56,BENJAMIN SANCHO,ALDO PARRA D.,MARITA,1754.1,2026-01-23
5,4,14:30Hrs.,,1,9,ANTUMBRA,DISTORTED ECONOMY,418,56,RODRIGO PAINEN,RAUL MONTESINO,MONTESINO S. RAUL,27,2026-01-23
5,4,14:30Hrs.,,2,8,POWER MARINE,DISTORTED ECONOMY,443,57,RODOLFO FUENZALIDA,CLAUDIO NAVARRO A.,MISTER LIMBO,336.7,2026-01-23
5,4,14:30Hrs.,,3,1,CONOCIENDOTE,TOURIST,447,56,GERARD RODRIGUEZ,WALESKA PEÑA,SWITT V. EUGENIO,23.1,2026-01-23
5,4,14:30Hrs.,,4,11,AKISI,DANCE BRIGHTLY,481,56,JESUS REYES,ANGEL JAQUE S.,FRITZI,27,2026-01-23
5,4,14:30Hrs.,,5,13,HAMM GOOD,GOOD SAMARITAN (USA),475,57,CARLOS ORTEGA,SERGIO MORALES,TETITO IGNACIO,34,2026-01-23
5,4,14:30Hrs.,,6,2,DOMINGO ISLEÑO,DOMINGO SIETE,476,57,JOSE VILLABLANCA,GABRIEL MELEJ,GLORIA ADRIANA,315.8,2026-01-23
5,4,14:30Hrs.,,7,4,MUY TEMPERADA,DISTORTED ECONOMY,425,57,JOHAN GONZALEZ,FELIPE GONZALEZ S.,PANADERO,37.7,2026-01-23
5,4,14:30Hrs.,,8,14,RUCIA DEL DOC,EXAGGERATOR,413,57,JESUS TORO,ALVARO FERNANDEZ,FERNANDEZ L ALVARO,326,2026-01-23
5,4,14:30Hrs.,,9,7,RAYO VELOZ,MORNING RAIDER,477,57,BENJAMIN AYALA,LUIS MACHULAS G.,CAYO,37.6,2026-01-23
5,4,14:30Hrs.,,10,6,FELIPHON,SHANGHAI BOBBY,476,56,ARIEL VARAS,ALVARO FERNANDEZ,BARCELONA,212,2026-01-23
5,4,14:30Hrs.,,11,12,LITTLE GASPI,WAR COMMAND,512,57,BENJAMIN SANCHO,RAUL MONTESINO,ROXANITA,325.8,2026-01-23
5,4,14:30Hrs.,,12,3,SAHOURIYE,LOOKIN AT LUCKY,399,57,BASTIAN SOTO,JOSE ARAYA B.,MANUELITO,3119.4,2026-01-23
5,4,14:30Hrs.,,13,10,SOBRAO DE CARIÑO,VAN NISTELROOY,494,57,NICOLAS SANTIBAÑEZ,ANDRES BERNAL,BERNAL G. ANDRES,3184.2,2026-01-23
5,4,14:30Hrs.,,14,5,PATTY NENA,NEWFOUNDLAND,-,57,NICOLAS MOLINA,THEODORE CACHELY,BARABARABA,317,2026-01-23
5,5,15:01Hrs.,,1,2,JULIO PARDO,DYLAN THOMAS,481,57,MIGUEL GUTIERREZ,CRISTOBAL GONZALEZ M.,CHARITO,-3,2026-01-23
5,5,15:01Hrs.,,2,9,MURCOTT,LOOKIN AT LUCKY,522,57,JORGE A. GONZALEZ,ANDRES BERNAL,BARBASTRO,-3.8,2026-01-23
5,5,15:01Hrs.,,3,5,GUNDOGAN,ANNUAL REPORT,482,57,JAIME MEDINA,ALDO PARRA D.,CARILLON,-2.7,2026-01-23
5,5,15:01Hrs.,,4,1,ERKAN,FLAMEAWAY (CAN),432,57,JOAQUIN HERRERA,THEODORE CACHELY,SHOT MENZEL,-7.7,2026-01-23
5,5,15:01Hrs.,,5,4,JE SUIS PRET,MENDELSSOHN (USA),438,57,BERNARDO LEON,MARIO COVARRUBIAS,DOÑA ESTER,-8.8,2026-01-23
5,5,15:01Hrs.,,6,3,KILAN,VISCOUNT NELSON,462,57,MOISES A. DONOSO,OSCAR SILVA G.,SAGARDIA HNOS.,88.7,2026-01-23
5,5,15:01Hrs.,,7,10,GOLDEN COPPER,CLASSIC EMPIRE (USA),455,57,PIERO REYES P.,DOMINGO MATTE,CARVATERO,-71.6,2026-01-23
5,5,15:01Hrs.,,8,6,SIEMPRE ESTOY,INTERNATIONAL STAR (USA),485,57,RODOLFO S. DORES,DOMINGO MATTE,COMO LO QUERI,-10.4,2026-01-23
5,5,15:01Hrs.,,9,8,REY DE ASTURIAS,HIRABOKU DEEP (JAP),442,57,JOSE CUETO,MIGUEL MEDINA,EL TORO BAYO,-105.1,2026-01-23
5,5,15:01Hrs.,,10,7,WILWITON,FALLEN FROM HEAVEN,397,57,JOHAN GONZALEZ,FELIPE GONZALEZ S.,CHOTOMORO,-113.8,2026-01-23
5,6,15:26Hrs.,,1,1,FRATELI LA VITA,SEEKING THE DIA,493,60,LUIS TORRES,JOSE ARAYA B.,REY SANTINO DIEZ,312,2026-01-23
5,6,15:26Hrs.,,2,2,KANE,MENDELSSOHN (USA),525,60,OSCAR ULLOA,PATRICIO BAEZA A.,PAOLA,332.6,2026-01-23
5,6,15:26Hrs.,,3,5,TOQUE Y DESPEGUE,CONSTITUTION,448,60,JORGE A. GONZALEZ,JULIO ORELLANA,CHARRUA,562.8,2026-01-23
5,6,15:26Hrs.,,4,4,TENTADERO,MIDSHIPMAN,498,60,KEVIN ESPINA,PATRICIO BAEZA A.,BURLESCO,2817.3,2026-01-23
5,6,15:26Hrs.,,5,3,NORMAN PRICE,ROBERT BRUCE,521,60,JAIME MEDINA,PATRICIO BAEZA A.,BURLESCO,346.9,2026-01-23
5,7,15:58Hrs.,,1,1,VAMOS AL NOA NOA,GSTAAD II,452,61,NICOLAS MOLINA,THEODORE CACHELY,LOS BRUJOS,433.2,2026-01-23
5,7,15:58Hrs.,,2,12,C'EST VRAI,GRAN VILLANO,495,52,LESLY C. GONZALEZ,DOMINGO MATTE,MATTE D. DOMINGO,3115.6,2026-01-23
5,7,15:58Hrs.,,3,4,VIENTO AUSTRAL,EXAGGERATOR,476,61,NICOLAS RAMIREZ,MARIO RABAJILLE D.,PAOLA,444.4,2026-01-23
5,7,15:58Hrs.,,4,11,EL CURANDERO,FLAMEAWAY (CAN),456,56,PEDRO ROBLES,JOHN PINOCHET,HARAS SANTA SARA,358.3,2026-01-23
5,7,15:58Hrs.,,5,8,SALTO DEL GUAPO,GRAND DADDY,476,53,BENJAMIN TRONCOSO,SERGIO MORALES,POR TI NEGRITA,327.2,2026-01-23
5,7,15:58Hrs.,,6,5,CORRER NORTINO,CONSTITUTION,449,55,HUGO OCHOA,DOMINGO MATTE,BENITO CH BORIL,349.8,2026-01-23
5,7,15:58Hrs.,,7,3,EL CARRIL,GRAN VILLANO,484,57,GERARD RODRIGUEZ,JOAO CASTILLO L.,PAULA INES,369.3,2026-01-23
5,7,15:58Hrs.,,8,10,COMPLOT,COMPETITIVE EDGE,485,52,RAFAEL CISTERNAS,CRISTIAN URBINA,MISIURI,3321.8,2026-01-23
5,7,15:58Hrs.,,9,2,COMO DORMISTE,MO TOWN,435,59,RODOLFO FUENZALIDA,RAUL MONTESINO,GUERRERO DE LA VIDA,3937.9,2026-01-23
5,7,15:58Hrs.,,10,6,INDIAN POET,CONSTITUTION,512,52,JAIME MEDINA,RAUL MONTESINO,VICE ARA,319.5,2026-01-23
5,7,15:58Hrs.,,11,9,YOGURDEMORATENIS,MALAGACY,484,61,VICTOR MIRANDA,JUAN C. PICHARA,LOS GRITONES,445.8,2026-01-23
5,7,15:58Hrs.,,12,7,MILTEO,DUBAI SKY,495,52,JOSE CUETO,CRISTIAN URBINA,EMES,3143.2,2026-01-23
5,8,16:30Hrs.,,1,5,JOY VANNY,LOOKIN AT LUCKY,478,55,JAIME MEDINA,PATRICIO BAEZA A.,STUD LA NONNA LTDA.,-2.5,2026-01-23
5,8,16:30Hrs.,,2,9,TIZNADA,TIZ THE LAW (USA),429,55,JOAQUIN HERRERA,JUAN SILVA G.,VENDAVAL,-2.4,2026-01-23
5,8,16:30Hrs.,,3,3,PIENSA EN SILENCIO,KATMAI,454,55,VICTOR MIRANDA,ALEJANDRO PADOVANI E.,OLIMPIC BLUE,-3,2026-01-23
5,8,16:30Hrs.,,4,8,KANDAN,KINGLY (USA),430,55,BASTIAN SOTO,JOSE ARAYA B.,HARAS MOCITO GUAPO,-18,2026-01-23
5,8,16:30Hrs.,,5,7,ZHENG SHI,HIRABOKU DEEP (JAP),442,55,NICOLAS RAMIREZ,MARIO RABAJILLE D.,MATRIARCA,-22,2026-01-23
5,8,16:30Hrs.,,6,1,KEIRA,KINGLY (USA),472,56,GUSTAVO AROS,ALEJANDRO PADOVANI E.,HARAS MOCITO GUAPO,-8.1,2026-01-23
5,8,16:30Hrs.,,7,4,PANNE DI CHANANO,FLAMEAWAY (CAN),402,55,DAVID SANCHEZ,ALDO PARRA D.,PARRA D ALDO,-40.4,2026-01-23
5,8,16:30Hrs.,,8,6,VALIDADA,VALID POINT (USA),438,55,RODOLFO S. DORES,DOMINGO MATTE,HARAS SANTA LORETO,-38.9,2026-01-23
5,8,16:30Hrs.,,9,2,TODAS VUELVEN,GRAND DADDY,437,55,BENJAMIN TRONCOSO,JOSE ARAYA B.,EL MERO MERO,-52.7,2026-01-23
5,9,17:00Hrs.,,1,5,MIA SELENTANA,LOOKIN AT LUCKY,492,56,JORGE A. GONZALEZ,PATRICIO BAEZA A.,STUD EL MIRADOR,105.7,2026-01-23
5,9,17:00Hrs.,,2,6,VELATRI,ROBERT BRUCE,416,55,SEBASTIAN GONZALEZ,OSCAR SILVA S.,ARRIBA LAS PALMAS,124.8,2026-01-23
5,9,17:00Hrs.,,3,4,MI MAMA INES,CLASSIC EMPIRE (USA),446,55,IGNACIO VALDIVIA,GUILLERMO AGUIRRE,BOTAFOGO,164.3,2026-01-23
5,9,17:00Hrs.,,4,7,YA VA,MENDELSSOHN (USA),451,55,JAIME MEDINA,PATRICIO BAEZA A.,STUD DOÑA ELIANA,291.9,2026-01-23
5,9,17:00Hrs.,,5,2,GANDA,IVAN DENISOVICH,463,55,RAFAEL CISTERNAS,JULIO ORELLANA,STUD EL MIRADOR,116.8,2026-01-23
5,9,17:00Hrs.,,6,1,GOOD SEA,GOOD SAMARITAN (USA),414,60,RODOLFO S. DORES,MARIO RABAJILLE D.,JUJUY,2422.2,2026-01-23
5,9,17:00Hrs.,,7,8,SONRISA DULCE,SEEKING THE DIA,469,60,PEDRO ROBLES,JOHN PINOCHET,NONO,2818.7,2026-01-23
5,9,17:00Hrs.,,8,3,VELA AL VIENTO,YA PRIMO,-,55,BERNARDO LEON,JORGE A. INDA DE LA C.,STUD HARAS DON ALBERTO,1416.8,2026-01-23
5,10,17:30Hrs.,,1,2,GLAMROCK,TOTAL IMPACT,477,57,AXEL ALVAREZ,WALESKA PEÑA,EL GRAN JOSE,65,2026-01-23
5,10,17:30Hrs.,,2,5,UNDER THE LIGHT,MENDELSSOHN (USA),425,57,NICOLAS MOLINA,RAUL MONTESINO,TORRES,625,2026-01-23
5,10,17:30Hrs.,,3,12,NEL BLU,CONSTITUTION,423,57,BENJAMIN SANCHO,CLAUDIO BERNAL,MASCOTTA,63.8,2026-01-23
5,10,17:30Hrs.,,4,3,PALMAS SORDITAS (ARG),CATCHER IN THE RYE,442,56,GUSTAVO AROS,RODRIGO MUÑOZ,LAS TRES DAMAS,54,2026-01-23
5,10,17:30Hrs.,,5,10,ROMPECORAZONES,VAN NISTELROOY,458,56,JOHAN GONZALEZ,CLAUDIO NAVARRO A.,DOÑA NANCY,525.4,2026-01-23
