fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,1,ACLIS,EXAGGERATOR,56,JOSE PAREDES,FELIPE GONZALEZ S.
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,2,FIRST CLASSIC,CLASSIC EMPIRE (USA),57,PEDRO ROBLES,JOHN PINOCHET
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,14,TIA GUACOLDA,EL FARRERO,57,JOSE CUETO,RAUL MONTESINO
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,15,MOLINO DE VIENTO,HINZ,57,GERARD RODRIGUEZ,JUAN C. PICHARA
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,11,GRAN SAMIR,SCAT ROYAL,57,BASTIAN SOTO,WALESKA PEÑA
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,8,SULTAN GUERRERO,VAN NISTELROOY,56,FRANCISCO MORALES,RAUL MONTESINO
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,6,SEÑOR TRONCOSO,FORWARD MARCH,56,RODOLFO FUENZALIDA,CLAUDIO BERNAL
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,4,YO SOY YI,GRAND DADDY,57,TOMAS SEITH,HECTOR MANRIQUEZ
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,12,FELIPHON,SHANGHAI BOBBY,57,DANIEL ALVARADO,ALVARO FERNANDEZ
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,9,SCROOGE,LOOKIN AT LUCKY,56,NELSON ROJAS,JOAO CASTILLO L.
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,3,MI JOYA,KATMAI,57,CARLOS ORTEGA,RAUL MONTESINO
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,5,NO TIENE PALABRA,FLYER,57,ROBERTO AVILA,RAUL MONTESINO
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,10,QUIEN ME PILLO,MIDSHIPMAN,57,FRANCO SANCHEZ,SERGIO MORALES
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,7,CASUAL VISION,VISION AND VERSE,57,DARIEN CHEUQUE,DOMINGO MATTE
20-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,VLADY,,,13,TANGO,INTERNATIONAL STAR (USA),56,DIEGO CARRASCO,FRANCISCO PINOCHET
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,11,LA MORITA,THE LUMBER GUY,51,NELSON ROJAS,RODRIGO SANCHEZ
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,2,INARI,FLAMEAWAY (CAN),51,DARIEN CHEUQUE,THEODORE CACHELY
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,10,MI JARDIN,ROBERT BRUCE,52,FABIAN MEDINA,FRANCISCO PINOCHET
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,5,LIORA,DANGEROUS MIDGE,55,DIEGO CARRASCO,THEODORE CACHELY
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,4,MY MITTLE GIRL,FLAMEAWAY (CAN),55,BASTIAN SOTO,OSCAR SILVA G.
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,6,REINA SIGRUN,GET JETS,55,MARCO MORALES,OLIVERIO MARTINEZ
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,3,LADY LUMBERJACK,THE LUMBER GUY,55,HUGO OCHOA,RODRIGO SANCHEZ
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,8,SEÑORA RITA,THE LUMBER GUY,55,RODOLFO FUENZALIDA,MANUEL VELARDE
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,9,PASION ALBA,MENDELSSOHN (USA),55,NICOLAS MOLINA,THEODORE CACHELY
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,7,DAMA DE LA LUZ,IL REY IVAN,55,ALVARO APABLAZA,ANGEL JAQUE S.
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,14,MINX,ALFONSO (USA),55,JOSE VILLABLANCA,MANUEL VELARDE
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,1,PASCUERA,IVAN DENISOVICH,55,RODRIGO PAINEN,OSCAR SILVA G.
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,12,FLY EVA,FLYER,55,CARLOS ORTEGA,JOSE M. ALVAREZ D.
20-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:29,VALREAL,,,13,TE RECUERDO MADRE,THE LUMBER GUY,55,RICARDO SOLORZA,FELIPE GONZALEZ S.
