fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,12,LA VILLA ALEGRE,RODOLFO S. DORES,DOMINGO MATTE,1º,,2.2,468Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,14,VIVIMOS SOÑANDO,NICOLAS RAMIREZ,JUAN C. PICHARA,2º,,6.9,473Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,15,TICKET GOOD,RICARDO SOLORZA,JOSE ARAYA B.,3º,,81.7,452Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,4,EL BOHEMIO,BENJAMIN TRONCOSO,ALEJANDRO PADOVANI E.,4º,,34.1,462Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,7,LUCE PERICOLOSO,JOSE VILLABLANCA,JOSE ARAYA B.,5º,,124,456Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,2,MARULINA,GERARD RODRIGUEZ,GENARO COVARRUBIAS,6º,,18.3,429Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,5,VAN DER SAR,MARCO MORALES,GABRIEL MELEJ,7º,,135.3,462Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,8,LADY FRANKY,VICTOR MIRANDA,JUAN C. PICHARA,8º,,132.3,461Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,13,PITTIRANGA,RAFAEL CISTERNAS,GABRIEL MELEJ,9º,,28,478Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,10,TANGO Y COMPAS,VICTOR BRACETTI,HECTOR MANRIQUEZ,10º,,12.9,474Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,3,QUIMBARA,FABIAN MEDINA,FRANCISCO PINOCHET,11º,,245.3,483Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,6,POMBITO,RODRIGO PAINEN,JUAN C. PICHARA,12º,,312.2,456Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,9,GEROMILO,DANIEL ALVARADO,CLAUDIO BERNAL,13º,,137.5,400Kg
23/02/2026,Club Hípico de Santiago,1,13:30,1000,Pasto,1,MOSASAURUS,PIERO REYES,FRANCISCO PINOCHET,14º,,121.6,407Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,5,TRANQUILA NIÑA,DARIEN CHEUQUE,ROBERTO TOLEDO M.,1º,,8.7,434Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,6,CHE AWAY,HUGO OCHOA,MANUEL VELARDE,2º,,1.9,441Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,4,AMALFI SONG,FABIAN MEDINA,JULIO ORELLANA,3º,,4.4,443Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,1,SIRENA SOLITARIA,BENJAMIN SANCHO,CLAUDIO BERNAL,4º,,63.5,463Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,8,DULCITA,MARCO MORALES,ALEXIS PEREZ,5º,,19.1,446Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,3,KATIE MELUA,NICOLAS RAMIREZ,JOAO CASTILLO L.,6º,,40.6,479Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,9,MI JARDIN,NELSON ROJAS,FRANCISCO PINOCHET,7º,,8.1,408Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,2,NORITA ROMATICA,RAFAEL CISTERNAS,CRISTIAN URBINA,8º,,14.9,416Kg
23/02/2026,Club Hípico de Santiago,2,13:59,1000,Pasto,7,MI PORTEÑA,GERARD RODRIGUEZ,ALEXIS PEREZ,9º,,25.6,427Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,3,PALACETE,GERARD RODRIGUEZ,ALDO PARRA D.,1º,,263.3,470Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,4,DARKJACK (USA),LUIS TORRES,PATRICIO BAEZA A.,2º,,21.7,486Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,7,ARAKI,JESUS TORO,ALEJANDRO PADOVANI E.,3º,,15.4,494Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,2,COKE SPIRIT,NELSON ROJAS,PATRICIO LOPEZ,4º,,27.5,474Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,9,ONIX BLUE,RODOLFO FUENZALIDA,SERGIO MORALES,5º,,6.3,436Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,6,PIANTAO,RODOLFO S. DORES,ANDRES BERNAL,6º,,107,466Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,8,SEE ME,JOAQUIN HERRERA,HERNAN ULLOA,7º,,8.8,511Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,5,STRAY KIDS,LESLY C. GONZALEZ,ALDO PARRA D.,8º,,24.4,470Kg
23/02/2026,Club Hípico de Santiago,3,14:28,1000,Pasto,1,PLUMA DE MAR,JAIME A. MIÑO,CARLOS GARCIA,9º,,18.4,412Kg
23/02/2026,Club Hípico de Santiago,4,14:52,1000,Pasto,2,ALCIDES,ANYELO RIVERA,JULIO ORELLANA,1º,,4.5,437Kg
23/02/2026,Club Hípico de Santiago,4,14:52,1000,Pasto,5,SETANTA,JAIME MEDINA,PATRICIO BAEZA A.,2º,,5.1,494Kg
23/02/2026,Club Hípico de Santiago,4,14:52,1000,Pasto,1,LA DICHA,IGNACIO VALDIVIA,GUILLERMO AGUIRRE,3º,,44,473Kg
23/02/2026,Club Hípico de Santiago,4,14:52,1000,Pasto,6,FLYNG HEARTS,JOAQUIN HERRERA,CARLOS RABY,4º,,1.4,515Kg
23/02/2026,Club Hípico de Santiago,4,14:52,1000,Pasto,3,MITOU,NICOLAS RAMIREZ,MARIO RABAJILLE D.,5º,,11.8,483Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,10,EL GLORIOSO,RODOLFO FUENZALIDA,SERGIO MORALES,1º,,3.9,463Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,9,MAJOR TOM,IGNACIO VALDIVIA,MARIO RABAJILLE D.,2º,,7.8,455Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,1,NEGRETINO,BASTIAN SOTO,JOSE ARAYA B.,3º,,31.8,455Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,6,CHITORO,NICOLAS SANTIBAÑEZ,PATRICIO VALDERRAMA C.,4º,,10.2,464Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,3,LIGHT AND DARK,BENJAMIN TRONCOSO,ALDO PARRA D.,5º,,38.6,444Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,8,FERBLACK,JORGE ZUÑIGA,OLIVERIO MARTINEZ,6º,,4.7,435Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,7,MERCANDINO,HUGO OCHOA,RODRIGO SANCHEZ,7º,,15.2,422Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,4,ALEGREMENTE,DARIEN CHEUQUE,HECTOR MANRIQUEZ,8º,,72.2,426Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,13,GERET,JAIME MEDINA,PATRICIO BAEZA A.,9º,,3.4,457Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,11,SECRETO DE AMOR,VICTOR MIRANDA,JOSE ARAYA B.,10º,,91.8,442Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,5,TATA ROCA,MARCO MORALES,OLIVERIO MARTINEZ,11º,,27.9,422Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,12,MEJOR QUE YO,GERARD RODRIGUEZ,ALDO PARRA D.,12º,,8.7,484Kg
23/02/2026,Club Hípico de Santiago,5,15:22,1000,Pasto,2,MORANTE,ALEJANDRO I. MAUREIRA,PATRICIO BAEZA A.,13º,,6.7,480Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,8,RED AND RED,JOAQUIN HERRERA,OSCAR DONATE,1º,,12.3,455Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,10,PEGASUS FANTASIS,PIERO REYES,FRANCISCO PINOCHET,2º,,6.2,466Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,2,IMANOL,BENJAMIN TRONCOSO,JOSE ARAYA B.,3º,,11.5,450Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,5,KORPER,ROBERTO AVILA,RAUL MONTESINO,4º,,10.5,489Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,6,FLIGHT OF ICARUS,ALEJANDRO I. MAUREIRA,SERGIO MORALES,5º,,11.4,472Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,3,MR CASPER,RODOLFO FUENZALIDA,CRISTOBAL GONZALEZ M.,6º,,14.8,442Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,7,SOUK,NICOLAS MOLINA,THEODORE CACHELY,7º,,10,495Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,9,ODESSA,IGNACIO VALDIVIA,GUILLERMO AGUIRRE,8º,,1.4,456Kg
23/02/2026,Club Hípico de Santiago,6,15:49,1000,Pasto,4,DOCTORA MILAGRO,TOMAS SEITH,DOMINGO MATTE,9º,,14.1,482Kg
23/02/2026,Club Hípico de Santiago,7,16:15,1000,Pasto,6,ENTRE NEGROS,JAIME MEDINA,PATRICIO BAEZA A.,1º,,1.8,462Kg
23/02/2026,Club Hípico de Santiago,7,16:15,1000,Pasto,5,LA MARRE,JORGE ZUÑIGA,JOSE ARAYA B.,2º,,3.3,462Kg
23/02/2026,Club Hípico de Santiago,7,16:15,1000,Pasto,7,CORAL REEF,HUGO OCHOA,ALDO PARRA D.,3º,,9.5,497Kg
23/02/2026,Club Hípico de Santiago,7,16:15,1000,Pasto,3,MR YO,BENJAMIN TRONCOSO,CRISTOBAL GONZALEZ M.,4º,,10,466Kg
23/02/2026,Club Hípico de Santiago,7,16:15,1000,Pasto,9,BEST PLAYER,BENJAMIN SANCHO,RODRIGO SILVA S.,5º,,8.3,500Kg
