Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
6,1,15:00,1100,1,1,Ferrata,Ya Primo,390,53,G. Pereda,Eduardo González S.,Guillermón,5.00
6,1,15:00,1100,2,10,Fabi,Dangerous Midge,467,54,A. Soto,Luis G. Soto E.,Anyelo Soto G.,2.50
6,1,15:00,1100,3,2,La Pecora,Flyer,430,52,A. Pereda,Eduardo González S.,Guillermón,2.30
6,1,15:00,1100,4,5,Perfect Look,Kingly,415,55,C.A. Rojas,Raul Vasquez O.,As,8.70
6,1,15:00,1100,5,4,La Schiffer,El Manu,423,52,V. Mardones,Alex Cea S.,Don Hipólito,66.30
6,1,15:00,1100,6,9,Monjita Dulce,Robert Bruce,416,52,C. Cordero,Carlos Córdova A.,Quarter Dollar,10.90
6,1,15:00,1100,7,8,Mi Toñita,El Manu,434,54,C. Pavez,Alex Cea S.,Don Hipólito,72.80
6,1,15:00,1100,8,3,India Presumida,Imperia II,417,55,I. Carcamo,Alex Cea S.,Moroco,8.20
6,1,15:00,1100,9,6,Irlandesa Dorada,Cassini,365,55,J. Olate,Francisco Saavedra C.,Hector Calila,43.90
6,1,15:00,1100,10,11,Princesa Laura,Get Jets,434,53,M. Urzúa,Ercira Alarcón J.,Don Chemita,39.50
6,2,15:30,1100,1,7,Miss Chilenera,Detergente,481,54,A. Soto,Luis G. Soto E.,Los Maulinos,2.10
6,2,15:30,1100,2,5,Madame Pia,Boboman,414,52,C. Cordero,Julio Espinosa N.,Jarita,22.90
6,2,15:30,1100,3,3,El Perro Negro,Exaggerator,490,53,G. Pereda,Hector Arteaga Ch.,Lukitas Mateo,2.10
6,2,15:30,1100,4,4,Rey Del Pueblo,Mayakovsky,500,54,J.A. Inostroza,Carlos Córdova A.,Danpoch,45.60
6,2,15:30,1100,5,1,Corazon Puro,Dylan Thomas,409,57,J. Vera,Victor Gallardo E.,Tilin Corto La Cuerda,45.00
6,2,15:30,1100,6,8,Doña Haydee,Mayakovsky,NSP,52,V. Mardones,Carlos Córdova A.,Danpoch,21.50
6,2,15:30,1100,7,2,Pretor Peregrinus,State Of Play,514,57,J. Olate,Carlos Córdova A.,Danpoch,3.20
6,2,15:30,1100,8,6,Fuera De mi,Exaggerator,470,56,J.P. Torres,Eduardo González S.,Como Lo Queri,20.60
6,3,16:00,1100,1,6,Giocatore,Competitive Edge,538,55,G. Pereda,Hector Arteaga Ch.,Don Peyuco,1.80
6,3,16:00,1100,2,5,El Mentalista,Tourist,487,53,J.A. Miño,Francisco Acevedo R.,Victor Barril A.,3.70
6,3,16:00,1100,3,1,Coronado,Practical Joke,477,61,A. Pereda,Carlos Norambuena B.,One Horse Power,2.90
6,3,16:00,1100,4,2,Carlucci,Seeking The Dia,488,54,J. Olate,Hector Arteaga Ch.,Lubrishell,9.00
6,3,16:00,1100,5,4,Suena El Dembow,Gstaad II,410,54,C. Pavez,Joan Amaya H.,Sueños de Familia,17.80
6,3,16:00,1100,6,3,Jouma,Midshipman,562,59,J. Barril,Evaristo Alarcon J.,La Huella,10.40
6,4,16:30,1300,1,4,Copayapu,Awesome Patriot,480,58,G. Pereda,Armando Navarrete B.,Los de Hualpen,7.60
6,4,16:30,1300,2,1,Snooker,Constitution,530,62,I. Carcamo,Alex Cea S.,Moroco,1.80
6,4,16:30,1300,3,9,Stroke Of Luck,Lookin At Lucky,528,55,A. Pereda,Raul Vasquez O.,Hirmita,9.30
6,4,16:30,1300,4,7,Kosanta,Exaggerator,457,54,V. Mardones,Francisco Acevedo R.,Matoto Tomitomi,19.90
6,4,16:30,1300,5,2,Golden Giant,Timojin,528,59,J.P. Torres,Gerardo Melo M.,Vitacare,10.00
6,4,16:30,1300,6,8,Doble Negro,Lookin At Lucky,532,56,J. Vera,Ercira Alarcón J.,Celestial,6.90
6,4,16:30,1300,7,3,Niña Samaritana,Good Samaritan,455,60,J. Olate,Hector Arteaga Ch.,Seba Y Franci,11.60
