fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,4,El Tatuado,L. Rojas,Julio Espinosa N.,1,1.04.18,5.80,479
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,11,Sonriele,J.P. Torres,Raul Vasquez O.,2,,7.70,438
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,5,Golden Warrior,J. Olate,Hector Arteaga Ch.,3,,18.20,458
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,8,Ultrasonido,A. Pereda,Francisco Acevedo R.,4,,16.30,441
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,7,Victory David,G. Vera,Francisco Acevedo R.,5,,4.20,508
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,9,Checoman,J.A. Campos,Raul Vasquez O.,6,,47.50,510
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,10,Gitana Guapa,J. Barril,Evaristo Alarcon J.,7,,2.20,485
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,3,Tromboncito,A. Soto,Luis G. Soto E.,8,,10.20,472
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,2,Gran Amor Eterno,C. Pavez,Raul Vasquez O.,9,,23.20,480
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,6,By The Book,G. Pereda,Hector Arteaga Ch.,10,,12.60,520
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,12,El Gran Tornado,B. Cordero,Francisco Acevedo R.,11,,31.40,441
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,1,Perla Invasora,I. Carcamo,Alex Cea S.,12,,44.60,419
12-02-2026,Club Hípico de Concepción,1,14:37,1100,Arena,13,Pequeña Chenoa,V. Mardones,Carlos Córdova A.,13,,20.50,400
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,11,Alashdi,L. Rojas,Carlos Córdova A.,1,1.04.98,10.20,461
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,4,Hey Nina,J.A. Inostroza,Reinaldo Bello B.,2,,23.00,410
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,5,Fray Leon,B. Cordero,Ercira Alarcón J.,3,,3.80,449
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,6,Como Yo Ninguno,C. Pavez,Armando Navarrete B.,4,,5.40,428
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,3,Triuquiño,J. Olate,Francisco Acevedo R.,5,,23.60,442
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,10,The Real Fafa,C. Cordero,Joan Amaya H.,6,,15.10,538
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,9,Un Gran Penquista,G. Vera,Eduardo González S.,7,,3.00,458
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,1,Guerrero Mazai,J.A. Campos,Francisco Acevedo R.,8,,17.90,446
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,8,Andiamo Bambino,I. Carcamo,Carlos Córdova A.,9,,61.50,535
12-02-2026,Club Hípico de Concepción,2,15:11,1100,Arena,2,Gran Kevin,C.A. Rojas,Alex Cea S.,10,,3.00,450
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,9,She Is So Nice,J.A. Inostroza,Carlos Córdova A.,1,52.43,6.90,408
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,7,Como Te Extraño,J.P. Torres,Nelson Norambuena B.,2,,9.10,467
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,5,Dominga Misterio,G. Vera,Julio Espinosa N.,3,,2.50,406
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,10,Labellagastaygasta,B. Cordero,Ercira Alarcón J.,4,,2.80,442
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,8,Bel Cuore,C.A. Rojas,Carlos Córdova A.,5,,53.10,473
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,6,Corre Calato,G. Pereda,Hector Arteaga Ch.,6,,14.20,422
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,2,El Impoluto,C. Cordero,Alex Cea S.,7,,7.80,495
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,4,La Shemi,V. Mardones,Victor Gallardo E.,8,,9.70,418
12-02-2026,Club Hípico de Concepción,3,15:43,900,Arena,3,Prefiero Callar,L. Rojas,Hector Arteaga Ch.,9,,8.50,476
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,1,Sensei De Franklin,G. Vera,Francisco Saavedra C.,1,57.82,3.00,452
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,4,Small Shy,C. Cordero,Carlos Córdova A.,2,,50.10,497
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,7,Cappo Di Conce,V. Mardones,Eduardo González S.,3,,15.80,440
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,5,Olimpic Blue,J.P. Torres,Evaristo Alarcon J.,4,,12.20,443
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,6,Gran Taita,A. Pereda,Francisco Acevedo R.,5,,2.70,510
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,9,Teatro Griego,C. Pavez,Armando Navarrete B.,6,,1.90,400
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,8,Arantes,B. Cordero,Ercira Alarcón J.,7,,41.30,464
12-02-2026,Club Hípico de Concepción,4,16:15,1000,Arena,2,Rapid,A. Soto,Luis G. Soto E.,8,,31.20,486
