fecha,hipodromo,carrera,hora,premio,bolsa,distancia,tipo,pista,posicion,numero,ejemplar,padrillo,edad,peso_caballo,dist_ganador,peso_jinete,jinete,tiempo_final,dividendo,preparador,stud
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,1°,7,Menito,International Star,4,423,,56,J. Toro.,,4.00,Jaime Hirmas R.,Cuatro Corazones
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,2°,13,Meme,Good Samaritan,4,408,1¼,55,J. Herrera.,,6.70,Rafael Bernal G.,Sema
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,3°,4,Demoov,Newfoundland,9,487,3¼,54,M. Gutiérrez.,,16.40,Julio Castillo D.,Bruno Alonso
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,4°,2,Vine Vide Vinci,Tumblebrutus,11,461,5½,56,D. Carvacho.,,8.00,Rodrigo Quiroz S.,Lusugo
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,5°,9,Bay Good Chiqui,Good Samaritan,4,402,5¾,54,R. Fuenzalida.,,20.60,Claudio Bernal G.,Malcib
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,6°,3,Mangino,No Nay Never,9,467,5¾,56,J. Vera.,,22.60,Alberto Aviles L.,Hermanos y Amigos
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,7°,8,Un Dia Contigo,Seeking The Dia,4,436,6½,55,C. Weilby.,,14.00,Lauro Pérez A.,Lauro Perez A.
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,8°,14,Francoli,Seeking The Dia,5,432,8¼,55,D. Cheuque.,,9.90,Rodrigo Quiroz S.,Lucaraste
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,9°,6,Salma Alegre,Gstaad II,6,406,9¾,56,W. Quinteros.,,14.60,Eugenio Switt V.,Gallo
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,10°,12,Spirit Fire,Caesarion,10,463,10½,56,M. Fuentes.,,15.90,Genaro J. Covarrubias E.,La Corina
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,11°,1,Lumber Boy,The Lumber Guy,4,431,11,56,J. Medina.,,3.60,Lauro Pérez A.,Santa Malva
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,12°,11,Grey Sun,Voodoo Swinge,8,501,11½,55,J. Pimentel.,,18.70,Eugenio Switt V.,L R
2025-11-22,Hipódromo Chile,1,12:30,Melodico,3069000,1200m,Handicap (Hd) 3 al 1 | Caballos 3 años y más (3a+) (Serie 6),Arena,13°,5,El Gran Tornado,Newfoundland,8,449,11¾,54,R. Avila.,,18.30,Mario A. Apablaza G.,Albino
