Reunion,Fecha,Carrera,Hora,Distancia,Tipo,Numero,Caballo,Padre,Stud,Peso,Jinete,Preparador
86,2025-12-13,1,12:30,1200m,Handicap,1,Entrate Nunca,Forever Thing,Los Psiquicos,55,Axel Alvarez,Héctor Castillo S.
86,2025-12-13,1,12:30,1200m,Handicap,2,Hagale Hagale,Patternrecognition,Raices De Codegua,55,Patricio Galáz,Mario A. Apablaza G.
86,2025-12-13,1,12:30,1200m,Handicap,3,Lord Commander,Mastercraftsman,Mami Chela,55,Sebastián González,Eduardo Lab R.
86,2025-12-13,1,12:30,1200m,Handicap,4,John Wayne,Aragorn II,Papi Rey,56,Lesly C. González,Genaro J. Covarrubias E.
86,2025-12-13,1,12:30,1200m,Handicap,5,Avíspate Comadre,Van Nistelrooy,Florencia Paz,55,Georgee Givovich,Rafael Bernal G.
86,2025-12-13,1,12:30,1200m,Handicap,6,La Tostadora,Cupid,Grande Tio Kiko,56,Diego Carvacho,Hernán Pacheco P.
86,2025-12-13,1,12:30,1200m,Handicap,7,Se Va El Caiman,Patternrecognition,Gran Gallito,55,Rodolfo Fuenzalida,Héctor Manríquez F.
86,2025-12-13,1,12:30,1200m,Handicap,8,Sisi Star,Mendelssohn,Los Cabezas Alvarez,56,Roberto Avila,Raúl Montesino S.
86,2025-12-13,1,12:30,1200m,Handicap,9,Cuando Llego Gano,El Distinto,Dos E,55,Andrés Covarrubias,Hernán Pacheco P.
86,2025-12-13,1,12:30,1200m,Handicap,10,Red Knight,Ivan Denisovich,Mario Y Elodia,56,Victor Miranda,Claudio Bernal G.
86,2025-12-13,1,12:30,1200m,Handicap,11,Chiqui Veloz,Gstaad II,Juana Castro De T.,55,Jonathan Castillo,Luis Toledo C.
86,2025-12-13,1,12:30,1200m,Handicap,12,Kiastrelo,Ivan Denisovich,Doña Ester,55,Bernardo León,Mario Covarrubias
86,2025-12-13,1,12:30,1200m,Handicap,13,Demoov,Newfoundland,Bruno Alonso,55,Patricio Zúñiga,Julio Castillo D.
86,2025-12-13,1,12:30,1200m,Handicap,14,Betone,Van Nistelrooy,Don Ismael,55,Cathrine Weilby,Patricio Valderrama C.
86,2025-12-13,2,12:55,1300m,Condicional,1,Sibila Red,Get Jets,Redbros,55,José Rodríguez,Oscar Donate S.
86,2025-12-13,2,12:55,1300m,Condicional,2,Smile Queen,Katmai,Doña Elena,55,Ignacio Valdivia,Cristián Urbina R.
86,2025-12-13,2,12:55,1300m,Condicional,3,Tu Mi Cunca,Cunco,Pedro Diaz S.,55,Daniel Medina,Pedro Diaz S.
86,2025-12-13,2,12:55,1300m,Condicional,4,Amor De Mama,Boboman,Joaquin Andres,55,Gerard Rodríguez,Eduardo Lab R.
86,2025-12-13,2,12:55,1300m,Condicional,5,Mas Amor,Ya Primo,Forza Al Canut,55,Geovanni Acevedo,Juan Ubilla P.
86,2025-12-13,2,12:55,1300m,Condicional,6,Como La Luna,Patternrecognition,Abuela Oca,55,Mauricio Galáz,Daniel Contreras A.
86,2025-12-13,2,12:55,1300m,Condicional,7,Valkiria,Classic Empire,Luigi,55,Nicolás Santibañez,Luis Urbina H.
86,2025-12-13,2,12:55,1300m,Condicional,8,Mariadynis,Grand Daddy,Rebels,55,Nicolás Ramirez,José Araya B.
