Carrera,Hora,Premio,Distancia,Bolsa_Total,Puesto,Numero,Ejemplar,Padrillo,Edad,Peso,Distancia_Ganador,Jinete,Preparador,Stud,Dividendo,Tiempo,Favorito
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,1,2,Hagale Hagale,Patternrecognition,4,427k,,P. Galáz.,Mario A. Apablaza G.,Raices De Codegua,5.20,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,2,11,Chiqui Veloz,Gstaad II,6,406k,3,J. Castillo.,Luis Toledo C.,Juana Castro De T.,29.40,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,3,3,Lord Commander,Mastercraftsman,9,450k,4¼,S. González.,Eduardo Lab R.,Mami Chela,6.60,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,4,6,La Tostadora,Cupid,5,485k,6¼,D. Carvacho.,Hernán Pacheco P.,Grande Tio Kiko,17.10,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,5,12,Kiastrelo,Ivan Denisovich,4,457k,7,B. León.,Mario Covarrubias,Doña Ester,10.30,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,6,8,Sisi Star,Mendelssohn,4,422k,7½,R. Avila.,Raúl Montesino S.,Los Cabezas Alvarez,7.30,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,7,13,Demoov,Newfoundland,9,488k,9,P. Zúñiga.,Julio Castillo D.,Bruno Alonso,18.50,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,8,1,Entrate Nunca,Forever Thing,8,472k,9,A. Alvarez.,Héctor Castillo S.,Los Psiquicos,16.20,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,9,9,Cuando Llego Gano,El Distinto,5,420k,9,A. Covarrubias.,Hernán Pacheco P.,Dos E,12.00,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,10,10,Red Knight,Ivan Denisovich,6,485k,13¼,V. Miranda.,Claudio Bernal G.,Mario Y Elodia,3.50,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,11,14,Betone,Van Nistelrooy,4,424k,13¼,C. Weilby.,Patricio Valderrama C.,Don Ismael,109.00,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,12,5,Avíspate Comadre,Van Nistelrooy,4,433k,14¾,M. Morales.,Rafael Bernal G.,Florencia Paz,18.70,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,13,4,John Wayne,Aragorn II,12,474k,15,L. González.,Genaro J. Covarrubias E.,Papi Rey,6.50,1.11.64,Red Knight
1,12:30,Guillermo Gonzalez Orellana,1200m,3069000,U,7,Se Va El Caiman,Patternrecognition,5,465k,17,R. Fuenzalida.,Héctor Manríquez F.,Gran Gallito,15.20,1.11.64,Red Knight
2,12:55,Juan Araya Gonzalez,1300m,4340000,1,11,Pretty Distorted,Distorted Economy,3,428k,,J. Herrera.,Rodrigo Sánchez Q.,Haras Lizzie,1.60,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,2,9,Private Party,Ivan Denisovich,3,485k,5½,B. León.,Juan Pablo Baeza J.,Doña Eliana,5.10,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,3,2,Smile Queen,Katmai,3,523k,5¾,A. Alvarez.,Cristián Urbina R.,Doña Elena,5.70,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,4,1,Sibila Red,Get Jets,3,444k,7,J. Rodríguez.,Oscar Donate S.,Redbros,38.10,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,5,5,Mas Amor,Ya Primo,3,420k,9¼,G. Acevedo.,Juan Ubilla P.,Forza Al Canut,60.60,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,6,3,Tu Mi Cunca,Cunco,3,442k,9¼,D. D. Medina.,Pedro Diaz S.,Pedro Diaz S.,25.10,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,7,7,Valkiria,Classic Empire,3,428k,11¼,N. Santibañez.,Luis Urbina H.,Luigi,7.70,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,8,8,Mariadynis,Grand Daddy,3,460k,11¼,N. Molina.,J. Araya B.,Rebels,6.60,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,9,4,Amor De Mama,Boboman,3,428k,22,G. Rodríguez.,Eduardo Lab R.,Joaquin Andres,24.40,1.17.55,Pretty Distorted
2,12:55,Juan Araya Gonzalez,1300m,4340000,10,6,Como La Luna,Patternrecognition,3,498k,23¼,M. Galáz.,Daniel Contreras A.,Abuela Oca,18.70,1.17.55,Pretty Distorted
3,13:20,Mario Orellana Aguilera,1000m,3500000,1,1,Nueva Vida,Zawraq,3,435k,,V. Miranda.,Alejandro Padovani E.,Luis Salinas O'neill,2.00,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,2,3,Power Girl,Mendelssohn,3,444k,1,R. Fournet.,Mario Covarrubias,Quarter Dollar,6.70,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,3,5,La Salchi,Shampoo Silver,3,463k,1¾,M. Morales.,Hernán Pacheco P.,Oxiper,15.80,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,4,8,Katie Melua,Flameaway,3,483k,5½,N. Ramirez.,Oscar Donate S.,Guillermo Cordova T.,9.20,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,5,4,Diosa Chocolate,Palm Springs,3,443k,7¼,B. Troncoso.,Jaime Espineira C.,Jaime Espiñeira C.,4.80,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,6,7,Serket,Bilzerian,3,451k,7¾,F. Medina.,Mario A. Apablaza G.,Raices De Codegua,9.20,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,7,6,Exclude,Forge,3,428k,10,R. Fuenzalida.,Joao Castillo L.,Catalina Paz,49.00,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,8,2,Poenni,Ivan Denisovich,3,431k,13¼,G. Rodríguez.,Rodrigo Muñoz M.,Cabritis,9.10,58.05,Nueva Vida
3,13:20,Mario Orellana Aguilera,1000m,3500000,U,9,Lady Lumberjack,The Lumber Guy,3,400k,Ntr,J. Herrera.,Rodrigo Sánchez Q.,Haras Lizzie,5.20,58.05,Nueva Vida
4,13:46,Luis Becar Barraza,1200m,2650500,1,2,Francoli,Seeking The Dia,5,434k,,J. Vera.,Rodrigo Quiroz S.,Lucaraste,8.00,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,2,8,Me Lo Llevo,Grand Daddy,7,515k,,A. Covarrubias.,Julio Castillo D.,Corral Hipico,4.50,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,3,9,City Blue,Seeking The Dia,6,424k,cb,F. Medina.,José Venegas P.,Jose Venegas P.,6.20,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,4,5,Silverchair,Papelon,4,402k,½ cp,A. Vásquez.,Oscar Donate S.,Redbros,3.10,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,5,1,El Duke,Lookin At Lucky,7,458k,1¾,G. Rodríguez.,Daniel Contreras A.,El Duke,7.60,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,6,3,Josie Girl,El Facha,6,415k,3½,N. Santibañez.,Alejandro Padovani E.,Maria Dolores,8.80,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,7,4,Bay Good Chiqui,Good Samaritan,4,399k,5¼,R. Fuenzalida.,Claudio Bernal G.,Malcib,10.80,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,8,6,Hacer Por Hacer,Fantasmagorico,6,404k,6¾,R. Araya.,Eduardo Lab R.,Mami Chela,22.90,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,9,10,Lumber Boy,The Lumber Guy,4,428k,9½,S. Muñoz.,Lauro Pérez A.,Santa Malva,12.00,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,10,12,India Adorada,Exaggerator,5,459k,10¾,L.D. Menghini.,Eugenio Switt V.,Florence,29.00,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,11,7,Pequeño Crilin,Indy Dancer,4,387k,15½,W. León.,Raúl Montesino S.,Bruno Alonso,15.80,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,12,13,Divina Tormenta,Imperia II,4,455k,24¼,C. C. Bustos.,Walter Biava R.,Hansrieli,98.00,1.12.38,Silverchair
4,13:46,Luis Becar Barraza,1200m,2650500,U,11,Canovanas,Total Impact,10,458k,25¼,J. Solano.,José Venegas P.,Jose Venegas P.,32.70,1.12.38,Silverchair
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,1,3,Vendetta Real,Zawraq,3,411k,,B. Troncoso.,Rodrigo López B.,Baemar,3.50,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,2,7,Wittenburg,Dubai Sky,3,441k,2½,R. Fournet.,Aldo Castagneto U.,Las Araucarias,4.90,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,3,1,Shyuanna,Boboman,3,440k,3¾,F. Medina.,Juan C. Pichara J.,Agric.Santa Laura,5.40,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,4,2,Sinag,Good Samaritan,3,427k,3¾,N. Molina.,Rodrigo Quiroz S.,Malcib,12.20,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,5,9,Ragazza Viziata,Palm Springs,3,427k,5¼,W. León.,Cristián Urbina R.,Auguri,19.50,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,6,5,Mixed Emotions,Grand Daddy,3,494k,6¼,A. Apablaza.,Cristian Quiroz E.,De Quiva's,83.00,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,7,8,Mi Porteña,Good Samaritan,3,421k,6¾,J. Castillo.,Rodrigo Sánchez Q.,Rodrigo Sanchez Q.,7.10,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,8,4,Antonia Francisca,Dubai Sky,3,396k,7¾,D. Carvacho.,Rodrigo Quiroz S.,Arturo Y Cecilia,18.60,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,9,10,La Cia,International Star,3,393k,8,N. Ramirez.,Oscar Donate S.,Mario Andrés,3.00,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,10,6,La Calotica,Zawraq,3,488k,9,M. Galáz.,Rodrigo Muñoz M.,Francisca Ignacia,13.00,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,11,12,Tiguarda,Dylan Thomas,3,418k,14¼,A. Covarrubias.,Hernán Pacheco P.,Grande Tio Kiko,124.50,58.56,La Cia
5,14:11,Jose Luis Rodriguez Caceres,1000m,2660000,U,11,Polly Gray,Ticket To Run,3,444k,18¼,J. Soto.,Luis Machulas G.,El Mero Mero,118.10,58.56,La Cia
6,14:36,Manuel Sotelo Castro,1400m,4789500,1,7,Splendid Springs,Palm Springs,3,500k,,J. Zúñiga.,Carlos Urbina H.,Doña Elena,4.10,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,2,1,Tony Montana,Hootenanny,5,504k,1¼,S. González.,José Ignacio Inda D.,Polpaico,1.80,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,3,3,Malandro,Mendelssohn,4,441k,5¼,J. Toro.,Alejandro Padovani E.,Carnes Oly,14.40,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,4,8,Aquimbao,Mo Town,5,492k,5¼,W. León.,Juan Pablo Baeza J.,Linlinao,6.90,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,5,6,Peso Completo,International Star,4,508k,5¾,J. Herrera.,José Allende F.,Citral,16.50,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,6,2,Pancho Malo,Dylan Thomas,5,483k,6¾,N. Ramirez.,Julio Castillo D.,Corral Hipico,5.90,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,7,5,Fragmentado,Dubai Sky,4,463k,8¼,N. Molina.,Rodrigo Quiroz S.,Amapolas,8.20,1.22.03,Tony Montana
6,14:36,Manuel Sotelo Castro,1400m,4789500,U,4,Rio Serrano,Constitution,5,483k,19¼,B. León.,Juan Pablo Baeza J.,Mar Y Sol,13.00,1.22.03,Tony Montana
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,1,12,Salma Alegre,Gstaad II,6,407k,,R. Araya.,Eugenio Switt V.,Gallo,27.10,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,2,3,Soy Enriqueta,State Of Play,9,481k,cb,G. Aros.,Alejandro Padovani E.,Mameza,2.30,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,3,10,Giulietta Amore,Ivan Denisovich,6,419k,1¼,R. Avila.,José Venegas P.,Jose Venegas P.,13.60,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,4,13,Mi Solcito,Annual Report,4,435k,1½,J. Solano.,José Venegas P.,Lor Kedimar,13.40,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,5,7,Un Dia Contigo,Seeking The Dia,4,435k,1½,C. Weilby.,Lauro Pérez A.,Lauro Perez A.,3.60,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,6,9,Mestiza Flor,Midshipman,6,419k,3¾,D. Carvacho.,Isaac Michea F.,Bruno Alonso,29.80,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,7,1,Natalino,Seeking The Dia,10,497k,4¾,A. Zúñiga.,Ricardo Rojas S.,Chamo Candela,38.60,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,8,5,Joven Sanchis,Hold Me Back,6,472k,4¾,S. Muñoz.,Luis Machulas G.,Morat,12.80,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,9,6,Du Plesis,Sky Mesa,4,480k,6¾,J. Vera.,Claudio Bernal G.,Di Giorgio Dicone,55.50,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,10,11,Mago De Naipes,Felíz de Vivir,7,430k,7½,B. Sancho.,Rodrigo Quiroz S.,Artigas,6.20,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,11,4,Bordoneo,El Facha,10,461k,9½,J. Cueto.,Julio Castillo D.,El Gallito,119.90,1.13.00,Soy Enriqueta
7,15:02,Comision De Patentes Y Disciplina Cuidadores,1200m,2650500,12,2,Quartarella,Exaggerator,6,444k,11¼,A. Villagra.,Raúl Montesino S.,Yayita,29.30,1.13.00,Soy Enriqueta
