Fecha,Reunion,Carrera,Distancia,Lugar,Numero,Ejemplar,Padrillo,Jinete,Preparador,Stud,Dividendo
18-12-2025,87,1,1000m,1°,1,Mal Mirada,Il Rey Ivan,R. Cisternas,Jaime Espineira C.,Jaime Espiñeira C.,4.90
18-12-2025,87,1,1000m,2°,6,Ponle Toby,El Distinto,N. Rojas,Rafael Bernal G.,Los Tordillos,8.90
18-12-2025,87,1,1000m,3°,4,Tesorito Mio,Annual Report,N. Ramirez,José Araya B.,Melany,4.20
18-12-2025,87,1,1000m,4°,12,La Flower,Iron Clad,G. Aros,Hernán Pacheco P.,Solin,8.80
18-12-2025,87,1,1000m,5°,2,El Forastero,Roman Ruler,A. Villagra,Ricardo Rojas S.,Chamo Candela,27.00
18-12-2025,87,1,1000m,6°,13,Azra,Good Samaritan,G. Rodríguez,Eduardo Lab R.,Tata Pepe,7.90
18-12-2025,87,1,1000m,7°,9,India Terca,Gemologist,J. Cueto,Eugenio Switt V.,Florence,67.30
18-12-2025,87,1,1000m,8°,10,Lady Bay,Neko Bay,A. Covarrubias,José Lastra B.,Viejo Querido,19.20
18-12-2025,87,1,1000m,9°,5,Sin Miedo,Grand Daddy,L. González,Juan C. Pichara J.,Seguir Soñando,24.10
18-12-2025,87,1,1000m,10°,8,Gamorra,The Lumber Guy,B. Sancho,Rodrigo Quiroz S.,Los Bello,13.70
18-12-2025,87,1,1000m,11°,3,Valio La Pena,Katmai,M. Morales,Raúl Montesino S.,Bruno Alonso,7.50
18-12-2025,87,1,1000m,12°,7,Marsali,Scat Royal,B. Troncoso,Mario A. Apablaza G.,Inefable,4.20
18-12-2025,87,1,1000m,U°,11,Silvestrin,Daddy Long Legs,L. Silva,Mario A. Apablaza G.,Albino,17.10
18-12-2025,87,2,1000m,1°,3,Like A Prayer,Alfonso,J. Cueto,Juan Ubilla P.,Forza Al Canut,8.70
18-12-2025,87,2,1000m,2°,6,Hey Dj,Imperia II,O. Ulloa,Cristián Urbina R.,Morat,1.50
18-12-2025,87,2,1000m,3°,13,Aston,Ivan Denisovich,J. Soto,Rodrigo Muñoz M.,Cabritis,74.20
18-12-2025,87,2,1000m,4°,4,Je Suis Pret,Mendelssohn,B. León,Mario Covarrubias,Doña Ester,17.70
18-12-2025,87,2,1000m,5°,5,Teatro Griego,Viscount Nelson,D. Sánchez,Alberto Aviles L.,Ganadero,6.40
18-12-2025,87,2,1000m,6°,1,Seven Points,Dubai Sky,J. Vera,Rodrigo Quiroz S.,Malcib,30.40
18-12-2025,87,2,1000m,7°,15,Larompe,Boboman,G. Rodríguez,Eduardo Lab R.,Claudio Saide A.,19.60
18-12-2025,87,2,1000m,8°,11,Hugo El Terrible,California One,R. Fournet,Oscar Donate S.,Bruno Alonso,5.40
18-12-2025,87,2,1000m,9°,10,Rosso And Red,The Lumber Guy,R. Painen,Maritza Pérez A.,Redbros,7.90
18-12-2025,87,2,1000m,10°,12,Floro Chico,El Manu,B. González,Eugenio Switt V.,Mackay,155.00
18-12-2025,87,2,1000m,11°,7,Grand Lucho,Grand Daddy,M. Morales,Hernán Pacheco P.,Oxiper,44.70
18-12-2025,87,2,1000m,12°,9,Teen Wolf,Ivan Denisovich,A. Zúñiga,Leopoldo Parra G.,Gonzalez Toro,43.10
18-12-2025,87,2,1000m,13°,14,Mefils,Washington,F. Medina,Hernán Pacheco P.,Dos E,54.70
18-12-2025,87,3,1000m,1°,8,Bruno Spiderman,Robert Bruce,J. Medina,Rodrigo Sánchez Q.,Bruno Alonso,1.90
18-12-2025,87,3,1000m,2°,7,Indian Blitz,Indian Trail,F. Medina,Oscar Donate S.,Tata Beto,9.70
18-12-2025,87,3,1000m,3°,15,Orionista,Alfonso,R. Fournet,Cristián Urbina R.,Tiro Al Blanco,13.20
18-12-2025,87,3,1000m,4°,1,Rey Olimpus,Del Pacifico,N. Ramirez,Oscar Donate S.,Don Alfonso,8.70
