Reunion,Fecha,Carrera,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Caballo,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
88,20-12-2025,1,1,13,City Blue,Seeking The Dia,6,421,59,G. Rodríguez,José Venegas P.,Jose Venegas P.,9.20
88,20-12-2025,1,2,15,Sisi Star,Mendelssohn,4,424,56,R. Avila,Raúl Montesino S.,Los Cabezas Alvarez,4.50
88,20-12-2025,1,3,7,Red Knight,Ivan Denisovich,6,481,56,J. Vera,Claudio Bernal G.,Mario Y Elodia,9.20
88,20-12-2025,1,4,3,Silverchair,Papelon,4,408,55,A. Vásquez,Oscar Donate S.,Redbros,3.90
88,20-12-2025,1,5,14,Vine Vide Vinci,Tumblebrutus,11,465,55,N. Molina,Rodrigo Quiroz S.,Lusugo,11.20
88,20-12-2025,1,6,1,Peluka,Frank Conversation,4,450,55,N. Ramirez,Juan C. Pichara J.,Seguir Soñando,6.00
88,20-12-2025,1,7,2,Meme,Good Samaritan,4,405,55,M. Gutiérrez,Rafael Bernal G.,Sema,15.30
88,20-12-2025,1,8,8,Kiastrelo,Ivan Denisovich,4,458,55,B. León,Mario Covarrubias,Doña Ester,8.90
88,20-12-2025,1,9,4,Kirsch Royal,Leading The Parade,11,461,56,R. Covarrubias,Mario Covarrubias,Quarter Dollar,12.50
88,20-12-2025,1,10,5,El Gran Tornado,Newfoundland,8,438,55,F. Henríquez,Mario A. Apablaza G.,Albino,21.30
88,20-12-2025,1,11,11,Spirit Fire,Caesarion,10,464,55,M. Fuentes,Genaro J. Covarrubias E.,La Corina,33.60
88,20-12-2025,1,12,12,Giulietta Amore,Ivan Denisovich,6,412,55,N. Rojas,José Venegas P.,Jose Venegas P.,34.40
88,20-12-2025,1,13,6,Se Va El Caiman,Patternrecognition,5,460,55,R. Fuenzalida,Héctor Manríquez F.,Gran Gallito,26.20
88,20-12-2025,1,14,10,John Wayne,Aragorn II,12,475,55,C. Weilby,Genaro J. Covarrubias E.,Papi Rey,40.10
88,20-12-2025,1,U,9,Soy Enriqueta,State Of Play,9,481,55,B. Troncoso,Alejandro Padovani E.,Mameza,15.70
88,20-12-2025,2,1,7,Clasua,Classic Empire,3,447,55,J. Medina,Juan Pablo Baeza J.,Haras Santa Loreto,1.30
88,20-12-2025,2,2,12,Mixed Emotions,Grand Daddy,3,489,55,A. Apablaza,Cristian Quiroz E.,De Quiva's,32.50
88,20-12-2025,2,3,5,La Universitaria,Bad Daddy,3,399,55,L.D. Menghini,Rodrigo Quiroz S.,Lucaraste,61.10
88,20-12-2025,2,4,6,Sinag,Good Samaritan,3,420,55,N. Molina,Rodrigo Quiroz S.,Malcib,8.00
88,20-12-2025,2,5,9,Katerya,Kingly,3,444,55,S. González,J. Araya B.,Haras Mocito Guapo,14.80
88,20-12-2025,2,6,4,Bad Romance,Newfoundland,3,384,51,C. C. Bustos,Rafael Bernal G.,Don German,52.30
88,20-12-2025,2,7,1,Sanssita,Mendelssohn,3,456,55,C. Weilby,Lauro Pérez A.,Santa Malva,44.50
88,20-12-2025,2,8,13,La Calotica,Zawraq,3,489,55,B. León,Rodrigo Muñoz M.,Francisca Ignacia,18.50
88,20-12-2025,2,9,3,Song Song Blue,Dubai Sky,3,426,55,M. Morales,Cristian Quiroz E.,Fos,112.90
88,20-12-2025,2,10,11,Wittenburg,Dubai Sky,3,440,53,R. Fournet,Aldo Castagneto U.,Las Araucarias,4.30
88,20-12-2025,2,11,2,Princess Thai,Distorted Economy,3,420,54,J. Cueto,M. Velarde B.,Alonmate,81.30
88,20-12-2025,2,12,10,Antonia Francisca,Dubai Sky,3,393,55,B. Sancho,Rodrigo Quiroz S.,Arturo Y Cecilia,21.80
88,20-12-2025,2,U,8,Modelo Sbelt,Mendelssohn,3,387,55,R. Covarrubias,Mario Covarrubias,Quarter Dollar,26.30
88,20-12-2025,3,1,4,Bravo Torero,Flameaway,3,477,57,L. González,Genaro J. Covarrubias E.,Pepe Elias,4.40
88,20-12-2025,3,2,1,Nihuil,Classic Empire,3,485,57,N. Ramirez,Juan C. Pichara J.,Don Simon,1.40
88,20-12-2025,3,3,5,El Gagui,Distorted Economy,3,420,57,N. Rojas,Patricio Valderrama C.,Haras Santa Marta,15.30
88,20-12-2025,3,4,8,Elsebaahorratodo,Katmai,3,428,57,N. Molina,Juan Rodriguez R.,Robledo's,2.70
88,20-12-2025,3,5,2,Escopeta Recortada,Tapitdoro,3,410,57,C. Weilby,Lauro Pérez A.,Los Topos,28.20
88,20-12-2025,3,6,7,Brunito,Il Rey Ivan,3,443,56,J. Cueto,Isaac Michea F.,Bruno Alonso,28.00
88,20-12-2025,4,1,2,Lumber Boy,The Lumber Guy,4,428,56,A. Covarrubias,Lauro Pérez A.,Santa Malva,9.00
88,20-12-2025,4,2,12,Josie Girl,El Facha,6,413,56,V. Miranda,Alejandro Padovani E.,Maria Dolores,5.20
88,20-12-2025,4,3,10,Beautiful Champion,Sonoma Band,5,419,56,J. Vera,Rodrigo Quiroz S.,Don Alamiro,15.40
88,20-12-2025,4,4,13,El Duke,Lookin At Lucky,7,452,56,G. Rodríguez,Daniel Contreras A.,El Duke,3.90
88,20-12-2025,4,5,6,Mendel Quinta,Mendelssohn,4,446,56,J. Herrera,Rafael Bernal G.,Paula Ines,3.20
88,20-12-2025,4,6,11,Natalino,Seeking The Dia,10,499,56,A. Zúñiga,Ricardo Rojas S.,Chamo Candela,16.00
88,20-12-2025,4,7,5,India Adorada,Exaggerator,5,458,56,L.D. Menghini,Eugenio Switt V.,Florence,44.30
88,20-12-2025,4,8,9,Du Plesis,Sky Mesa,4,484,56,N. Santibañez,Claudio Bernal G.,Di Giorgio Dicone,50.60
88,20-12-2025,4,9,15,Chilly Willy,Stevie Wonderboy,6,435,56,R.S. Dores,Rodrigo Quiroz S.,Rodrigo Quiroz S.,13.00
88,20-12-2025,4,10,1,Mago De Naipes,Felíz de Vivir,7,435,56,B. Sancho,Rodrigo Quiroz S.,Artigas,6.10
88,20-12-2025,4,11,14,Rubio Cruzado,Layman,12,443,56,L. Silva,Mario A. Apablaza G.,Tata Tito,23.30
88,20-12-2025,4,12,7,Canovanas,Total Impact,10,458,56,C. C. Bustos,José Venegas P.,Jose Venegas P.,46.60
88,20-12-2025,4,13,8,Joven Sanchis,Hold Me Back,6,467,56,S. Muñoz,Luis Machulas G.,Morat,19.90
88,20-12-2025,4,14,4,Bordoneo,El Facha,10,464,56,H. Jiménez,Julio Castillo D.,El Gallito,98.60
88,20-12-2025,4,U,3,Monte Hua,Seeking The Dia,9,463,56,R. Painen,Oscar Donate S.,Bruno Alonso,27.90
88,20-12-2025,5,1,7,Karmelia,Kingly,3,460,55,R. Fuenzalida,Juan Pablo Baeza J.,Haras Mocito Guapo,3.80
88,20-12-2025,5,2,1,Sogna Con Me,Ya Primo,3,436,52,N. Rojas,José Venegas P.,Jose Venegas P.,2.50
88,20-12-2025,5,3,8,Power Girl,Mendelssohn,3,442,53,R. Fournet,Mario Covarrubias,Quarter Dollar,3.60
88,20-12-2025,5,4,6,Tu Mi Cunca,Cunco,3,437,55,F. Henríquez,Pedro Diaz S.,Pedro Diaz S.,28.70
88,20-12-2025,5,5,3,Yada,Dylan Thomas,3,414,56,B. Sancho,S. Alvarado P.,As,9.00
88,20-12-2025,5,6,9,Katie Melua,Flameaway,3,480,55,R. Cisternas,Oscar Donate S.,Guillermo Cordova T.,14.80
88,20-12-2025,5,7,2,Señora Rita,The Lumber Guy,3,415,54,J. Cueto,M. Velarde B.,Alejandrina,77.60
88,20-12-2025,5,8,5,Perfide,Ivan Denisovich,3,415,55,R.S. Dores,Jaime Hirmas R.,Chamo Candela,16.40
88,20-12-2025,5,U,4,Bella Sorpresa,Alfonso,3,480,55,G. Ulloa,Waleska Peña P.,El Gran Jose,4.50
88,20-12-2025,6,1,2,Scotish Queen,Robert Bruce,3,455,55,S. González,Juan C. Pichara J.,Vasquez Retamales,1.70
88,20-12-2025,6,2,1,Shyuanna,Boboman,3,440,55,N. Ramirez,Juan C. Pichara J.,Agric.Santa Laura,7.70
88,20-12-2025,6,3,8,Ragazza Viziata,Palm Springs,3,425,55,W. León,Cristián Urbina R.,Auguri,19.20
88,20-12-2025,6,4,5,La Cia,International Star,3,395,55,M. Gutiérrez,Oscar Donate S.,Mario Andrés,7.60
88,20-12-2025,6,5,9,Hi Fly,Flyer,3,420,55,M. Morales,Hernán Pacheco P.,Grande Tio Kiko,3.30
88,20-12-2025,6,6,4,Bella Chichi,Distorted Economy,3,465,55,A. Covarrubias,Hernán Pacheco P.,Margal,17.10
88,20-12-2025,6,7,7,Diosa Chocolate,Palm Springs,3,444,52,N. Rojas,Jaime Espineira C.,Jaime Espiñeira C.,6.00
88,20-12-2025,6,8,6,Tiguarda,Dylan Thomas,3,419,51,C. C. Bustos,Hernán Pacheco P.,Grande Tio Kiko,79.50
88,20-12-2025,7,1,4,Facil La Pega,Scat Royal,5,502,56,D. Sánchez,Alberto Aviles L.,Alberto Aviles L.,3.70
88,20-12-2025,7,2,5,Undecided,Good Samaritan,5,509,56,W. León,Daniel Contreras A.,Abuela Oca,8.70
88,20-12-2025,7,3,1,Malva Star,International Star,4,424,55,A. Zúñiga,Alejandro Martínez C.,Melendez,4.30
88,20-12-2025,7,4,9,Mr Ranger,Mr Speaker,7,450,58,J. Vera,Isaac Michea F.,Lopito,21.10
88,20-12-2025,7,5,2,Lord Commander,Mastercraftsman,9,448,55,G. Rodríguez,Eduardo Lab R.,Mami Chela,5.40
88,20-12-2025,7,6,10,Don Picho,Mr Speaker,7,419,56,R. Cisternas,Jaime Espineira C.,Santa Corina,8.50
88,20-12-2025,7,7,3,Marrakech,El Milagrito,4,445,55,R. Covarrubias,Genaro J. Covarrubias E.,La Corina,19.80
88,20-12-2025,7,8,14,Te Digo Algo,Exaggerator,4,456,55,N. Molina,Claudio Bernal G.,Mar Y Sol,5.70
88,20-12-2025,7,9,8,La Tostadora,Cupid,5,480,54,I. Urrejola,Hernán Pacheco P.,Grande Tio Kiko,33.90
88,20-12-2025,7,10,13,Paquete Platico,Awesome Patriot,5,421,56,N. Santibañez,Eugenio Switt V.,Misacrisei,20.90
88,20-12-2025,7,11,15,Miss Levalamat,Indian Trail,7,463,56,M. Morales,Rafael Bernal G.,Doña Nani,11.20
88,20-12-2025,7,12,7,Hier Ancore,Mendelssohn,4,408,56,J. Pimentel,Carlos García V.,Kiñeukeleiñ,61.50
88,20-12-2025,7,13,11,Me Lo Llevo,Grand Daddy,7,513,55,A. Covarrubias,Julio Castillo D.,Corral Hipico,25.00
88,20-12-2025,7,14,12,India Terca,Gemologist,8,475,54,J. Cueto,Eugenio Switt V.,Florence,81.40
88,20-12-2025,7,U,6,Markinabizkaia,Annual Report,5,452,55,D. D. Medina,Daniel Contreras A.,Daniel Contreras A.,109.10
88,20-12-2025,8,1,1,Gran Llegada,Grand Daddy,3,470,55,N. Ramirez,Carlos Urbina H.,Haras Mocito Guapo,1.40
88,20-12-2025,8,2,2,Crem To Run,Spun to Run,3,470,55,R. Cisternas,Juan Pablo Baeza J.,Haras las Camelias,12.00
88,20-12-2025,8,3,3,Poderosa Nobleza,Alfonso,3,447,55,G. Ulloa,Waleska Peña P.,El Gran Jose,15.80
88,20-12-2025,8,4,4,Beijing Cristal,Robert Bruce,3,454,55,G. Rodríguez,Rodrigo Sánchez Q.,Los Tocornal,6.40
88,20-12-2025,8,5,5,Classic Form,Mendelssohn,3,399,55,R. Avila,Mario Covarrubias,Doña Ester,13.60
88,20-12-2025,8,6,9,Chica De La Palma,Rydilluc,3,401,53,R. Fournet,Julio Castillo D.,Nativo,17.70
88,20-12-2025,8,7,11,Sigue Igual,Alfonso,3,467,55,N. Molina,Julio Castillo D.,Baemar,21.70
88,20-12-2025,8,8,6,Mary Queen,Spun to Run,3,467,55,J. Medina,Juan Pablo Baeza J.,Paola,4.50
88,20-12-2025,8,9,7,Bernoulli,Distorted Economy,3,438,55,W. León,Cristián Urbina R.,Kekita,37.40
88,20-12-2025,8,10,8,Cotillard,Gran Villano,3,457,55,M. Morales,Rodrigo López B.,Guarani,37.00
88,20-12-2025,9,1,4,Kerion,Hi Happy,4,485,59,B. Troncoso,Alejandro Padovani E.,Bucarest,2.10
88,20-12-2025,9,2,6,Roce Secreto,Good Samaritan,4,455,52,A. Vásquez,Juan C. Pichara J.,Viejo Perro,4.80
88,20-12-2025,9,3,2,Persevera Siempre,Bernardini,8,476,54,S. González,Eugenio Switt V.,Carlos Cavieres,15.10
88,20-12-2025,9,4,3,Storm Ritan,Good Samaritan,3,491,51,J. Medina,Juan Pablo Baeza J.,Identic,5.50
88,20-12-2025,9,5,7,Alcides,Midshipman,4,439,58,A. Rivera,Julio Orellana R.,Charrúa,4.60
88,20-12-2025,9,6,5,Braveheart,International Star,4,454,57,J. Herrera,José Alvarez D.,Amigos,11.00
88,20-12-2025,9,7,8,Pajoma,Bad Daddy,5,448,54,G. Rodríguez,Isaac Michea F.,Bruno Alonso,7.10
88,20-12-2025,9,U,1,Van Basten,Omayad,8,500,54,J. Zúñiga,Rafael Bernal G.,La Flo,13.80
88,20-12-2025,10,1,15,Garafulic,Seeking The Dia,4,428,56,J. Castillo,Oscar Donate S.,Oro y Cielo,3.60
88,20-12-2025,10,2,1,Salma Alegre,Gstaad II,6,405,57,R. Araya,Eugenio Switt V.,Gallo,27.60
88,20-12-2025,10,3,3,Temaukel,Bad Daddy,7,473,55,G. Rodríguez,Claudio Bernal G.,Viejo Moño,11.90
88,20-12-2025,10,4,4,Drink's Valley,Stay Thirsty,9,452,56,R.S. Dores,Rodrigo Quiroz S.,Queen´s Valley,5.30
88,20-12-2025,10,5,14,Vasca Brava,International Star,4,438,55,W. León,Jaime Espineira C.,Jaime Espiñeira C.,37.30
88,20-12-2025,10,6,7,Elisita Mia,Boboman,8,482,56,J. Medina,Juan Ubilla P.,Valentín Ubilla C.,5.10
88,20-12-2025,10,7,10,Arrancate Pairino,California Chrome,6,466,56,F. Henríquez,Mario A. Apablaza G.,Renita,4.90
88,20-12-2025,10,8,9,Rosario Tijera,Sposito,8,457,56,D. D. Medina,Oscar Donate S.,Bon Touch,53.90
88,20-12-2025,10,9,8,El Coigue,Papelon,4,423,55,M. Morales,Leopoldo Parra G.,Emiclau,13.40
88,20-12-2025,10,10,5,Waquar,Gemologist,7,516,56,R. Fuenzalida,Pedro Diaz S.,Los Jeques,4.30
88,20-12-2025,10,11,12,Carita De Culpable,Iron Clad,4,438,55,J. Villablanca,Ricardo Rojas S.,Pequeño Matias,42.60
88,20-12-2025,10,12,2,Gamorra,The Lumber Guy,7,448,54,L.D. Menghini,Rodrigo Quiroz S.,Los Bello,29.30
88,20-12-2025,10,13,11,The Last Wolf,Del Pacifico,7,450,55,S. Muñoz,Luis Machulas G.,Yayita,66.90
88,20-12-2025,10,14,6,Silvestrin,Daddy Long Legs,10,442,54,L. Silva,Mario A. Apablaza G.,Albino,41.70
88,20-12-2025,11,1,1,Rubia Morena,Classic Empire,4,472,55,M. Morales,Cristian Quiroz E.,Fos,5.20
88,20-12-2025,11,2,7,La Instrumentista,Exaggerator,5,412,56,R. Avila,Isaac Michea F.,Angelica Y Francisco,10.20
88,20-12-2025,11,3,9,Sra Elizabeth,Good Samaritan,4,442,56,N. Santibañez,Luis Urbina H.,Isabelita,6.10
88,20-12-2025,11,4,6,Bello Encanto,Gstaad II,4,472,54,D. D. Medina,José Bravo M.,José Bravo M.,50.60
88,20-12-2025,11,5,8,Mandioka,Dangerous Midge,8,423,55,A. Vásquez,Maritza Pérez A.,Tata Lalo,16.30
88,20-12-2025,11,6,11,Mezzosoprano,Cosmic,7,510,54,J. Zúñiga,Jaime Hirmas R.,Chamo Candela,8.60
88,20-12-2025,11,7,10,Hammer Time,Malibu Moon,7,472,56,W. León,Genaro J. Covarrubias E.,La Corina,4.30
88,20-12-2025,11,8,2,Merkel,Grand Daddy,6,420,55,B. Troncoso,Rodrigo Quiroz S.,Tata Rey,3.70
88,20-12-2025,11,9,12,Hagale Hagale,Patternrecognition,4,427,55,L. Silva,Mario A. Apablaza G.,Raices De Codegua,15.60
88,20-12-2025,11,10,3,El Chico Richard,Forward March,4,411,54,N. Molina,Alejandro Martínez C.,Gran Pacha,4.70
88,20-12-2025,11,11,4,Hija Del Mago,Ivan Denisovich,3,438,56,J. Soto,Alejandro Padovani E.,Ganadero,67.30
88,20-12-2025,12,1,8,Mermet,Tourist,6,535,60,N. Ramirez,John Pinochet P.,Anita María,2.50
88,20-12-2025,12,2,11,Me Veo Contento,Patternrecognition,3,495,56,J. Zúñiga,Pedro Molina I.,Isla Torina,4.90
88,20-12-2025,12,3,4,Biscottino,Flameaway,4,463,60,N. Molina,Rodrigo Quiroz S.,Filipino,32.90
