Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,1,14,Silverchair,Papelon,4,402k,,55k,A. Vásquez.,Oscar Donate S.,Redbros,4.20
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,2,10,Te Digo Algo,Exaggerator,4,451k,1¾,56k,B. Sancho.,Claudio Bernal G.,Mar Y Sol,3.90
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,3,6,La Tostadora,Cupid,5,485k,3,55k,M. Gutiérrez.,Hernán Pacheco P.,Grande Tio Kiko,11.50
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,4,3,Palabra Cierta,Gemologist,7,490k,6¾,55k,R.S. Dores.,Rodrigo Quiroz S.,Peter Ecso,9.80
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,5,4,Vita Kc,Newfoundland,4,428k,8½,56k,J. Toro.,Andrés Bernal G.,Pichon,7.40
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,6,12,Kirsch Royal,Leading The Parade,11,460k,9¾,55k,R. Avila.,Mario Covarrubias,Quarter Dollar,17.10
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,7,1,Que Hice Mal,International Star,3,392k,9¾,55k,L. González.,Jaime Hirmas R.,Los Aviadores,27.60
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,8,8,Me Lo Llevo,Grand Daddy,7,516k,10,56k,A. Covarrubias.,Julio Castillo D.,Corral Hipico,13.80
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,9,7,Entrate Nunca,Forever Thing,8,469k,10,55k,L.D. Menghini.,Héctor Castillo S.,Los Psiquicos,29.40
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,10,13,Te Diria,Exaggerator,4,429k,11¼,56k,S. Muñoz.,Julio Castillo D.,Clauseb,33.30
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,11,5,Satisfy My Soul,Sumerio,4,426k,11¼,55k,J. Castillo.,Luis Toledo C.,Pequeño Matias,53.50
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,12,2,Lord Commander,Mastercraftsman,9,443k,14,56k,G. Aros.,Eduardo Lab R.,Mami Chela,4.20
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,13,15,Sahara Chrome,California Chrome,6,436k,16¾,56k,M. Bustamante.,Eugenio Switt V.,Misacrisei,19.40
27/12/2025,Hipódromo Chile,1,11:45,1200m,Handicap (Hd) 3 al 2,14,9,Amar Azul,Flameaway,4,448k,18½,56k,A. Apablaza.,Eugenio Switt V.,Carlos Cavieres,12.40
27/12/2025,Hipódromo Chile,2,12:10,1000m,Condicional Hembras 3 años no ganadoras,1,11,Lady Jets,Get Jets,3,448k,,55k,A. Zúñiga.,Oscar Donate S.,Don Alfonso,59.90
27/12/2025,Hipódromo Chile,2,12:10,1000m,Condicional Hembras 3 años no ganadoras,2,7,Perla Del Bio Bio,Spun to Run,3,432k,pz,55k,J. Zúñiga.,Pedro Molina I.,Ximena Monica,6.40
27/12/2025,Hipódromo Chile,2,12:10,1000m,Condicional Hembras 3 años no ganadoras,3,12,Sanssita,Mendelssohn,3,452k,3½,55k,A. Covarrubias.,Lauro Pérez A.,Santa Malva,30.90
