Fecha,Reunion,Carrera,Lugar,Numero,Ejemplar,Jinete,Preparador,Stud,Dividendo
10/01/2026,2,1,1,2,Buen Norte,A. Vásquez,Alejandro Martínez C.,Viña Del Mar,2.70
10/01/2026,2,1,2,4,Tata Moncho,P. Zúñiga,Rodrigo Quiroz S.,Los Bello,3.80
10/01/2026,2,1,3,6,Silvestrin,J.A. Miño,Mario A. Apablaza G.,Albino,3.10
10/01/2026,2,1,4,3,Su Merci,R. Fournet,Daniel Contreras A.,Don Ismael,20.00
10/01/2026,2,1,5,12,India Terca,S. González,Eugenio Switt V.,Florence,3.90
10/01/2026,2,1,6,15,Lady Chrome,N. Venegas,Hernán Pacheco P.,Papi Rey,6.20
10/01/2026,2,1,7,14,Te Diria,D. Sánchez,Julio Castillo D.,Clauseb,41.30
10/01/2026,2,1,8,10,Salud Compadre,J. Solano,José Venegas P.,Lor Kedimar,16.20
10/01/2026,2,1,9,11,Cuando Llego Gano,M. Morales,Hernán Pacheco P.,Dos E,9.80
10/01/2026,2,1,10,8,Rasheem,J. Soto,Isaac Michea F.,Lgs Generadores,31.40
10/01/2026,2,1,11,5,La Tostadora,D. D. Medina,Hernán Pacheco P.,Grande Tio Kiko,14.20
10/01/2026,2,1,12,13,Guanaquero,J. Villablanca,Eduardo Lab R.,Yungay,111.60
10/01/2026,2,1,13,7,Lady Bay,A. Covarrubias,José Lastra B.,Viejo Querido,22.90
10/01/2026,2,1,14,1,Surprise Box,J. Toro,Hernán Pacheco P.,Mosqueteros De Lis,71.80
10/01/2026,2,1,U,9,Danger Girl,J. Eyzaguirre,Patricio Valderrama C.,El Patron,15.20
10/01/2026,2,2,1,12,Perla Del Bio Bio,J. Zúñiga,Pedro Molina I.,Ximena Monica,7.70
10/01/2026,2,2,2,7,Ragazza Viziata,F. Medina,Cristián Urbina R.,Auguri,20.30
10/01/2026,2,2,3,1,La Que Mas Chae,M. Morales,John Pinochet P.,Ferro,3.10
10/01/2026,2,2,4,5,Private Party,J. González,Juan Pablo Baeza J.,Doña Eliana,1.50
10/01/2026,2,2,5,4,Sanssita,A. Covarrubias,Lauro Pérez A.,Santa Malva,46.40
10/01/2026,2,2,6,15,Guagua Feliz,H. Ochoa,Rodrigo Sánchez Q.,Azurri,47.50
10/01/2026,2,2,7,13,Mixed Emotions,A. Apablaza,Cristian Quiroz E.,De Quiva's,26.70
10/01/2026,2,2,8,14,Wittenburg,R.S. Dores,Aldo Castagneto U.,Las Araucarias,19.70
10/01/2026,2,2,9,3,Regia Piba,R. Painen,Manuel Norambuena Ch.,Charito,26.00
10/01/2026,2,2,10,10,La Calotica,M. Cordero,Rodrigo Muñoz M.,Francisca Ignacia,54.10
10/01/2026,2,2,11,8,Katerya,S. González,José Araya B.,Haras Mocito Guapo,23.40
10/01/2026,2,2,12,9,Bad Romance,M. Gutiérrez,Rafael Bernal G.,Don German,80.60
10/01/2026,2,2,13,11,Madre Patria,B. Sancho,Andrés Bernal G.,Asturias,42.10
10/01/2026,2,2,U,2,Antonia Francisca,P. Zúñiga,Rodrigo Quiroz S.,Arturo Y Cecilia,54.90
10/01/2026,2,3,1,14,Vita Kc,B. Sancho,Andrés Bernal G.,Pichon,3.20
10/01/2026,2,3,2,7,Rayo Veloz,B. Ayala,Luis Machulas G.,Cayo,9.50
10/01/2026,2,3,3,3,Satisfy My Soul,N. Rojas,Luis Toledo C.,Pequeño Matias,36.00
10/01/2026,2,3,4,4,Soy Enriqueta,G. Aros,Alejandro Padovani E.,Mameza,4.00
10/01/2026,2,3,5,5,Palabra Cierta,N. Santibañez,Rodrigo Quiroz S.,Peter Ecso,19.60
10/01/2026,2,3,6,2,Beautiful Champion,J. Toro,Rodrigo Quiroz S.,Don Alamiro,14.50
10/01/2026,2,3,7,8,Kiastrelo,A. Covarrubias,Mario Covarrubias,Doña Ester,8.20
10/01/2026,2,3,8,10,Limitless,N. Ramirez,Leopoldo Parra G.,El Vetero,13.90
10/01/2026,2,3,9,9,John Wayne,J. González,Genaro J. Covarrubias E.,Papi Rey,16.60
10/01/2026,2,3,10,12,Nanverqui,F. Medina,Maritza Pérez A.,Mama Lila,41.60
10/01/2026,2,3,11,1,Mano De Bronce,J.A. Miño,Mario A. Apablaza G.,Mario Apablaza G.,35.40
10/01/2026,2,3,12,11,Me Lo Llevo,D. Sánchez,Julio Castillo D.,Corral Hipico,4.90
10/01/2026,2,3,13,13,Mi Diez Por Ciento,J. Rodríguez,Oscar Donate S.,Los Compadres,15.90
10/01/2026,2,3,U,6,Mago De Naipes,M. Morales,Rodrigo Quiroz S.,Artigas,21.40
10/01/2026,2,4,1,4,Roman War,J. González,Genaro J. Covarrubias E.,La Corina,4.70
10/01/2026,2,4,2,7,Mestiza Flor,M. Gutiérrez,Isaac Michea F.,Bruno Alonso,3.80
10/01/2026,2,4,3,3,Mi Solcito,J. Solano,José Venegas P.,Lor Kedimar,4.00
10/01/2026,2,4,4,2,Bay Good Chiqui,G. Rodríguez,Claudio Bernal G.,Harasic,5.50
10/01/2026,2,4,5,5,Mangino,D. Sánchez,Alberto Aviles L.,Hermanos y Amigos,8.80
10/01/2026,2,4,6,10,Dimitra,J. Cueto,Rodrigo Muñoz M.,Las Tres Damas,30.20
10/01/2026,2,4,7,6,Du Plesis,J. Villablanca,Claudio Bernal G.,Di Giorgio Dicone,108.30
10/01/2026,2,4,8,14,Un Dia Contigo,R. Varas,Lauro Pérez A.,Lauro Perez A.,6.80
10/01/2026,2,4,9,8,Differenza,F. Moreno,José Venegas P.,Jose Venegas P.,26.50
10/01/2026,2,4,10,11,Exagerada Y Buena,N. Venegas,Armando Lab J.,Armando Lab J.,198.90
10/01/2026,2,4,11,9,Bhadrak,D. D. Medina,José Bravo M.,Cecilia Falconi,24.00
10/01/2026,2,4,12,1,El Duke,F. Medina,Daniel Contreras A.,El Duke,7.90
10/01/2026,2,4,13,12,La Chipriota,H. Jiménez,Armando Lab J.,Las Estelas,92.50
10/01/2026,2,4,U,13,Good Morning Red,J. Toro,Hernán Pacheco P.,Solin,96.80
10/01/2026,2,5,1,14,Primer Otrosi,N. Venegas,Hernán Pacheco P.,Mosqueteros De Lis,17.50
10/01/2026,2,5,2,15,La Flower,J. Toro,Hernán Pacheco P.,Solin,14.30
10/01/2026,2,5,3,13,Est Bella,N. Rojas,José Venegas P.,Jose Venegas P.,2.30
10/01/2026,2,5,4,6,Vine Vide Vinci,A. Zúñiga,Rodrigo Quiroz S.,Lusugo,26.00
10/01/2026,2,5,5,3,Ya Magico,J. González,Genaro J. Covarrubias E.,La Corina,4.20
10/01/2026,2,5,6,4,India Adorada,L.D. Menghini,Eugenio Switt V.,Florence,45.30
10/01/2026,2,5,7,2,Francoli,J. Cueto,Rodrigo Quiroz S.,Lucaraste,14.00
10/01/2026,2,5,8,12,Montepiedra,D. Carvacho,Rodrigo Quiroz S.,El Goro,15.40
10/01/2026,2,5,9,5,Power Of Horses,C. Bustos,Jaime Hirmas R.,Jaime Hirmas R.,124.70
10/01/2026,2,5,10,10,The Last Wolf,J. Soto,Luis Machulas G.,Yayita,55.70
