Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
5,1,12:00,1200m,1,10,Sonata Celta,Mo Town,537,55,M. Gutiérrez,Rodrigo Quiroz S.,Lucaraste,7.30
5,1,12:00,1200m,2,3,Queen Any,Cloud Computing,442,54,R.S. Dores,Raúl Montesino S.,Los Cabezas Alvarez,2.90
5,1,12:00,1200m,3,1,Markinabizkaia,Annual Report,455,55,M. Herrera,Daniel Contreras A.,Daniel Contreras A.,51.80
5,1,12:00,1200m,4,5,Satisfy My Soul,Sumerio,442,54,N. Rojas,Luis Toledo C.,Pequeño Matias,23.40
5,1,12:00,1200m,5,4,Marrakech,El Milagrito,445,56,J. González,Genaro J. Covarrubias E.,La Corina,5.20
5,1,12:00,1200m,6,15,Red Knight,Ivan Denisovich,481,55,G. Rodríguez,Claudio Bernal G.,Mario Y Elodia,4.90
5,1,12:00,1200m,7,7,Kirsch Royal,Leading The Parade,464,54,R. Avila,Mario Covarrubias,Quarter Dollar,14.20
5,1,12:00,1200m,8,6,Du Plesis,Sky Mesa,483,55,J. Villablanca,Claudio Bernal G.,Di Giorgio Dicone,18.70
5,1,12:00,1200m,9,14,Cuando Llego Gano,El Distinto,424,55,P. Galáz,Hernán Pacheco P.,Dos E,8.00
5,1,12:00,1200m,10,11,Desert Cat,Newfoundland,449,54,R. Cisternas,Jaime Espineira C.,La Tropa,13.50
5,1,12:00,1200m,11,8,The Last Wolf,Del Pacifico,454,56,B. Ayala,Luis Machulas G.,Yayita,31.40
5,1,12:00,1200m,12,2,Silvestrin,Daddy Long Legs,452,54,J.A. Miño,Mario A. Apablaza G.,Albino,33.60
5,1,12:00,1200m,13,9,Zigeuner,Ivan Denisovich,484,54,A. Covarrubias,Mario Covarrubias,Felipe Jesus,16.60
5,1,12:00,1200m,14,12,Francoli,Seeking The Dia,438,54,J. Cueto,Rodrigo Quiroz S.,Lucaraste,32.40
5,1,12:00,1200m,15,13,Vicaria Amelia,California Chrome,432,55,I. Urrejola,Mario A. Apablaza G.,Lcg,56.40
5,2,12:25,1000m,1,8,Aston,Ivan Denisovich,463,57,J. González,Rodrigo Muñoz M.,Cabritis,4.70
5,2,12:25,1000m,2,10,Indian Blitz,Indian Trail,452,53,F. Medina,Oscar Donate S.,Tata Beto,4.20
5,2,12:25,1000m,3,5,Real Envido,Hinz,450,57,N. Ramirez,Luis Urbina H.,G.G.,3.10
5,2,12:25,1000m,4,15,Hugo El Terrible,California One,391,57,M. Gutiérrez,Oscar Donate S.,Bruno Alonso,10.30
5,2,12:25,1000m,5,13,Jets Daddy,Get Jets,454,57,R. Fuenzalida,Aldo Castagneto U.,Martina Emilia,42.60
5,2,12:25,1000m,6,4,Apapachador,Awesome Patriot,448,53,R. Fournet,Cristián Urbina R.,Patricio Millar M.,3.90
5,2,12:25,1000m,7,7,Machine Head,Palm Springs,455,53,N. Rojas,John Pinochet P.,Magdalena,5.50
5,2,12:25,1000m,8,3,Mi Nieto Facundo,Flameaway,460,57,T. Seith,Aldo Castagneto U.,Jamb,47.80
5,2,12:25,1000m,9,1,Escopeta Recortada,Tapitdoro,413,57,R. Varas,Lauro Pérez A.,Los Topos,91.90
5,2,12:25,1000m,10,14,Big Carboncillo,Gran Carboncillo,432,57,F. Morales,Raúl Montesino S.,Yayita,35.60
5,2,12:25,1000m,11,6,Cual Es Tu Ley,Good Samaritan,407,56,B. Ayala,Luis Machulas G.,El Mero Mero,84.30
5,2,12:25,1000m,12,9,Teen Wolf,Ivan Denisovich,451,56,J. Eyzaguirre,Leopoldo Parra G.,Gonzalez Toro,195.60
5,2,12:25,1000m,13,2,Seven Points,Dubai Sky,444,57,N. Santibañez,Rodrigo Quiroz S.,Malcib,69.50
5,2,12:25,1000m,14,11,King Eolo,Kingly,414,57,P. Galáz,Hernán Pacheco P.,Oxiper,92.50
5,2,12:25,1000m,15,12,Larompe,Boboman,19,57,V. Miranda,Eduardo Lab R.,Claudio Saide A.,67.60
5,3,12:50,1200m,1,4,Alajja,Indian Trail,427,56,R. Varas,Juan Aravena M.,Matias Aravena,9.70
5,3,12:50,1200m,2,5,Su Merci,Sumerio,454,56,T. Seith,Daniel Contreras A.,Don Ismael,6.20
5,3,12:50,1200m,3,12,Lady Bay,Neko Bay,379,56,M. Galáz,José Lastra B.,Viejo Querido,16.00
5,3,12:50,1200m,4,7,Power Of Horses,Exaggerator,494,56,F. Morales,Jaime Hirmas R.,Jaime Hirmas R.,40.40
5,3,12:50,1200m,5,8,Avíspate Comadre,Van Nistelrooy,442,56,M. Gutiérrez,Rafael Bernal G.,Florencia Paz,3.00
5,3,12:50,1200m,6,6,Beautiful Champion,Sonoma Band,418,56,D. Carvacho,Rodrigo Quiroz S.,Don Alamiro,15.00
5,3,12:50,1200m,7,13,Hacer Por Hacer,Fantasmagorico,418,56,F. Medina,Eduardo Lab R.,Mami Chela,12.40
5,3,12:50,1200m,8,9,Walka,Shanghai Bobby,490,56,N. Santibañez,Carlos Melero F.,Carmen Fuentes de M.,50.00
5,3,12:50,1200m,9,2,Temporal De Amor,Grand Daddy,427,56,C. Ortega,Eduardo Lab R.,Stud Mauro,5.20
5,3,12:50,1200m,10,10,Gamorra,The Lumber Guy,442,56,B. Sancho,Rodrigo Quiroz S.,Los Bello,8.10
5,3,12:50,1200m,11,3,Sahara Chrome,California Chrome,435,56,R. Fuenzalida,Eugenio Switt V.,Misacrisei,27.10
5,3,12:50,1200m,12,1,El Maripepa,Hold Me Back,438,56,M. Bustamante,Juan C. Pichara J.,Cacique,5.30
5,3,12:50,1200m,13,11,India Adorada,Exaggerator,448,56,L.D. Menghini,Eugenio Switt V.,Florence,22.30
5,4,13:16,1200m,1,5,Lumber Boy,The Lumber Guy,430,55,A. Covarrubias,Lauro Pérez A.,Santa Malva,47.60
5,4,13:16,1200m,2,10,Te Digo Algo,Exaggerator,453,56,N. Santibañez,Claudio Bernal G.,Mar Y Sol,5.50
