Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
3,1,12:30,1000,Hipódromo Chile,4,Bonita Sorpresa,Ivan Denisovich,457,56,P. Galáz,Hernán Pacheco P.,El Chuncho,4.20
3,1,12:30,1000,Hipódromo Chile,8,Beautiful Moon,Exaggerator,416,56,A. Alvarez,Jaime Hirmas R.,Los Aviadores,31.70
3,1,12:30,1000,Hipódromo Chile,3,India Terca,Gemologist,480,55,I. Valdivia,Eugenio Switt V.,Florence,3.80
3,1,12:30,1000,Hipódromo Chile,12,La Tostadora,Cupid,481,55,C. C. Bustos,Hernán Pacheco P.,Grande Tio Kiko,49.00
3,1,12:30,1000,Hipódromo Chile,15,Su Merci,Sumerio,451,56,R. Araya,Daniel Contreras A.,Don Ismael,10.80
3,1,12:30,1000,Hipódromo Chile,9,Chica De Campeones,Annual Report,452,56,B. Sancho,Rodrigo Quiroz S.,Very Luck,7.80
3,1,12:30,1000,Hipódromo Chile,10,King Corleone,Timojin,522,56,T. Seith,Cristian Quiroz E.,Cristian Quiroz E.,20.90
3,1,12:30,1000,Hipódromo Chile,13,Avíspate Comadre,Van Nistelrooy,443,56,M. Gutiérrez,Rafael Bernal T.,Florencia Paz,31.10
3,1,12:30,1000,Hipódromo Chile,5,Sahara Chrome,California Chrome,437,56,B. González,Eugenio Switt V.,Misacrisei,31.80
3,1,12:30,1000,Hipódromo Chile,11,Te Diria,Exaggerator,430,55,D. Sánchez,Julio Castillo D.,Clauseb,27.30
3,1,12:30,1000,Hipódromo Chile,1,Tata Moncho,Good Samaritan,433,58,P. Zúñiga,Rodrigo Quiroz S.,Los Bello,4.80
3,1,12:30,1000,Hipódromo Chile,7,Temporal De Amor,Grand Daddy,425,56,N. Santibañez,Eduardo Lab R.,Stud Mauro,9.80
3,1,12:30,1000,Hipódromo Chile,14,El Maripepa,Hold Me Back,440,56,G. Rodríguez,Juan C. Pichara J.,Cacique,4.70
3,2,12:55,1200,Hipódromo Chile,5,Nihuil,Classic Empire,481,57,N. Ramirez,Juan C. Pichara J.,Don Simon,2.50
3,2,12:55,1200,Hipódromo Chile,15,Orionista,Alfonso,487,57,J. Herrera,Cristián Urbina R.,Tiro Al Blanco,2.80
3,2,12:55,1200,Hipódromo Chile,1,Angel En El Cielo,Awesome Patriot,415,57,A. Alvarez,Manuel Norambuena Ch.,Charito,13.30
3,2,12:55,1200,Hipódromo Chile,2,Grande Tata Rey,Cunco,437,57,G. Aros,Rodrigo Quiroz S.,Tata Rey,12.10
3,2,12:55,1200,Hipódromo Chile,6,Pedernales,Bad Daddy,418,57,M. Galáz,Manuel Norambuena Ch.,Dejenme Sonar,30.00
3,2,12:55,1200,Hipódromo Chile,13,Aston,Ivan Denisovich,463,57,J. Soto,Rodrigo Muñoz M.,Cabritis,12.70
3,2,12:55,1200,Hipódromo Chile,14,Mi Bello Milan,Get Jets,394,57,J. González,Rodrigo Muñoz M.,Blanca Adelaida,75.10
3,2,12:55,1200,Hipódromo Chile,9,Grand Pa Lindo,Grand Daddy,491,57,I. Valdivia,Rodrigo López B.,Haras Mocito Guapo,4.80
3,2,12:55,1200,Hipódromo Chile,8,Bello Bijou,Seeking The Dia,441,53,R. Fournet,Carlos Urbina H.,Xeneixe,8.30
3,2,12:55,1200,Hipódromo Chile,7,Pelao Pelao,Patternrecognition,476,57,N. Venegas,Pedro Molina I.,Ximena Monica,65.10
3,2,12:55,1200,Hipódromo Chile,11,The Lyon Blue,Shampoo Silver,443,57,B. González,Eugenio Switt V.,Tres O,372.20
3,2,12:55,1200,Hipódromo Chile,3,Teen Wolf,Ivan Denisovich,445,56,J. Eyzaguirre,Leopoldo Parra G.,Gonzalez Toro,142.50
3,2,12:55,1200,Hipódromo Chile,12,Temple Del Toque,Dubai Sky,439,55,B. Ayala,Luis Machulas G.,Yayita,85.20
3,2,12:55,1200,Hipódromo Chile,4,Don Cachafaz,Good Samaritan,465,57,C. Ortega,Oscar Silva S.,Etiqueta Negra,33.80
3,2,12:55,1200,Hipódromo Chile,10,Miguel Angel Nomas,Dubai Sky,462,57,P. Galáz,Rodrigo Quiroz S.,Arturo Y Cecilia,102.70
3,3,13:20,1500,Hipódromo Chile,8,Cochepe,Good Samaritan,492,57,N. Ramirez,M. Velarde B.,Manuel A Velarde B,3.20
3,3,13:20,1500,Hipódromo Chile,2,Lusso,Lookin At Lucky,513,57,A. Alvarez,Manuel Norambuena Ch.,Charito,3.80
3,3,13:20,1500,Hipódromo Chile,1,Al Contado,Classic Empire,461,57,I. Valdivia,Pedro Diaz S.,Los Jeques,3.30
3,3,13:20,1500,Hipódromo Chile,4,Los Bisnietos,Constitution,518,58,L. Torres,Julio Orellana R.,El Tata,2.80
3,3,13:20,1500,Hipódromo Chile,6,Stavos,Lookin At Lucky,491,57,A. Covarrubias,Mario Covarrubias,Doña Ester,85.10
3,3,13:20,1500,Hipódromo Chile,3,Zulthan,Classic Empire,470,53,F. Medina,Jaime Espineira C.,Jaime Espiñeira C.,6.60
3,3,13:20,1500,Hipódromo Chile,5,No Me Dice Nada,Dangerous Midge,427,57,B. Sancho,Claudio Bernal G.,Masaiva,42.20
3,3,13:20,1500,Hipódromo Chile,7,Yeseraye,Tapitdoro,511,53,R. Fournet,Julio Castillo D.,Clauseb,62.70
3,4,13:46,1000,Hipódromo Chile,6,Maria Camila,Get Jets,440,58,R. Araya,Eduardo Lab R.,Los Reyes,6.40
3,4,13:46,1000,Hipódromo Chile,1,Vita Kc,Newfoundland,427,60,B. Sancho,Andrés Bernal G.,Pichon,2.70
3,4,13:46,1000,Hipódromo Chile,9,Bless White Legs,Daddy Long Legs,446,56,B. Troncoso,Alejandro Padovani E.,Ferfon,1.90
3,4,13:46,1000,Hipódromo Chile,13,Satisfy My Soul,Sumerio,418,57,R. Fuenzalida,Luis Toledo C.,Pequeño Matias,12.20
3,4,13:46,1000,Hipódromo Chile,8,Van Der Sar,Bad Daddy,452,57,J. Pimentel,Gabriel Melej R.,Janyo,45.00
3,4,13:46,1000,Hipódromo Chile,2,Bonita Flor,Awesome Patriot,393,56,N. Santibañez,Juan Ubilla P.,Valentín Ubilla C.,46.20
3,4,13:46,1000,Hipódromo Chile,10,Limitless,Hold Me Back,472,56,D. Sánchez,Leopoldo Parra G.,El Vetero,30.50
3,4,13:46,1000,Hipódromo Chile,12,Que Hice Mal,International Star,388,56,L. González,Jaime Hirmas R.,Los Aviadores,22.00
3,4,13:46,1000,Hipódromo Chile,4,Betone,Van Nistelrooy,428,56,N. Rojas,Patricio Valderrama C.,Don Ismael,11.20
3,4,13:46,1000,Hipódromo Chile,3,Pop Vision,Court Vision,405,56,N. Molina,Enrique Lagunas R.,Milton Rodriguez M.,46.60
3,4,13:46,1000,Hipódromo Chile,14,Entrate Nunca,Forever Thing,462,56,L.D. Menghini,Héctor Castillo S.,Los Psiquicos,40.50
3,4,13:46,1000,Hipódromo Chile,7,Nanverqui,Neko Bay,415,56,F. Medina,Maritza Pérez A.,Mama Lila,34.70
3,4,13:46,1000,Hipódromo Chile,11,Resiliente Gets,Get Jets,415,56,P. Zúñiga,Rodrigo López B.,Per Sempre,41.70
3,5,14:11,1200,Hipódromo Chile,2,Lucrecio,Patternrecognition,488,53,F. Medina,Pedro Molina I.,Isla Torina,4.20
3,5,14:11,1200,Hipódromo Chile,13,Bird Ritan,Good Samaritan,473,57,A. Alvarez,Manuel Norambuena Ch.,Charito,32.40
3,5,14:11,1200,Hipódromo Chile,6,Por Fortuna,Spun to Run,470,57,O. Ulloa,Juan Pablo Baeza J.,Doña Sofía,4.80
3,5,14:11,1200,Hipódromo Chile,14,Maximus Matias,Robert Bruce,490,57,J. Herrera,Mario Covarrubias,Kdm,1.60
3,5,14:11,1200,Hipódromo Chile,7,Real Envido,Hinz,451,53,N. Rojas,Luis Urbina H.,G.G.,6.80
3,5,14:11,1200,Hipódromo Chile,4,El Gagui,Distorted Economy,414,57,N. Santibañez,Patricio Valderrama C.,Haras Santa Marta,62.00
3,5,14:11,1200,Hipódromo Chile,12,Teatro Griego,Viscount Nelson,399,57,D. Sánchez,Alberto Aviles L.,Ganadero,54.10
3,5,14:11,1200,Hipódromo Chile,5,Neshely Quashely,Boboman,427,57,C. Ortega,Eduardo Lab R.,Bruce,74.20
