carrera,hora,tipo,premio,lugar,partida,ejemplar,padrillo,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,1,7,SOBRAO DE CARIÑO,VAN NISTELROOY,BERNAL G. ANDRES,505,JORGE VERA,57,ANDRES BERNAL,Ganador,1,16.8
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,2,12,PACIENCIA ETERNA,ANNUAL REPORT,JANYO,391,JESUS PIMENTEL,57,GABRIEL MELEJ,2 cpos,1,104.6
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,3,1,NEGRO APAPUCHI,EL PIÑON,PERALTA P GUILLERMO,434,JAIME A. MIÑO,57,GUILLERMO PERALTA,2 cpos,1,31.5
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,4,11,MANANO,UNITARIAN,SAGARDIA HNOS.,557,MOISES A. DONOSO,57,OSCAR SILVA G.,2 cpos,1,3.1
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,5,6,LUDMILA,BOBOMAN,SAPNET STABLE,442,BASTIAN SOTO,57,WALESKA PEÑA,2 cpos,1,37
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,6,9,PRAIA DO FORTE,GSTAAD II,JUAN DE ORO,450,RODOLFO FUENZALIDA,57,CARLOS GARCIA,2 1/4 cpos,1,18.5
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,7,2,UNO CERO,TODO UN AMIGUITO,EL JEI,435,NICOLAS RAMIREZ,57,FELIPE GONZALEZ S.,2 1/2 cpos.,1,4.1
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,8,10,FLOR DE JAMAICA,FRANK CONVERSATION (USA),VIGALU,481,BENJAMIN SANCHO,57,JUAN RODRIGUEZ R.,4 cpos.,1,2.3
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,9,3,NIETA DEL MONTY,COURT VISION,MATTE D. DOMINGO,418,NICOLAS MOLINA,57,DOMINGO MATTE,9 3/4 cpos.,1,14.6
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,10,8,TURBOCHELA,FATHER OF SCIENCE,MONICA,399,REINALDO LOYOLA,57,ANGEL JAQUE S.,10 3/4 cpos.,1,213.6
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,11,4,AFIRMATE TOÑITO,DISTORTED ECONOMY,SAGARDIA HNOS.,503,LUIS D. MENGHINI,57,OSCAR SILVA G.,18 1/2 cpos.,1,13.5
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,12,13,VALDEMIRA BAY,EXAGGERATOR,MANUEL RUBIO (CONCE),491,WILBERT LEON,57,LUIS MACHULAS G.,28 cpos.,1,8.6
1,13:00Hrs,HANDICAP índice 1 al 1,Pr. GUACATE,RT,5,SPECIAL MACHINE,INTERNATIONAL STAR (USA),YAYITA,0,N.N.,57,RAUL MONTESINO,Retirado,1,0
2,13:28Hrs,HANDICAP índice 41 al 30,Pr. GENIO LIGERO,1,3,CORRER NORTINO,CONSTITUTION,BENITO CH BORIL,446,JAIME MEDINA,55,DOMINGO MATTE,Ganador,32,3.3
