fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
03/03/2026,Club Hípico de Concepción,1,16:30,1000m,Arena,7,Gran Amor Eterno,C. Pavez,Raul Vasquez O.,1,58.63,5.20,56
03/03/2026,Club Hípico de Concepción,1,16:30,1000m,Arena,1,Danger In Rio,B. Diaz,Nelson Norambuena B.,2,58.63,2.50,56
03/03/2026,Club Hípico de Concepción,1,16:30,1000m,Arena,2,La Shemi,J.P. Torres,Victor Gallardo E.,3,58.63,16.00,58
03/03/2026,Club Hípico de Concepción,1,16:30,1000m,Arena,4,Gandhi Report,J. Olate,Hector Arteaga Ch.,4,58.63,1.80,56
03/03/2026,Club Hípico de Concepción,1,16:30,1000m,Arena,6,El Impoluto,J.A. Inostroza,Alex Cea S.,5,58.63,7.50,56
03/03/2026,Club Hípico de Concepción,1,16:30,1000m,Arena,5,Suzzanne,J.A. Campos,Reinaldo Bello B.,6,58.63,9.70,56
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,1,Almerillo,J. Olate,Hector Arteaga Ch.,1,1.16.51,4.30,57
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,7,Patron De Muskiz,B. Diaz,Nelson Norambuena B.,2,1.16.51,2.40,55
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,5,Sekoti,A. Soto,Luis G. Soto E.,3,1.16.51,5.00,55
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,2,Sensei De Franklin,C. Cordero,Francisco Saavedra C.,4,1.16.51,5.40,53
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,6,Gran Dreamer,J.A. Campos,Julio Espinosa N.,5,1.16.51,29.20,55
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,3,Lanna,G. Pereda,Alex Cea S.,6,1.16.51,3.10,53
03/03/2026,Club Hípico de Concepción,2,17:00,1300m,Arena,4,Gran Taita,A. Vega,Francisco Acevedo R.,7,1.16.51,15.60,55
03/03/2026,Club Hípico de Concepción,3,17:30,1300m,Arena,3,El Gran Tornado,V. Mardones,Francisco Acevedo R.,1,1.18.19,13.00,54
03/03/2026,Club Hípico de Concepción,3,17:30,1300m,Arena,5,Pumara,C.A. Rojas,Alex Cea S.,2,1.18.19,4.00,54
03/03/2026,Club Hípico de Concepción,3,17:30,1300m,Arena,4,My Bjork,J. Moya,Carlos Córdova A.,3,1.18.19,1.50,57
03/03/2026,Club Hípico de Concepción,3,17:30,1300m,Arena,6,Ludmila,G. Vera,Julio Espinosa N.,4,1.18.19,5.10,57
03/03/2026,Club Hípico de Concepción,3,17:30,1300m,Arena,1,Me Lo Llevo,J. Olate,Francisco Acevedo R.,5,1.18.19,3.70,58
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,2,Judge Room,B. Diaz,Carlos Norambuena B.,1,1.03.56,11.40,57
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,4,Rojo Jamas,A. Vega,Gerardo Melo M.,2,1.03.56,2.50,58
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,10,Vela Azul,G. Pereda,Carlos Norambuena B.,3,1.03.56,10.00,57
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,1,Golden Giant,C. Pavez,Gerardo Melo M.,4,1.03.56,4.90,59
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,3,Doble Negro,J. Moya,Ercira Alarcón J.,5,1.03.56,3.80,55
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,9,Big Red,J. Olate,Raul Vasquez O.,6,1.03.56,4.90,60
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,8,El Tatuado,J.A. Campos,Julio Espinosa N.,7,1.03.56,23.00,55
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,5,Victory David,G. Vera,Francisco Acevedo R.,8,1.03.56,15.30,55
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,6,Guapo Matias,C.A. Rojas,Hector Arteaga Ch.,9,1.03.56,21.60,59
03/03/2026,Club Hípico de Concepción,4,18:00,1100m,Arena,7,Ferrata,V. Mardones,Eduardo González S.,10,1.03.56,35.40,58
03/03/2026,Club Hípico de Concepción,5,18:30,1100m,Arena,8,Tio Salchicha,G. Vera,Francisco Acevedo R.,1,1.04.74,9.90,57
