Warning: No position column in exports/RESULTADO_VAL2026-01-11..csv

## Club Hípico de Santiago
|   Lugar | Jinete               |   Carreras Ganadas |   Segundos |   Terceros |   Eficiencia (%) |
|--------:|:---------------------|-------------------:|-----------:|-----------:|-----------------:|
|       1 | LESLY C. GONZALEZ    |                  6 |          0 |          0 |            40    |
|       2 | JOAQUIN HERRERA      |                  4 |          3 |          0 |            22.22 |
|       3 | MARCO MORALES        |                  3 |          2 |          0 |            21.43 |
|       4 | BERNARDO LEON        |                  3 |          1 |          0 |            27.27 |
|       5 | JORGE ZUÑIGA         |                  2 |          2 |          1 |            15.38 |
|       6 | KEVIN ESPINA         |                  2 |          1 |          2 |            33.33 |
|       7 | CARLOS ORTEGA        |                  2 |          0 |          1 |            15.38 |
|       8 | JAIME MEDINA         |                  2 |          0 |          0 |           100    |
|       9 | NICOLAS MOLINA       |                  1 |          2 |          1 |             5.26 |
|      10 | RODOLFO S. DORES     |                  1 |          1 |          3 |            10    |
|      11 | JOSE VILLABLANCA     |                  1 |          1 |          1 |            14.29 |
|      12 | RODRIGO PAINEN       |                  1 |          1 |          1 |            12.5  |
|      13 | BASTIAN SOTO         |                  1 |          1 |          0 |             6.25 |
|      14 | NICOLAS SANTIBAÑEZ   |                  1 |          1 |          0 |            14.29 |
|      15 | RICARDO SOLORZA      |                  1 |          1 |          0 |            16.67 |
|      16 | ROBERTO AVILA        |                  1 |          0 |          1 |            10    |
|      17 | BENJAMIN SANCHO      |                  1 |          0 |          0 |             6.67 |
|      18 | CRISTIAN FUENZALIDA  |                  1 |          0 |          0 |            50    |
|      19 | GERARD RODRIGUEZ     |                  1 |          0 |          0 |            16.67 |
|      20 | IGNACIO VALDIVIA     |                  1 |          0 |          0 |            12.5  |
|      21 | MAURICIO CHAMORRO    |                  1 |          0 |          0 |            50    |
|      22 | MAURICIO GALAZ       |                  1 |          0 |          0 |           100    |
|      23 | FELIPE HENRIQUEZ     |                  0 |          3 |          3 |             0    |
|      24 | FABIAN MEDINA        |                  0 |          3 |          2 |             0    |
|      25 | HUGO OCHOA           |                  0 |          2 |          2 |             0    |
|      26 | NICOLAS RAMIREZ      |                  0 |          2 |          1 |             0    |
|      27 | SEBASTIAN GONZALEZ   |                  0 |          2 |          0 |             0    |
|      28 | ALVARO APABLAZA      |                  0 |          1 |          2 |             0    |
|      29 | AXEL ALVAREZ         |                  0 |          1 |          2 |             0    |
|      30 | FRANCISCO MORALES    |                  0 |          1 |          2 |             0    |
|      31 | RAFAEL CISTERNAS     |                  0 |          1 |          1 |             0    |
|      32 | RODOLFO FUENZALIDA   |                  0 |          1 |          1 |             0    |
|      33 | RONALD FOURNET       |                  0 |          1 |          1 |             0    |
|      34 | DAVID SANCHEZ        |                  0 |          1 |          0 |             0    |
|      35 | PIERO REYES P.       |                  0 |          1 |          0 |             0    |
|      36 | RODRIGO COVARRUBIAS  |                  0 |          1 |          0 |             0    |
|      37 | GUSTAVO AROS         |                  0 |          0 |          3 |             0    |
|      38 | AGUSTIN VILLAGRA     |                  0 |          0 |          1 |             0    |
|      39 | BENJAMIN TRONCOSO    |                  0 |          0 |          1 |             0    |
|      40 | JESUS PIMENTEL       |                  0 |          0 |          1 |             0    |
|      41 | JOHAN GONZALEZ       |                  0 |          0 |          1 |             0    |
|      42 | MIGUEL GUTIERREZ     |                  0 |          0 |          1 |             0    |
|      43 | OSCAR ULLOA          |                  0 |          0 |          1 |             0    |
|      44 | WILBERT LEON         |                  0 |          0 |          1 |             0    |
|      45 | ANYELO RIVERA        |                  0 |          0 |          0 |             0    |
|      46 | BORIS GONZALEZ H.    |                  0 |          0 |          0 |             0    |
|      47 | DIEGO CARRASCO       |                  0 |          0 |          0 |             0    |
|      48 | GIVOVICH GEORGEE     |                  0 |          0 |          0 |             0    |
|      49 | JAIME A. MIÑO        |                  0 |          0 |          0 |             0    |
|      50 | JESUS TORO           |                  0 |          0 |          0 |             0    |
|      51 | JONATHAN A. CASTILLO |                  0 |          0 |          0 |             0    |
|      52 | JORGE A. GONZALEZ    |                  0 |          0 |          0 |             0    |
|      53 | JORGE L. VERGARA     |                  0 |          0 |          0 |             0    |
|      54 | JORGE VERA           |                  0 |          0 |          0 |             0    |
|      55 | JOSE CUETO           |                  0 |          0 |          0 |             0    |
|      56 | JOSE PAREDES         |                  0 |          0 |          0 |             0    |
|      57 | JOSE SOLANO          |                  0 |          0 |          0 |             0    |
|      58 | JOSE VILLAGRAN       |                  0 |          0 |          0 |             0    |
|      59 | JUAN MUÑOZ           |                  0 |          0 |          0 |             0    |
|      60 | LUIS GONZALEZ        |                  0 |          0 |          0 |             0    |
|      61 | LUIS RIVERA          |                  0 |          0 |          0 |             0    |
|      62 | LUIS TORRES          |                  0 |          0 |          0 |             0    |
|      63 | MARCO A. BUSTAMANTE  |                  0 |          0 |          0 |             0    |
|      64 | MOISES A. DONOSO     |                  0 |          0 |          0 |             0    |
|      65 | N.N.                 |                  0 |          0 |          0 |             0    |
|      66 | REINALDO LOYOLA      |                  0 |          0 |          0 |             0    |
|      67 | VICTOR BRACETTI      |                  0 |          0 |          0 |             0    |
|      68 | WLADIMIR QUINTEROS   |                  0 |          0 |          0 |             0    |

## Hipódromo Chile
|   Lugar | Jinete         |   Carreras Ganadas |   Segundos |   Terceros |   Eficiencia (%) |
|--------:|:---------------|-------------------:|-----------:|-----------:|-----------------:|
|       1 | J. Herrera     |                  5 |          1 |          2 |            18.52 |
|       2 | B. Sancho      |                  4 |          3 |          4 |            14.29 |
|       3 | H. Ochoa       |                  2 |          4 |          1 |            10.53 |
|       4 | J. Zúñiga      |                  2 |          3 |          2 |            12.5  |
|       5 | J. González    |                  2 |          2 |          3 |             6.25 |
|       6 | G. Rodríguez   |                  2 |          2 |          1 |            10    |
|       7 | I. Valdivia    |                  2 |          2 |          0 |            10.53 |
|       8 | N. Ramirez     |                  2 |          1 |          3 |             7.14 |
|       9 | R. Painen      |                  2 |          1 |          0 |            11.11 |
|      10 | B. León        |                  2 |          0 |          3 |            18.18 |
|      11 | A. Vásquez     |                  2 |          0 |          0 |             8.7  |
|      12 | D. Carvacho    |                  2 |          0 |          0 |            16.67 |
|      13 | A. Zúñiga      |                  1 |          2 |          1 |             8.33 |
|      14 | M. Gutiérrez   |                  1 |          2 |          1 |             4    |
|      15 | P. Zúñiga      |                  1 |          2 |          1 |             6.67 |
|      16 | G. Aros        |                  1 |          1 |          1 |             5.88 |
|      17 | B. González    |                  1 |          1 |          0 |             7.69 |
|      18 | N. Venegas     |                  1 |          1 |          0 |             6.67 |
|      19 | A. Alvarez     |                  1 |          0 |          3 |             5.56 |
|      20 | C. Ortega      |                  1 |          0 |          1 |             8.33 |
|      21 | J. Villablanca |                  1 |          0 |          1 |            11.11 |
|      22 | L. González    |                  1 |          0 |          1 |             5.26 |
|      23 | M. Morales     |                  1 |          0 |          1 |             5.26 |
|      24 | R. Cisternas   |                  1 |          0 |          1 |             6.67 |
|      25 | A. Apablaza    |                  1 |          0 |          0 |             9.09 |
|      26 | A. Covarrubias |                  1 |          0 |          0 |             5.56 |
|      27 | M. Bustamante  |                  1 |          0 |          0 |            20    |
|      28 | B. Ayala       |                  0 |          2 |          0 |             0    |
|      29 | F. Medina      |                  0 |          2 |          0 |             0    |
|      30 | N. Rojas       |                  0 |          1 |          3 |             0    |
|      31 | S. González    |                  0 |          1 |          2 |             0    |
